Cefoperazone	Clindamycin	Streptomycin	ko	gene	pathway	grouping	KEGG_code
836	235	1560	K00248	acdB;_acyl-CoA_dehydrogenase_(EC:1.3.99.-)	Fatty_acid_degradation;Metabolism;Lipid_metabolism|Valine,_leucine_and_isoleucine_degradation;Metabolism;Amino_acid_metabolism|Butanoate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Fatty_acid_metabolism;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_03990
50	13	69	none	acd;_mannosyl-glycoprotein_endo-beta-N-acetylglucosamidase_(EC:3.2.1.96)	none	Amino sugar catabolism	cdf:CD630_13040
119	3	201	K01639	nanA;_N-acetylneuraminate_lyase_(EC:4.1.3.3)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism	Amino sugar catabolism	cdf:CD630_22400
41	0	74	K01788	nanE;_N-acetylmannosamine-6-phosphate_2-epimerase_(EC:5.1.3.9)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism	Amino sugar catabolism	cdf:CD630_22410
134	53	73	none	glmM;_phosphoglucosamine_mutase_(EC:5.4.2.10)	none	Amino sugar catabolism	cdf:CD630_01190
201	84	88	K00820	glmS;_glucosamine--fructose-6-phosphate_aminotransferase_(EC:2.6.1.16)	Alanine,_aspartate_and_glutamate_metabolism;Metabolism;Amino_acid_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_01200
121	48	113	K04042	glmU;_bifunctional_N-acetylglucosamine-1-phosphate_uridyltransferase/glucosamine-1-phosphate_acetyltransferase_(EC:2.3.1.157_2.7.7.23)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_35150
36	16	43	K01443	N-acetylglucosamine-6-phosphate_deacetylase_(EC:3.5.1.25)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_34530
340	198	649	K01270	pepD;_peptidase_D,_aminoacyl-histidine_dipeptidase	Glutathione_metabolism;Metabolism;Metabolism_of_other_amino_acids|Metabolic_pathways;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_07080
54	37	68	K01258	pepT;_peptidase_T_(EC:3.4.11.4)	none	Stickland reactions	cdf:CD630_10460
17	7	33	K01255	pepA;_multifunctional_aminopeptidase_A_(EC:3.4.11.1)	Glutathione_metabolism;Metabolism;Metabolism_of_other_amino_acids|Metabolic_pathways;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_13000
67	25	190	K01259	pepI;_proline_iminopeptidase_(Proline_aminopeptidase)_(PIP),_peptidase_S33_family_(EC:3.4.11.5)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism	Stickland reactions	cdf:CD630_30410
1696	967	1673	K01777	prdF;_proline_racemase_(EC:5.1.1.4)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_32370
1284	606	925	K10796	prdE;_proline_reductase_PrdE_(EC:1.21.4.1)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism	Stickland reactions	cdf:CD630_32390
1424	694	954	none	prdD;_proline_reductase_PrdD_(EC:1.21.4.1)	none	Stickland reactions	cdf:CD630_32400
2204	1274	1583	none	prdB;_proline_reductase_(EC:1.21.4.1)	none	Stickland reactions	cdf:CD630_32410
2370	1368	1705	K10793	prdA;_D-proline_reductase_proprotein_prdA_(EC:1.21.4.1)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism	Stickland reactions	cdf:CD630_32440
23	13	52	none	prdR;_sigma-54_dependent_transcriptional_regulator	none	Stickland reactions	cdf:CD630_32450
609	267	415	none	prdC;_electron_transfer_protein	none	Stickland reactions	cdf:CD630_32470
565	345	893	K10670	grdD;_glycine_reductase_complex_component_C_subunit_alpha_(Protein_PC_alpha)_(EC:1.21.4.3_1.21.4.4_1.21.4.2)	none	Stickland reactions	cdf:CD630_23480
561	334	866	K10670	grdC;_glycine_reductase_complex_component_C_subunit_beta_(Protein_PC_beta)_(EC:1.21.4.2)	none	Stickland reactions	cdf:CD630_23490
941	615	1717	none	grdB;_glycine_reductase_complex_component_B_subunit_gamma_(EC:1.21.4.2)	none	Stickland reactions	cdf:CD630_23510
718	467	1303	none	grdA;_glycine/sarcosine/betaine_reductase_complex_protein_A_(EC:1.21.4.2_1.21.4.3_1.21.4.4)	none	Stickland reactions	cdf:CD630_23520
836	516	1640	K10670	grdE;_glycine_reductase_complex_component_B_subunits_alpha_and_beta_(EC:1.21.4.2)	none	Stickland reactions	cdf:CD630_23540
146	70	315	none	grdX;_glycine_reductase_complex_component	none	Stickland reactions	cdf:CD630_23570
547	95	1139	none	hadA;_Isocaprenoyl-CoA:2-hydroxyisocaproate_CoA-transferase_(EC:2.8.3.-)	none	Stickland reactions	cdf:CD630_03950
591	108	1165	none	hadI;_activator_of_2-hydroxyisocaproyl-CoA_dehydratase	none	Stickland reactions	cdf:CD630_03960
684	136	1377	none	hadB;_subunit_of_oxygen-sensitive_2-hydroxyisocaproyl-CoA_dehydratase_B	none	Stickland reactions	cdf:CD630_03970
746	163	1473	none	hadC;_subunit_of_oxygen-sensitive_2-hydroxyisocaproyl-CoA_dehydratase_C	none	Stickland reactions	cdf:CD630_03980
184	101	393	K01754	tdcB;_threonine_dehydratase_II_(EC:4.3.1.19)	Glycine,_serine_and_threonine_metabolism;Metabolism;Amino_acid_metabolism|Valine,_leucine_and_isoleucine_biosynthesis;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_25140
58	30	88	K02379	fdhD;_formate_dehydrogenase_formation_protein	none	Stickland reactions	cdf:CD630_33160
75	37	126	none	fdhF;_formate_dehydrogenase-H_(EC:1.2.1.2)	none	Stickland reactions	cdf:CD630_33170
15	3	24	K00606	panB;_3-methyl-2-oxobutanoate_hydroxymethyltransferase_(EC:2.1.2.11)	Pantothenate_and_CoA_biosynthesis;Metabolism;Metabolism_of_cofactors_and_vitamins|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_15130
2	2	30	K01438	argE;_acetylornithine_deacetylase_ArgE_(EC:3.5.1.16)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|2-Oxocarboxylic_acid_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_03030
75	24	41	K01887	argS;_arginyl-tRNA_ligase_(EC:6.1.1.19)	Aminoacyl-tRNA_biosynthesis;Genetic_Information_Processing;Translation	Stickland reactions	cdf:CD630_07110
27	8	34	K01940	argG;_argininosuccinate_synthase_(EC:6.3.4.5)	Alanine,_aspartate_and_glutamate_metabolism;Metabolism;Amino_acid_metabolism|Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_17850
10	3	11	none	argH;_Argininosuccinate_lyase_(Arginosuccinase)_(ASAL)_(EC:4.3.2.1)	none	Stickland reactions	cdf:CD630_25000
42	19	32	K01752	sdaB;_L-serine_dehydratase_(EC:4.3.1.17)	Glycine,_serine_and_threonine_metabolism;Metabolism;Amino_acid_metabolism|Cysteine_and_methionine_metabolism;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_32220
20	20	49	K01843	kamA;_L-lysine_2,3-aminomutase_(KAM)_(LAM)_(EC:5.4.3.2)	Lysine_degradation;Metabolism;Amino_acid_metabolism	Stickland reactions	cdf:CD630_22520
13	3	9	K00131	gapN;_glyceraldehyde-3-phosphate_dehydrogenase_(NADP(+))_(GADPH)_(EC:1.2.1.9)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_05800
7	15	6	K00134	gapB;_glyceraldehyde-3-phosphate_dehydrogenase_(EC:1.2.1.12)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_17670
882	112	224	K00134	gapA;_glyceraldehyde-3-phosphate_dehydrogenase_(EC:1.2.1.12)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_31740
594	57	147	K15633	gpmI;_phosphoglyceromutase_(EC:5.4.2.1)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Glycine,_serine_and_threonine_metabolism;Metabolism;Amino_acid_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_31710
146	18	52	K00850	pfkA;_6-phosphofructokinase_(EC:2.7.1.11)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_33950
146	18	52	K00850	pfkA;_6-phosphofructokinase_(EC:2.7.1.11)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_339501
486	49	106	K01803	tpi;_triosephosphate_isomerase_(EC:5.3.1.1)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_31720
316	33	88	K00873	pyk;_pyruvate_kinase_(EC:2.7.1.40)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Purine_metabolism;Metabolism;Nucleotide_metabolism|Pyruvate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_33940
885	123	421	K01689	eno;_enolase_(2-phosphoglycerate_dehydratase)_(2-phospho-D-glycerate_hydro-lyase)_(EC:4.2.1.11)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps|RNA_degradation;Genetic_Information_Processing;Folding,_sorting_and_degradation	Monosaccharide catabolism	cdf:CD630_31700
41	28	133	K01835	pgm;_phosphoglucomutase_(EC:5.4.2.2)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Purine_metabolism;Metabolism;Nucleotide_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Streptomycin_biosynthesis;Metabolism;Biosynthesis_of_other_secondary_metabolites|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_15770
43	9	11	K01835	pgm;_phosphoglucomutase_(EC:5.4.2.2)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Purine_metabolism;Metabolism;Nucleotide_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Streptomycin_biosynthesis;Metabolism;Biosynthesis_of_other_secondary_metabolites|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_27800
18	4	11	K15634	phosphoglycerate_mutase	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Glycine,_serine_and_threonine_metabolism;Metabolism;Amino_acid_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_18140
66	20	57	K02226	cobC;_cobalamin_biosynthesis_phosphoglycerate_mutase_CobC_(EC:3.1.3.-)	Porphyrin_and_chlorophyll_metabolism;Metabolism;Metabolism_of_cofactors_and_vitamins|Metabolic_pathways;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_34360
67	18	39	K01784	galE;_UDP-glucose_4-epimerase_(EC:5.1.3.2)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_27140
22	34	28	K00965	galactose-1-phosphate_uridylyltransferase_(EC:2.7.7.12)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_13400
5	2	3	K15524	mngB;_alpha-mannosidase_(EC:3.2.1.24)	none	Monosaccharide catabolism	cdf:CD630_30850
6	2	5	K11198	mngA;_PTS_system_2-O-a-mannosyl-D-glycerate_specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	Monosaccharide catabolism	cdf:CD630_30860
49	10	16	K00971	manC;_mannose-1-phosphate_guanylyltransferase_(EC:2.7.7.22)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_27790
25	5	14	K01809	pmi;_mannose-6-phosphate_isomerase_(Phosphomannose_isomerase)_(PMI)_(Phosphohexomutase)_(EC:5.3.1.8)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_24910
1	33	96	none	tagatose_6-phosphate_kinase	none	Monosaccharide catabolism	cdf:CD630_02090
78	28	65	K08302	tagatose-bisphosphate_aldolase_(EC:4.1.2.2)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_30740
62	19	66	K02769	tagABC;_PTS_system_tagatose-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	Monosaccharide catabolism	cdf:CD630_30750
37	23	56	K08302	tagatose-bisphosphate_aldolase_(EC:4.1.2.-)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_34480
30	20	50	none	phosphosugar_isomerase;_putative_tagatose-6-phosphate_ketose/aldose_isomerase_AgaS_(EC:5.-.-.-)	none	Monosaccharide catabolism	cdf:CD630_34490
3	1	6	K00917	carbohydrate/purine_kinase;_putative_tagatose-6-phosphate_kinase_LacC_(EC:2.7.1.-)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_34510
71	26	46	K04041	fbp;_fructose-1,6-bisphosphatase_(EC:3.1.3.11)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_11910
11	4	353	K00882	fruK;_fructose_1-phosphate_kinase_(EC:2.7.1.56)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism	Monosaccharide catabolism	cdf:CD630_22700
660	294	798	K01624	fba;_fructose-1,6-bisphosphate_aldolase_(EC:4.1.2.13)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_04030
1	1	6	none	xylose_transporter,_sodium:galactoside_symporter_family	none	Monosaccharide catabolism	cdf:CD630_00340
36	12	9	K01805	xylA;_xylose_isomerase_(EC:5.3.1.5)	Pentose_and_glucuronate_interconversions;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_30640
7	4	23	K03484	scrR;_LacI_family_transcriptional_regulator	none	Polysaccharide catabolism	cdf:CD630_18040
5	2	5	K00847	scrK;_fructokinase_(EC:2.7.1.4)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Polysaccharide catabolism	cdf:CD630_18060
2	1	3	K01232	maltose-6'-phosphate_glucosidase_(EC:3.2.1.122)	Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_08640
11	6	10	K00661	maa;_maltose_O-acetyltransferase_(EC:2.3.1.79)	none	Polysaccharide catabolism	cdf:CD630_08720
724	184	330	K01265	map1;_methionine_aminopeptidase_Map1_(MAP)_(Peptidase_M)_(EC:3.4.11.18)	none	Polysaccharide catabolism	cdf:CD630_00920
27	14	42	K01265	map2;_methionine_aminopeptidase_Map2_(MAP)_(Peptidase_M)_(EC:3.4.11.18)	none	Polysaccharide catabolism	cdf:CD630_15960
14	6	19	K00691	mapA;_maltose_phosphorylase_(EC:2.4.1.8)	Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Polysaccharide catabolism	cdf:CD630_21880
11	6	10	K00661	maa;_maltose_O-acetyltransferase_(EC:2.3.1.79)	none	Polysaccharide catabolism	cdf:CD630_087201
15	4	10	none	maltose_O-acetyltransferase_(EC:2.3.1.79)	none	Polysaccharide catabolism	cdf:CD630_16670
43	17	68	K03486	treR;_GntR_family_transcriptional_regulator	none	Polysaccharide catabolism	cdf:CD630_30900
