Compound_code	Compound_name	Metabolite_score	Sim_Median	Sim_IQR_25	Sim_IQR_75	Sim_Lower_95_interval	Sim_Upper_95_interval	Significance
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	4.087	0.0	-6.17	6.0	-0.097486	0.0948	n.s.
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.524	5.492	3.907	7.022	5.4302694	5.6029476	n.s.
C01185	Nicotinate_D-ribonucleotide	6.257	3.883	-5.687	6.531	3.7931454	3.9861898	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	-6.7	0.0	-6.15	6.066	-0.09717	0.0958428	n.s.
C15813	C15813	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C15810	C15810	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C15811	[Enzyme]-cysteine	7.022	5.492	3.907	6.977	5.4302694	5.6022366	n.s.
C15814	C15814	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C15815	C15815	0.0	0.0	-5.07125	5.044	-0.08012575	0.0796952	n.s.
C16688	Sucrose_6-phosphate	-0.0	0.0	-6.087	6.129	-0.0961746	0.0968382	n.s.
C05752	Octanoyl-[acp]	5.728	0.0	-6.0	6.066	-0.0948	0.0958428	n.s.
C00794	D-Sorbitol	8.909	6.463	5.511	7.43	6.3759262	6.580394	*
C05840	Iminoaspartate	-0.0	0.0	-6.066	6.087	-0.0958428	0.0961746	n.s.
C00886	L-Alanyl-tRNA	-6.022	-5.492	-6.989	-3.907	-5.6024262	-5.4302694	n.s.
C00506	L-Cysteate	9.344	6.055	4.883	7.285	5.9778486	6.170103	*
C01233	sn-Glycero-3-phosphoethanolamine	3.807	5.426	3.907	6.931	5.3642694	5.5355098	n.s.
C00226	Primary_alcohol	10.222	6.044	4.931	7.317	5.9660902	6.1596086	*
C00222	3-Oxopropanoate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00221	beta-D-Glucose	5.0	5.492	4.0	7.022	5.4288	5.6029476	n.s.
C00385	Xanthine	-5.098	2.359	-5.20125	5.596	2.27682025	2.4474168	n.s.
C00387	Guanosine	6.087	6.003	4.841	7.229	5.9265122	6.1172182	n.s.
C02504	alpha-Isopropylmalate	0.0	3.737	-5.451	6.314	3.6508742	3.8367612	n.s.
C00229	Acyl-carrier_protein	-1.0	0.0	-6.044	6.17	-0.0954952	0.097486	n.s.
C00499	Allantoate	6.375	5.492	4.0	7.0	5.4288	5.6026	n.s.
C00380	Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16396	2,4-Diamino-6-nitrotoluene	9.814	6.352	5.346	7.392	6.2675332	6.4687936	*
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00546	Methylglyoxal	-7.017	-6.033	-7.27225	-4.883	-6.14790155	-5.9558486	n.s.
C16399	2,4-Diamino-6-hydroxylaminotoluene	-9.814	-6.352	-7.392	-5.346	-6.4687936	-6.2675332	*
C16217	3-Hydroxyoctadecanoyl-CoA	-5.358	-5.492	-6.989	-3.907	-5.6024262	-5.4302694	n.s.
C02291	L-Cystathionine	5.358	5.459	4.0	6.966	5.3958	5.5690628	n.s.
C00364	dTMP	-5.044	0.0	-6.087	6.044	-0.0961746	0.0954952	n.s.
C00365	dUMP	3.585	3.316	-4.595	5.61	3.243399	3.404638	n.s.
C00362	dGMP	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16244	Cobalt-precorrin_7	0.0	1.0	-5.954	6.13425	0.9059268	1.09692115	n.s.
C00360	dAMP	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00008	ADP	-6.605	-3.392	-5.992	5.352	-3.4866736	-3.3074384	n.s.
C00007	Oxygen	8.697	5.426	3.907	6.957	5.3642694	5.5359206	n.s.
C00006	NADP+	-5.781	-5.459	-6.989	-4.0	-5.5694262	-5.3958	n.s.
C00003	NAD+	-3.273	-3.773	-6.529	5.816	-3.8761582	-3.6811072	n.s.
C00002	ATP	6.537	5.161	-4.419	6.6505	5.0911798	5.2660779	n.s.
C00369	Starch	8.053	0.0	-5.607	5.693	-0.0885906	0.0899494	n.s.
C05703	Methaneselenol	-9.046	-6.066	-7.281	-4.907	-6.1810398	-5.9884694	n.s.
C06613	trans-3-Chloroallyl_aldehyde	-8.477	-2.392	-4.825	3.921	-2.468235	-2.3300482	*
C06507	Adenosyl_cobyrinate_hexaamide	-0.678	0.0	-5.7	5.722	-0.09006	0.0904076	n.s.
C16619	6-Thioguanosine_monophosphate	-6.304	-6.011	-7.23925	-4.833	-6.12538015	-5.9346386	n.s.
C11062	4-Hydroxybutyryl-CoA	8.892	5.426	3.907	6.966	5.3642694	5.5360628	n.s.
C02612	(R)-2-Methylmalate	1.0	6.033	4.883	7.267	5.9558486	6.1478186	*
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-4.585	-5.392	-6.931	-3.907	-5.5015098	-5.3302694	n.s.
C16614	6-Methylmercaptopurine	4.585	5.392	3.907	6.931	5.3302694	5.5015098	n.s.
C00645	N-Acetyl-D-mannosamine	-5.96	-5.977	-7.17	-4.80375	-6.090286	-5.90110075	n.s.
C00099	beta-Alanine	-2.624	-3.0	-5.862	5.163	-3.0926196	-2.9184246	n.s.
C00311	Isocitrate	0.0	0.0	-4.775	4.775	-0.075445	0.075445	n.s.
C00310	D-Xylulose	-2.322	0.0	-6.109	6.15	-0.0965222	0.09717	n.s.
C00641	1,2-Diacyl-sn-glycerol	-3.848	0.0	-5.722	5.678	-0.0904076	0.0897124	n.s.
C01931	L-Lysyl-tRNA	-7.248	-5.459	-7.011	-3.907	-5.5697738	-5.3972694	n.s.
C00315	Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00314	Pyridoxine	4.524	5.524	4.0	7.011	5.4608	5.6347738	n.s.
C00091	Succinyl-CoA	7.371	2.733	-2.888	4.498	2.6873696	2.8040684	*
C00760	Cellulose	-1.737	0.0	-5.481	5.437	-0.0865998	0.0859046	n.s.
C00093	sn-Glycerol_3-phosphate	5.697	4.194	-5.7045	6.521	4.1038689	4.2970318	n.s.
C00094	Sulfite	-2.433	1.107	-1.88	3.081	1.077296	1.1556798	n.s.
C00095	D-Fructose	-7.804	4.022	-6.0565	6.57	3.9263073	4.125806	n.s.
C00096	GDP-mannose	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00097	L-Cysteine	6.449	3.056	-5.75325	6.129	2.96509865	3.1528382	n.s.
C14099	2-Naphthaldehyde	-10.222	-6.044	-7.317	-4.931	-6.1596086	-5.9660902	*
C06311	Galactitol_1-phosphate	-8.741	-6.328	-7.363	-5.346	-6.4443354	-6.2435332	n.s.
C00433	2,5-Dioxopentanoate	2.585	5.426	4.0	6.931	5.3628	5.5355098	n.s.
C14090	1-Naphthaldehyde	-10.222	-6.044	-7.317	-4.931	-6.1596086	-5.9660902	*
C14095	2-Hydroxy-3-carboxybenzalpyruvate	6.248	5.476	4.0	7.011	5.4128	5.5867738	n.s.
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	4.322	5.492	4.0	7.022	5.4288	5.6029476	n.s.
C14096	3-Formylsalicylic_acid	-6.248	-5.476	-7.011	-4.0	-5.5867738	-5.4128	n.s.
C02702	L-Prolyl-tRNA(Pro)	-8.928	-5.492	-6.977	-3.907	-5.6022366	-5.4302694	n.s.
C04732	5-Amino-6-(1-D-ribitylamino)uracil	3.17	0.0	-5.977	6.129	-0.0944366	0.0968382	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C05172	Selenophosphoric_acid	2.0	5.426	3.907	6.966	5.3642694	5.5360628	n.s.
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	2.585	5.459	3.907	6.96875	5.3972694	5.56910625	n.s.
C11949	3-Isopropylbut-3-enoyl-CoA	-2.585	-5.459	-6.96875	-3.907	-5.56910625	-5.3972694	n.s.
C05775	alpha-Ribazole	-4.0	0.0	-5.437	5.565	-0.0859046	0.087927	n.s.
C07118	Benzoyl_acetyl-CoA	2.585	5.459	3.907	6.96875	5.3972694	5.56910625	n.s.
C05773	Cobyrinate	-4.17	-5.459	-6.943	-4.0	-5.5686994	-5.3958	n.s.
C05778	Sirohydrochlorin	3.17	0.0	-5.044	5.0	-0.0796952	0.079	n.s.
C05670	3-Aminopropiononitrile	5.0	5.492	3.907	6.99175	5.4302694	5.60246965	n.s.
C00164	Acetoacetate	-3.087	-3.7	-5.92275	4.943	-3.79357945	-3.6219006	n.s.
C00166	Phenylpyruvate	6.633	2.603	-3.376	4.653	2.5496592	2.6765174	n.s.
C00167	UDP-glucuronate	-4.644	-5.459	-6.966	-4.0	-5.5690628	-5.3958	n.s.
C00160	Glycolate	8.203	0.0	-5.607	5.651	-0.0885906	0.0892858	n.s.
C03794	N6-(1,2-Dicarboxyethyl)-AMP	4.322	0.0	-4.459	4.459	-0.0704522	0.0704522	n.s.
C00162	Fatty_acid	2.585	5.426	4.0	6.931	5.3628	5.5355098	n.s.
C00163	Propanoate	7.907	5.426	3.907	6.922	5.3642694	5.5353676	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-6.229	-5.459	-6.919	-3.907	-5.5683202	-5.3972694	n.s.
C02987	L-Glutamyl-tRNA(Glu)	-5.129	-5.459	-6.966	-4.0	-5.5690628	-5.3958	n.s.
C00169	Carbamoyl_phosphate	-5.044	-2.406	-6.208	5.822	-2.5040864	-2.3140124	n.s.
C02047	L-Leucyl-tRNA	-6.6	-5.459	-6.989	-4.0	-5.5694262	-5.3958	n.s.
C03082	4-Phospho-L-aspartate	-4.807	0.0	-5.7	5.722	-0.09006	0.0904076	n.s.
C04377	5,10-Methylenetetrahydromethanopterin	-7.077	-5.492	-7.055	-4.0	-5.603469	-5.4288	n.s.
C04376	5'-Phosphoribosyl-N-formylglycinamide	6.066	0.0	-6.087	6.087	-0.0961746	0.0961746	n.s.
C20396	Methylphosphonate	0.0	6.531	5.607	7.4705	6.4424094	6.6490339	*
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-6.827	0.0	-5.581	5.581	-0.0881798	0.0881798	n.s.
C03089	5-Methylthio-D-ribose	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00860	L-Histidinol	-3.459	0.0	-6.022	6.087	-0.0951476	0.0961746	n.s.
C00862	Methanofuran	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C02962	D-Allose_6-phosphate	7.16	5.492	4.0	6.989	5.4288	5.6024262	n.s.
C00864	Pantothenate	4.248	0.0	-6.087	5.954	-0.0961746	0.0940732	n.s.
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.322	0.0	-5.299	5.409	-0.0837242	0.0854622	n.s.
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00906	5,6-Dihydrothymine	4.0	5.426	3.907	6.943	5.3642694	5.5356994	n.s.
C01419	Cys-Gly	8.271	4.0	-5.714	6.533	3.9097188	4.1032214	n.s.
C16186	L-Ascorbate_6-phosphate	-6.304	-6.044	-7.271	-4.907	-6.1588818	-5.9664694	n.s.
C01149	4-Trimethylammoniobutanal	2.585	5.426	4.0	6.931	5.3628	5.5355098	n.s.
C01144	(S)-3-Hydroxybutanoyl-CoA	8.662	-2.289	-4.92825	4.158	-2.36686635	-2.2233036	*
C01146	2-Hydroxy-3-oxopropanoate	-3.585	-5.409	-6.966	-3.907	-5.5190628	-5.3472694	n.s.
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C01142	(3S)-3,6-Diaminohexanoate	-5.615	-5.459	-6.966	-4.0	-5.5690628	-5.3958	n.s.
C06510	Adenosine-GDP-cobinamide	-4.858	0.0	-5.98275	6.15	-0.09452745	0.09717	n.s.
C03561	(R)-3-Hydroxybutanoyl-CoA	10.509	5.459	4.0	7.011	5.3958	5.5697738	*
C03402	L-Asparaginyl-tRNA(Asn)	-5.644	-5.492	-6.957	-4.0	-5.6019206	-5.4288	n.s.
C03406	N-(L-Arginino)succinate	-5.087	-5.492	-6.977	-4.0	-5.6022366	-5.4288	n.s.
C05512	Deoxyinosine	5.79	0.0	-5.524	5.437	-0.0872792	0.0859046	n.s.
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C07645	Aldophosphamide	5.248	5.459	4.0	6.919	5.3958	5.5683202	n.s.
C07648	Thioguanine	4.585	5.392	3.907	6.931	5.3302694	5.5015098	n.s.
C05519	L-Allothreonine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00327	L-Citrulline	4.766	-3.406	-6.389	5.931	-3.5069462	-3.3122902	n.s.
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-5.7	0.0	-6.066	6.209	-0.0958428	0.0981022	n.s.
C02320	R-S-Glutathione	5.0	5.492	3.907	6.99175	5.4302694	5.60246965	n.s.
C00084	Acetaldehyde	8.673	-3.241	-5.9035	5.35275	-3.3342753	-3.15642655	*
C02463	Precorrin_2	1.0	5.459	4.0	6.94575	5.3958	5.56874285	*
C05269	3-Oxohexanoyl-CoA	-11.029	-5.492	-7.011	-4.0	-5.6027738	-5.4288	*
C03232	3-Phosphonooxypyruvate	-4.322	-5.492	-7.022	-4.0	-5.6029476	-5.4288	n.s.
C18096	D-Allulose_6-phosphate	-7.16	-5.492	-6.989	-4.0	-5.6024262	-5.4288	n.s.
C00269	CDP-diacylglycerol	-2.322	3.858	-5.755	6.484	3.767071	3.9604472	n.s.
C09814	Benzonitrile	7.651	5.459	3.907	7.0	5.3972694	5.5696	n.s.
C11539	Cobalt-precorrin_3	3.807	5.492	4.0	6.99175	5.4288	5.60246965	n.s.
C11538	Cobalt-sirohydrochlorin	-4.322	-5.426	-6.931	-3.907	-5.5355098	-5.3642694	n.s.
C00263	L-Homoserine	0.0	0.0	-2.503	2.459	-0.0395474	0.0388522	n.s.
C00262	Hypoxanthine	5.248	-2.643	-5.459	4.773	-2.7292522	-2.5675866	n.s.
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16216	3-Oxostearoyl-CoA	5.358	5.492	3.907	6.989	5.4302694	5.6024262	n.s.
C00267	alpha-D-Glucose	3.945	3.093	-5.212	5.9325	3.0106504	3.1867335	n.s.
C00266	Glycolaldehyde	-5.524	-5.492	-7.022	-3.907	-5.6029476	-5.4302694	n.s.
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-4.0	0.0	-6.087	6.066	-0.0961746	0.0958428	n.s.
C00402	D-Aspartate	-6.443	-5.459	-6.966	-4.0	-5.5690628	-5.3958	n.s.
C00460	dUTP	4.392	5.426	3.907	6.98	5.3642694	5.536284	n.s.
C00286	dGTP	-6.503	5.057	-5.603	6.755	4.9684726	5.163729	n.s.
C00283	Hydrogen_sulfide	1.684	-3.1	-5.16425	3.963	-3.18159515	-3.0373846	n.s.
C00282	Hydrogen	-6.714	-5.442	-6.977	-4.0	-5.5522366	-5.3788	n.s.
C00320	Thiosulfate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C01962	Thiocysteine	-5.358	-5.459	-6.966	-4.0	-5.5690628	-5.3958	n.s.
C00088	Nitrite	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-1.585	0.0	-6.087	6.087	-0.0961746	0.0961746	n.s.
C02218	Dehydroalanine	-5.0	-5.426	-6.954	-3.907	-5.5358732	-5.3642694	n.s.
C05947	L-erythro-4-Hydroxyglutamate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C01209	Malonyl-[acyl-carrier_protein]	5.388	2.95	-5.813	6.236	2.8581546	3.0485288	n.s.
C00217	D-Glutamate	5.15	3.143	-5.122	5.841	3.0620724	3.2352878	n.s.
C00214	Thymidine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00212	Adenosine	5.334	6.322	5.298	7.36075	6.2382916	6.43829985	n.s.
C00606	3-Sulfino-L-alanine	-7.337	-2.322	-5.007	4.0625	-2.4011106	-2.2578125	n.s.
C06399	Hydrogenobyrinate	-4.17	-5.459	-6.943	-4.0	-5.5686994	-5.3958	n.s.
C05841	Nicotinate_D-ribonucleoside	6.585	5.459	4.0	6.954	5.3958	5.5688732	n.s.
C00035	GDP	-5.806	-1.787	-6.02125	5.85925	-1.88213575	-1.69442385	n.s.
C05844	5-L-Glutamyl-taurine	-5.0	-5.492	-6.99175	-3.907	-5.60246965	-5.4302694	n.s.
C00033	Acetate	7.691	-4.489	-6.54125	5.35175	-4.59235175	-4.40444235	n.s.
C00031	D-Glucose	2.888	4.0	-5.739	6.56475	3.9093238	4.10372305	n.s.
C00136	Butanoyl-CoA	8.284	-3.814	-5.47825	3.897	-3.90055635	-3.7524274	*
C00135	L-Histidine	5.358	-1.0	-6.129	6.0	-1.0968382	-0.9052	n.s.
C00134	Putrescine	4.322	3.115	-5.222	5.915	3.0324924	3.208457	n.s.
C00133	D-Alanine	-8.233	4.536	-5.406	6.652	4.4505852	4.6411016	n.s.
C00131	dATP	-3.784	0.0	-3.896	3.896	-0.0615568	0.0615568	n.s.
C00130	IMP	-4.322	0.0	-5.615	5.658	-0.088717	0.0893964	n.s.
C05635	5-Hydroxyindoleacetate	-2.585	-5.426	-6.931	-4.0	-5.5355098	-5.3628	n.s.
C05634	5-Hydroxyindoleacetaldehyde	2.585	5.426	4.0	6.931	5.3628	5.5355098	n.s.
C06112	L-Glutamyl-tRNA(Gln)	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00043	UDP-N-acetyl-alpha-D-glucosamine	-3.919	2.524	-4.331	5.145	2.4555702	2.605291	n.s.
C00041	L-Alanine	5.728	3.442	-5.20225	6.109	3.35980445	3.5385222	n.s.
C00040	Acyl-CoA	5.886	6.459	5.568	7.427	6.3710256	6.5763466	n.s.
C00047	L-Lysine	5.404	3.369	-5.073	6.015	3.2888466	3.464037	n.s.
C00046	RNA	-5.335	-4.044	-5.801	4.1625	-4.1356558	-3.9782325	n.s.
C00044	GTP	-6.714	1.469	-5.721	5.797	1.3786082	1.5605926	n.s.
C00049	L-Aspartate	-6.879	1.785	-5.22525	5.384	1.70244105	1.8700672	n.s.
C00048	Glyoxylate	-5.005	0.0	-2.766	2.787	-0.0437028	0.0440346	n.s.
C02642	3-Ureidopropionate	-4.0	-5.426	-6.943	-3.907	-5.5356994	-5.3642694	n.s.
C00149	(S)-Malate	0.737	-2.273	-5.0	4.102	-2.352	-2.2081884	n.s.
C06481	L-Seryl-tRNA(Sec)	-7.109	0.0	-6.109	6.022	-0.0965222	0.0951476	n.s.
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	5.459	0.0	-6.15	6.044	-0.09717	0.0954952	n.s.
C06482	L-Selenocysteinyl-tRNA(Sec)	-2.0	-5.426	-6.966	-3.907	-5.5360628	-5.3642694	n.s.
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-2.0	-5.459	-7.011	-3.907	-5.5697738	-5.3972694	n.s.
C01101	L-Ribulose_5-phosphate	2.322	5.459	3.907	6.954	5.3972694	5.5688732	n.s.
C01100	L-Histidinol_phosphate	3.0	0.0	-5.565	5.4425	-0.087927	0.0859915	n.s.
C01103	Orotidine_5'-phosphate	-3.939	0.0	-5.459	5.481	-0.0862522	0.0865998	n.s.
C01102	O-Phospho-L-homoserine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	-0.193	1.466	-3.308	4.147	1.4137336	1.5315226	n.s.
C03688	Apo-[acyl-carrier-protein]	5.248	5.426	4.0	6.954	5.3628	5.5358732	n.s.
C06002	(S)-Methylmalonate_semialdehyde	2.585	5.426	4.0	6.931	5.3628	5.5355098	n.s.
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.322	0.0	-5.299	5.409	-0.0837242	0.0854622	n.s.
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	0.0	-6.109	6.0	-0.0965222	0.0948	n.s.
C00227	Acetyl_phosphate	-3.074	0.0	-1.449	1.322	-0.0228942	0.0208876	n.s.
C16565	Aminopropylcadaverine	-1.0	-5.459	-6.98	-4.0	-5.569284	-5.3958	n.s.
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	4.794	0.0	-5.672	5.693	-0.0896176	0.0899494	n.s.
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-3.503	-6.304	-7.346	-5.31	-6.4200668	-6.220102	*
C00954	Indole-3-acetate	-6.15	-6.0	-7.213	-4.858	-6.1139654	-5.9232436	n.s.
C00957	Mercaptopyruvate	-6.468	-2.71	-4.723	3.426	-2.7846234	-2.6558692	n.s.
C05345	beta-D-Fructose_6-phosphate	8.027	-4.149	-6.238	5.34225	-4.2475604	-4.06459245	n.s.
C00818	D-Glucarate	-2.585	-5.426	-6.931	-4.0	-5.5355098	-5.3628	n.s.
C00819	D-Glutamine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00424	(S)-Lactaldehyde	-1.585	-5.392	-6.966	-3.907	-5.5020628	-5.3302694	n.s.
C00429	5,6-Dihydrouracil	4.0	5.426	3.907	6.943	5.3642694	5.5356994	n.s.
C00817	D-Altronate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C03451	(R)-S-Lactoylglutathione	6.728	5.426	3.907	6.977	5.3642694	5.5362366	n.s.
C01672	Cadaverine	1.0	5.459	4.0	6.98	5.3958	5.569284	n.s.
C00036	Oxaloacetate	6.56	2.567	-3.24925	4.596	2.51566185	2.6396168	n.s.
C05223	Dodecanoyl-[acyl-carrier_protein]	5.728	0.0	-6.0	6.066	-0.0948	0.0958428	n.s.
C00037	Glycine	1.847	0.0	-5.78925	5.75325	-0.09147015	0.09090135	n.s.
C15809	Iminoglycine	1.0	5.492	3.907	6.943	5.4302694	5.6016994	n.s.
C16698	N-Acetylmuramic_acid_6-phosphate	-3.248	-6.022	-7.267	-4.907	-6.1368186	-5.9444694	n.s.
C03912	(S)-1-Pyrroline-5-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C02512	3-Cyano-L-alanine	5.0	5.492	3.907	6.99175	5.4302694	5.60246965	n.s.
C00253	Nicotinate	-6.653	-5.989	-7.235	-4.824	-6.103313	-5.9127808	n.s.
C00250	Pyridoxal	4.524	5.524	4.0	7.011	5.4608	5.6347738	n.s.
C00251	Chorismate	2.663	3.891	-4.639	5.977	3.8177038	3.9854366	n.s.
C00256	(R)-Lactate	9.87	5.426	3.907	6.977	5.3642694	5.5362366	*
C05338	4-Hydroxyphenylacetyl-CoA	2.585	5.459	3.907	6.96875	5.3972694	5.56910625	n.s.
C00255	Riboflavin	4.954	0.0	-5.931	6.0495	-0.0937098	0.0955821	n.s.
C05336	Selenomethionyl-tRNA(Met)	-5.883	-5.426	-6.966	-3.907	-5.5360628	-5.3642694	n.s.
C00392	Mannitol	7.2	6.033	4.901	7.267	5.9555642	6.1478186	n.s.
C00258	D-Glycerate	1.585	0.0	-5.0	5.07125	-0.079	0.08012575	n.s.
C05335	L-Selenomethionine	2.0	4.0	-5.615	6.555	3.911283	4.103569	n.s.
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-5.248	-5.459	-6.919	-4.0	-5.5683202	-5.3958	n.s.
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	7.248	5.426	3.907	6.966	5.3642694	5.5360628	n.s.
C01081	Thiamin_monophosphate	-3.17	-5.492	-6.99175	-4.0	-5.60246965	-5.4288	n.s.
C01083	alpha,alpha-Trehalose	4.17	5.426	4.0	6.943	5.3628	5.5356994	n.s.
C00559	Deoxyadenosine	-5.79	0.0	-5.437	5.524	-0.0859046	0.0872792	n.s.
C00491	L-Cystine	5.358	5.459	4.0	6.966	5.3958	5.5690628	n.s.
C00492	Raffinose	1.0	5.492	3.97675	7.022	5.42916735	5.6029476	n.s.
C00493	Shikimate	-0.093	0.0	-4.181	4.222	-0.0660598	0.0667076	n.s.
C00555	4-Aminobutyraldehyde	2.585	5.426	4.0	6.931	5.3628	5.5355098	n.s.
C01089	(R)-3-Hydroxybutanoate	4.0	5.426	3.907	6.943	5.3642694	5.5356994	n.s.
C00498	ADP-glucose	-7.221	0.0	-4.824	4.781	-0.0762192	0.0755398	n.s.
C00882	Dephospho-CoA	3.322	0.0	-6.0	6.022	-0.0948	0.0951476	n.s.
C00881	Deoxycytidine	5.931	5.459	3.907	6.98	5.3972694	5.569284	n.s.
C00078	L-Tryptophan	5.0	5.426	3.907	6.954	5.3642694	5.5358732	n.s.
C00079	L-Phenylalanine	-1.547	-1.0	-3.193	2.363	-1.0504494	-0.9626646	n.s.
C00072	Ascorbate	6.304	6.044	4.907	7.271	5.9664694	6.1588818	n.s.
C00073	L-Methionine	4.868	4.322	-5.096	6.392	4.2414832	4.4229936	n.s.
C00071	Aldehyde	-9.229	-6.257	-7.34475	-5.248	-6.37304705	-6.1740816	*
