Compound_code	Compound_name	Metabolite_score	Significance	Lower_95_Confidence	Upper_95_Confidence
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-5.7	<0.01	3.34483630546	4.05656734949
C02320	R-S-Glutathione	5.0	<0.01	6.10497852907	7.85799075985
C00084	Acetaldehyde	8.673	<0.01	4.86281186188	5.65018207716
C02463	Precorrin_2	1.0	<0.01	6.10497852907	7.85799075985
C05269	3-Oxohexanoyl-CoA	-11.029	<0.01	-7.85799075985	-6.10497852907
C03232	3-Phosphonooxypyruvate	-4.322	<0.01	-7.85799075985	-6.10497852907
C18096	D-Allulose_6-phosphate	-7.16	n.s.	-7.85799075985	-6.10497852907
C00269	CDP-diacylglycerol	-2.322	<0.01	-3.82004889674	-3.10788172125
C09814	Benzonitrile	7.651	n.s.	6.10497852907	7.85799075985
C11539	Cobalt-precorrin_3	3.807	<0.01	6.10497852907	7.85799075985
C11538	Cobalt-sirohydrochlorin	-4.322	<0.01	-7.85799075985	-6.10497852907
C00263	L-Homoserine	0.0	n.s.	-0.0811325060718	1.08669454459
C00262	Hypoxanthine	5.248	n.s.	4.71622860782	5.52265329569
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	0.0	n.s.	0.0	0.0
C16216	3-Oxostearoyl-CoA	5.358	<0.01	6.10497852907	7.85799075985
C00267	alpha-D-Glucose	3.945	<0.01	-4.97577014002	-4.21108176713
C00266	Glycolaldehyde	-5.524	<0.01	-7.85799075985	-6.10497852907
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-4.0	<0.01	2.09833137039	2.81111853892
C00402	D-Aspartate	-6.443	n.s.	-7.85799075985	-6.10497852907
C00460	dUTP	4.392	<0.01	6.10497852907	7.85799075985
C00286	dGTP	-6.503	<0.01	-7.71610292268	-6.96618759372
C00283	Hydrogen_sulfide	1.684	<0.01	6.0976452651	6.98228493989
C00282	Hydrogen	-6.714	n.s.	-7.85799075985	-6.10497852907
C00320	Thiosulfate	0.0	n.s.	0.0	0.0
C01962	Thiocysteine	-5.358	<0.01	-7.85799075985	-6.10497852907
C00088	Nitrite	0.0	<0.01	0.0	0.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-1.585	<0.01	-4.35661374859	-3.64954349896
C02218	Dehydroalanine	-5.0	<0.01	-7.85799075985	-6.10497852907
C05947	L-erythro-4-Hydroxyglutamate	0.0	<0.01	0.0	0.0
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	<0.01	0.0	0.0
C01209	Malonyl-[acyl-carrier_protein]	5.388	<0.01	4.10726576285	4.81617685754
C00217	D-Glutamate	5.15	<0.01	-5.0831974359	-4.32861538462
C00214	Thymidine	0.0	<0.01	0.0	0.0
C00212	Adenosine	5.334	<0.01	8.36687280051	9.34722940725
C00606	3-Sulfino-L-alanine	-7.337	<0.01	5.17969697358	6.05864373084
C06399	Hydrogenobyrinate	-4.17	<0.01	-7.85799075985	-6.10497852907
C05841	Nicotinate_D-ribonucleoside	6.585	n.s.	6.10497852907	7.85799075985
C00035	GDP	-5.806	<0.01	1.78857332626	2.53369568263
C05844	5-L-Glutamyl-taurine	-5.0	<0.01	-7.85799075985	-6.10497852907
C00033	Acetate	7.691	<0.01	5.58016158709	6.30816205705
C00031	D-Glucose	2.888	<0.01	-4.26568790162	-3.55762637529
C00136	Butanoyl-CoA	8.284	<0.01	5.92794935546	6.79850073052
C00135	L-Histidine	5.358	<0.01	-2.81258804159	-2.09938941231
C00134	Putrescine	4.322	<0.01	-5.53957248385	-4.77855920913
C00133	D-Alanine	-8.233	<0.01	-5.47248292169	-4.76133286368
C00131	dATP	-3.784	<0.01	-0.971478853339	-0.0294307125099
C00130	IMP	-4.322	<0.01	0.611343243243	1.38865675676
C05635	5-Hydroxyindoleacetate	-2.585	<0.01	-7.85799075985	-6.10497852907
C05634	5-Hydroxyindoleacetaldehyde	2.585	<0.01	6.10497852907	7.85799075985
C06112	L-Glutamyl-tRNA(Gln)	0.0	<0.01	0.0	0.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-3.919	<0.01	-5.7992830337	-4.94699539742
C00041	L-Alanine	5.728	<0.01	-4.42039429784	-3.67589268212
C00040	Acyl-CoA	5.886	<0.01	8.20785598873	9.22220706355
C00047	L-Lysine	5.404	<0.01	-5.86608029214	-5.10807850406
C00046	RNA	-5.335	<0.01	6.52089852851	7.34654766789
C00044	GTP	-6.714	<0.01	-1.73312780469	-0.851939417352
C00049	L-Aspartate	-6.879	<0.01	-2.22209755866	-1.36281817289
C00048	Glyoxylate	-5.005	<0.01	-2.56389497264	-1.44062221005
C02642	3-Ureidopropionate	-4.0	<0.01	-7.85799075985	-6.10497852907
C00149	(S)-Malate	0.737	<0.01	5.18007676451	6.06092157551
C06481	L-Seryl-tRNA(Sec)	-7.109	<0.01	-4.649313646	-3.93040468002
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	5.459	<0.01	-3.5294921508	-2.81350166038
C06482	L-Selenocysteinyl-tRNA(Sec)	-2.0	<0.01	-7.85799075985	-6.10497852907
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-2.0	<0.01	-7.85799075985	-6.10497852907
C01101	L-Ribulose_5-phosphate	2.322	<0.01	6.10497852907	7.85799075985
C01100	L-Histidinol_phosphate	3.0	<0.01	4.144489697	4.91108125347
C01103	Orotidine_5'-phosphate	-3.939	<0.01	3.74278232112	4.51690790797
C01102	O-Phospho-L-homoserine	0.0	<0.01	0.0	0.0
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	-0.193	<0.01	-5.32805669127	-4.3255461054
C03688	Apo-[acyl-carrier-protein]	5.248	<0.01	6.10497852907	7.85799075985
C06002	(S)-Methylmalonate_semialdehyde	2.585	<0.01	6.10497852907	7.85799075985
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.322	<0.01	2.69616833063	3.47513995553
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	<0.01	0.143269390297	0.859976216036
C00227	Acetyl_phosphate	-3.074	<0.01	-1.20093091196	0.196907852987
C16565	Aminopropylcadaverine	-1.0	<0.01	-7.85799075985	-6.10497852907
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	4.794	<0.01	-3.7007203678	-2.94477604367
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-3.503	<0.01	-9.3446211911	-8.36106632159
C00954	Indole-3-acetate	-6.15	<0.01	-9.49018617977	-8.52105009679
C00957	Mercaptopyruvate	-6.468	<0.01	5.90764671834	6.85174622216
C05345	beta-D-Fructose_6-phosphate	8.027	<0.01	6.03648842534	6.81965950186
C00818	D-Glucarate	-2.585	<0.01	-7.85799075985	-6.10497852907
C00819	D-Glutamine	0.0	<0.01	0.0	0.0
C00424	(S)-Lactaldehyde	-1.585	<0.01	-7.85799075985	-6.10497852907
C00429	5,6-Dihydrouracil	4.0	<0.01	6.10497852907	7.85799075985
C00817	D-Altronate	0.0	<0.01	0.0	0.0
C03451	(R)-S-Lactoylglutathione	6.728	n.s.	6.10497852907	7.85799075985
C01672	Cadaverine	1.0	<0.01	6.10497852907	7.85799075985
C00036	Oxaloacetate	6.56	<0.01	-6.76182614038	-5.79698240663
C05223	Dodecanoyl-[acyl-carrier_protein]	5.728	<0.01	4.00597919613	4.71540011395
C00037	Glycine	1.847	<0.01	4.02659971971	4.83448803153
C15809	Iminoglycine	1.0	<0.01	6.10497852907	7.85799075985
C16698	N-Acetylmuramic_acid_6-phosphate	-3.248	<0.01	-9.47694402751	-8.49968835562
C03912	(S)-1-Pyrroline-5-carboxylate	0.0	<0.01	0.0	0.0
C02512	3-Cyano-L-alanine	5.0	<0.01	6.10497852907	7.85799075985
C00253	Nicotinate	-6.653	<0.01	-9.48017146061	-8.50343406217
C00250	Pyridoxal	4.524	<0.01	6.10497852907	7.85799075985
C00251	Chorismate	2.663	<0.01	-6.79703295936	-6.00031731096
C00256	(R)-Lactate	9.87	<0.01	6.10497852907	7.85799075985
C05338	4-Hydroxyphenylacetyl-CoA	2.585	<0.01	6.10497852907	7.85799075985
C00255	Riboflavin	4.954	<0.01	-2.94257032445	-2.22999764523
C05336	Selenomethionyl-tRNA(Met)	-5.883	<0.01	-7.85799075985	-6.10497852907
C00392	Mannitol	7.2	<0.01	8.48907850418	9.47186399059
C00258	D-Glycerate	1.585	<0.01	3.55966634222	4.35954119635
C05335	L-Selenomethionine	2.0	<0.01	-2.81327359406	-2.10228477027
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-5.248	<0.01	-7.85799075985	-6.10497852907
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	7.248	n.s.	6.10497852907	7.85799075985
C01081	Thiamin_monophosphate	-3.17	<0.01	-7.85799075985	-6.10497852907
C01083	alpha,alpha-Trehalose	4.17	<0.01	6.10497852907	7.85799075985
C00559	Deoxyadenosine	-5.79	<0.01	-2.54989668028	-1.77568645237
C00491	L-Cystine	5.358	<0.01	6.10497852907	7.85799075985
C00492	Raffinose	1.0	<0.01	6.10497852907	7.85799075985
C00493	Shikimate	-0.093	<0.01	-2.77902889679	-1.86904081734
C00555	4-Aminobutyraldehyde	2.585	<0.01	6.10497852907	7.85799075985
C01089	(R)-3-Hydroxybutanoate	4.0	<0.01	6.10497852907	7.85799075985
C00498	ADP-glucose	-7.221	<0.01	-2.58182777095	-1.74090617212
C00882	Dephospho-CoA	3.322	<0.01	-4.21815477292	-3.50273229626
C00881	Deoxycytidine	5.931	<0.01	6.10497852907	7.85799075985
C00078	L-Tryptophan	5.0	<0.01	6.10497852907	7.85799075985
C00079	L-Phenylalanine	-1.547	<0.01	3.36201047603	4.48540094202
C00072	Ascorbate	6.304	<0.01	8.48577193764	9.4683616689
C00073	L-Methionine	4.868	<0.01	-6.23784348397	-5.4839630023
C00071	Aldehyde	-9.229	n.s.	-9.37162636957	-8.39040537735
C00077	L-Ornithine	3.884	<0.01	-4.26326829817	-3.55475530667
C00074	Phosphoenolpyruvate	-7.068	<0.01	-1.9665223085	-1.20450557168
C00075	UTP	7.856	<0.01	8.20195366983	9.21728314952
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-3.907	<0.01	-7.85799075985	-6.10497852907
C00039	DNA	0.0	<0.01	0.0	0.0
C03127	L-Isoleucyl-tRNA(Ile)	-7.375	n.s.	-7.85799075985	-6.10497852907
C00085	D-Fructose_6-phosphate	9.156	<0.01	-3.1713804878	-2.44398780488
C02352	1,4-beta-D-Xylan	3.459	<0.01	6.10497852907	7.85799075985
C00083	Malonyl-CoA	-5.953	<0.01	6.38818456952	7.12300053353
C00082	L-Tyrosine	-5.106	<0.01	2.96995442241	4.25559005597
C00080	H+	6.714	n.s.	6.10497852907	7.85799075985
C16630	5,6-Dihydro-5-fluorouracil	4.0	<0.01	6.10497852907	7.85799075985
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-5.977	<0.01	-4.21261177026	-3.50600027276
C03175	Shikimate_3-phosphate	1.585	<0.01	3.17632423175	4.00125964342
C00089	Sucrose	1.222	<0.01	8.52280444294	9.49590910416
C04646	6-Thioinosine-5'-monophosphate	6.714	<0.01	3.16665891009	3.88287230109
C00670	sn-Glycero-3-phosphocholine	3.807	<0.01	6.10497852907	7.85799075985
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-4.248	<0.01	-7.85799075985	-6.10497852907
C00672	2-Deoxy-D-ribose_1-phosphate	6.17	<0.01	1.64822798654	2.35707754171
C00673	2-Deoxy-D-ribose_5-phosphate	-5.304	<0.01	-0.852908193125	-0.138065743147
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	-2.807	<0.01	-7.85799075985	-6.10497852907
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	<0.01	3.73684116952	4.52778097756
C01929	L-Histidinal	0.0	<0.01	0.0	0.0
C05936	N4-Acetylaminobutanal	2.585	<0.01	6.10497852907	7.85799075985
C00106	Uracil	-2.524	<0.01	-4.46840643885	-3.71197306671
C00105	UMP	2.518	<0.01	-0.491320770195	0.492525644018
C00103	D-Glucose_1-phosphate	-4.493	<0.01	-4.1339917384	-3.37535986876
C00100	Propanoyl-CoA	4.044	n.s.	3.64725786752	4.44959297375
C00101	Tetrahydrofolate	6.809	n.s.	6.26391308057	7.13342780547
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	1.0	<0.01	-2.94172616014	-2.22876045272
C00109	2-Oxobutanoate	-7.082	<0.01	4.39328671177	5.1282328197
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	3.7	<0.01	-3.25776345809	-2.55162817
C00363	dTDP	-4.17	<0.01	-7.85799075985	-6.10497852907
C15980	(S)-2-Methylbutanoyl-CoA	0.0	<0.01	0.0	0.0
C05764	Hexadecanoyl-[acp]	5.728	<0.01	4.00597919613	4.71540011395
C06899	Chloral_hydrate	5.248	<0.01	6.10497852907	7.85799075985
C05761	Tetradecanoyl-[acp]	5.728	<0.01	4.00597919613	4.71540011395
C05760	trans-Tetradec-2-enoyl-[acp]	-5.285	<0.01	1.64394254261	2.35582314483
C05763	trans-Hexadec-2-enoyl-[acp]	-5.285	<0.01	1.64394254261	2.35582314483
C05762	3-Oxohexadecanoyl-[acp]	-5.257	<0.01	0.122823125	0.876241875
C00361	dGDP	5.871	<0.01	4.12688910824	4.86578031714
C00170	5'-Methylthioadenosine	1.222	n.s.	0.793552082035	1.78983542778
C02670	D-Glucuronolactone	2.585	<0.01	6.10497852907	7.85799075985
C02992	L-Threonyl-tRNA(Thr)	-7.313	n.s.	-7.85799075985	-6.10497852907
C00179	Agmatine	0.0	<0.01	3.55136473088	4.26688212992
C00178	Thymine	0.0	<0.01	0.0	0.0
C02995	Maltose_6'-phosphate	3.585	<0.01	4.32429101901	5.03523056381
C00447	Sedoheptulose_1,7-bisphosphate	0.0	<0.01	0.0	0.0
C03090	5-Phosphoribosylamine	3.848	<0.01	-2.55523398894	-1.77198787737
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-4.954	<0.01	-9.46258481396	-8.48007850418
C07086	Phenylacetic_acid	-7.651	n.s.	-7.85799075985	-6.10497852907
C01077	O-Acetyl-L-homoserine	3.907	<0.01	6.10497852907	7.85799075985
C02972	Dihydrolipoylprotein	8.19	<0.01	6.10497852907	7.85799075985
C11434	2-C-Methyl-D-erythritol_4-phosphate	0.0	<0.01	0.0	0.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2.737	<0.01	-2.59379089863	-1.73072664406
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-2.415	<0.01	0.563071576225	1.44067352455
C00857	Deamino-NAD+	2.0	<0.01	-4.85171478562	-4.13779778293
C02412	Glycyl-tRNA(Gly)	-6.983	<0.01	-9.47146501672	-8.49340198191
C00853	Cob(I)alamin	3.0	<0.01	6.10497852907	7.85799075985
C01179	3-(4-Hydroxyphenyl)pyruvate	2.882	<0.01	-4.48930532056	-2.90394036671
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-4.907	<0.01	-3.05101274592	-2.34146276523
C01170	UDP-N-acetyl-D-mannosamine	0.0	<0.01	0.0	0.0
C04411	(2R,3S)-3-Isopropylmalate	0.263	<0.01	5.28212471606	6.06251274989
C01172	beta-D-Glucose_6-phosphate	6.476	n.s.	5.88075065065	6.70255777692
C00473	Retinol	5.248	<0.01	6.10497852907	7.85799075985
C03892	Phosphatidylglycerophosphate	-4.524	<0.01	-7.85799075985	-6.10497852907
C00681	1-Acyl-sn-glycerol_3-phosphate	-2.363	<0.01	3.92353336433	4.65888267566
