Compound_code	Compound_name	Metabolite_score	Sim_Median	IQR_25	IQR_75	Lower_95_interval	Upper_95_interval	Relationshiop	Confidence
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C01185	Nicotinate_D-ribonucleotide	1.322	0.0	-1.322	2.61375	-0.0660523908545	0.130593371101	above	*
C15812	[Enzyme]-S-sulfanylcysteine	-2.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	below	*
C15813	C15813	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C15810	C15810	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C15811	[Enzyme]-cysteine	2.322	0.0	0.0	2.322	0.0	0.116016377885	above	*
C15814	C15814	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C15815	C15815	0.0	0.0	-1.0	0.585	-0.0499639870307	0.0292289324129	none	n.s.
C16688	Sucrose_6-phosphate	0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C05752	Octanoyl-[acp]	3.17	0.0	-1.585	1.0	-0.0791929194436	0.0499639870307	above	*
C00794	D-Sorbitol	0.0	1.848	0.263	3.848	1.83485947141	2.04026142209	below	*
C05840	Iminoaspartate	0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C00886	L-Alanyl-tRNA	-2.0	0.0	-2.585	0.0	-0.129156906474	0.0	below	*
C00506	L-Cysteate	2.807	1.0	0.0	3.087	1.0	1.15423882796	above	*
C01233	sn-Glycero-3-phosphoethanolamine	0.0	0.0	0.0	2.0	0.0	0.0999279740613	none	n.s.
C00226	Primary_alcohol	3.248	1.322	0.0	3.02175	1.322	1.47297867781	above	*
C00222	3-Oxopropanoate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00221	beta-D-Glucose	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00385	Xanthine	0.394	0.0	-1.17875	1.8675	-0.0588950497124	0.0933077457798	above	*
C00387	Guanosine	1.737	1.0	0.0	3.222	1.0	1.16098396621	above	*
C02504	alpha-Isopropylmalate	0.0	0.0	-1.059	1.945	-0.0529118622655	0.0971799547746	none	n.s.
C00229	Acyl-carrier_protein	-1.585	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	below	*
C00499	Allantoate	0.0	0.0	0.0	2.38775	0.0	0.119301510032	none	n.s.
C00380	Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C16396	2,4-Diamino-6-nitrotoluene	1.222	1.737	0.0	3.415	1.737	1.90762701571	below	*
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00546	Methylglyoxal	-1.0	-1.0	-3.087	0.0	-1.15423882796	-1.0	none	n.s.
C16399	2,4-Diamino-6-hydroxylaminotoluene	-1.222	-1.737	-3.415	0.0	-1.90762701571	-1.737	above	*
C16217	3-Hydroxyoctadecanoyl-CoA	-0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C02291	L-Cystathionine	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00364	dTMP	-2.322	0.0	-1.68875	1.585	-0.084376683098	0.0791929194436	below	*
C00365	dUMP	0.322	0.0	0.0	1.82375	0.0	0.0911218213472	above	*
C00362	dGMP	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C16244	Cobalt-precorrin_7	-0.0	0.0	-1.0	1.585	-0.0499639870307	0.0791929194436	none	n.s.
C00360	dAMP	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00008	ADP	-4.883	0.0	-2.7	0.737	-0.134902764983	0.0368234584416	below	*
C00007	Oxygen	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00006	NADP+	-0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C00003	NAD+	0.0	0.0	-2.222	1.415	-0.111019979182	0.0706990416484	none	n.s.
C00002	ATP	6.129	1.107	0.0	3.612	1.107	1.28746992115	above	*
C00369	Starch	0.0	0.0	-1.17	0.585	-0.0584578648259	0.0292289324129	none	n.s.
C05703	Methaneselenol	-1.807	-1.0	-3.0	0.0	-1.14989196109	-1.0	below	*
C06613	trans-3-Chloroallyl_aldehyde	-1.511	0.0	-0.722	0.0	-0.0360739986361	0.0	below	*
C06507	Adenosyl_cobyrinate_hexaamide	0.0	0.0	-1.263	1.263	-0.0631045156197	0.0631045156197	none	n.s.
C16619	6-Thioguanosine_monophosphate	-3.807	-1.0	-3.087	0.0	-1.15423882796	-1.0	below	*
C11062	4-Hydroxybutyryl-CoA	0.0	0.0	0.0	2.0	0.0	0.0999279740613	none	n.s.
C02612	(R)-2-Methylmalate	0.0	1.0	0.0	2.907	1.0	1.1452453103	below	*
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.322	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C16614	6-Methylmercaptopurine	3.322	0.0	0.0	2.322	0.0	0.116016377885	above	*
C00645	N-Acetyl-D-mannosamine	-4.459	-1.0	-2.807	0.0	-1.1402489116	-1.0	below	*
C00099	beta-Alanine	0.0	0.0	-1.807	0.415	-0.0902849245644	0.0207350546177	none	n.s.
C00311	Isocitrate	0.0	0.0	-0.272	0.0	-0.0135902044723	0.0	none	n.s.
C00310	D-Xylulose	-0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C00641	1,2-Diacyl-sn-glycerol	0.0	0.0	-1.263	1.263	-0.0631045156197	0.0631045156197	none	n.s.
C01931	L-Lysyl-tRNA	-5.644	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C00315	Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00314	Pyridoxine	0.0	0.0	0.0	2.0	0.0	0.0999279740613	none	n.s.
C00091	Succinyl-CoA	1.926	0.0	0.0	1.0	0.0	0.0499639870307	above	*
C00760	Cellulose	0.0	0.0	-1.0	0.56125	-0.0499639870307	0.028042287721	none	n.s.
C00093	sn-Glycerol_3-phosphate	0.341	0.36	-0.9	3.38	0.315032411672	0.528878276164	below	n.s.
C00094	Sulfite	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00095	D-Fructose	1.0	0.0	-1.585	3.25725	-0.0791929194436	0.162745196756	above	*
C00096	GDP-mannose	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00097	L-Cysteine	1.283	0.0	-1.96625	3.0945	-0.098241689499	0.154613557866	above	*
C14099	2-Naphthaldehyde	-3.248	-1.322	-3.02175	0.0	-1.47297867781	-1.322	below	*
C06311	Galactitol_1-phosphate	0.0	-1.415	-3.369	0.0	-1.58332867231	-1.415	above	*
C00433	2,5-Dioxopentanoate	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C14090	1-Naphthaldehyde	-3.248	-1.322	-3.02175	0.0	-1.47297867781	-1.322	below	*
C14095	2-Hydroxy-3-carboxybenzalpyruvate	3.322	0.0	0.0	2.322	0.0	0.116016377885	above	*
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2.0	0.0	0.0	2.322	0.0	0.116016377885	above	*
C14096	3-Formylsalicylic_acid	-3.322	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C02702	L-Prolyl-tRNA(Pro)	-3.807	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C04732	5-Amino-6-(1-D-ribitylamino)uracil	0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C05172	Selenophosphoric_acid	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C11949	3-Isopropylbut-3-enoyl-CoA	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C05775	alpha-Ribazole	0.0	0.0	-1.0	1.0	-0.0499639870307	0.0499639870307	none	n.s.
C07118	Benzoyl_acetyl-CoA	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C05773	Cobyrinate	-1.585	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C05778	Sirohydrochlorin	0.0	0.0	-0.585	0.585	-0.0292289324129	0.0292289324129	none	n.s.
C05670	3-Aminopropiononitrile	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00164	Acetoacetate	0.0	0.0	-2.044	0.0	-0.102126389491	0.0	none	n.s.
C00166	Phenylpyruvate	0.0	0.0	0.0	0.759	0.0	0.0379226661563	none	n.s.
C00167	UDP-glucuronate	-0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C00160	Glycolate	0.0	0.0	-1.17	1.17	-0.0584578648259	0.0584578648259	none	n.s.
C03794	N6-(1,2-Dicarboxyethyl)-AMP	1.874	0.0	0.0	0.415	0.0	0.0207350546177	above	*
C00162	Fatty_acid	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00163	Propanoate	7.358	0.0	0.0	2.322	0.0	0.116016377885	above	*
C02984	L-Aspartyl-tRNA(Asp)	-5.17	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C02987	L-Glutamyl-tRNA(Glu)	-2.807	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C00169	Carbamoyl_phosphate	-2.684	0.0	-1.907	1.789	-0.0952813232675	0.0893855727979	below	*
C02047	L-Leucyl-tRNA	-3.7	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C03082	4-Phospho-L-aspartate	0.0	0.0	-1.263	1.263	-0.0631045156197	0.0631045156197	none	n.s.
C04377	5,10-Methylenetetrahydromethanopterin	-3.0	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C04376	5'-Phosphoribosyl-N-formylglycinamide	0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C20396	Methylphosphonate	0.0	1.807	0.585	3.755	1.77777106759	1.9946147713	below	*
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.421	0.0	-1.1	1.1	-0.0549603857337	0.0549603857337	below	*
C03089	5-Methylthio-D-ribose	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00860	L-Histidinol	-0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C00862	Methanofuran	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C02962	D-Allose_6-phosphate	1.585	0.0	0.0	2.38775	0.0	0.119301510032	above	*
C00864	Pantothenate	2.322	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	above	*
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.0	0.0	-0.907	0.907	-0.0453173362368	0.0453173362368	none	n.s.
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00906	5,6-Dihydrothymine	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C01419	Cys-Gly	1.585	0.0	-1.322	2.0	-0.0660523908545	0.0999279740613	above	*
C16186	L-Ascorbate_6-phosphate	0.0	-1.0	-2.907	0.0	-1.1452453103	-1.0	above	*
C01149	4-Trimethylammoniobutanal	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C01144	(S)-3-Hydroxybutanoyl-CoA	0.346	0.0	-0.79275	0.0	-0.0396089507186	0.0	above	*
C01146	2-Hydroxy-3-oxopropanoate	0.0	0.0	-2.585	0.0	-0.129156906474	0.0	none	n.s.
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C01142	(3S)-3,6-Diaminohexanoate	-3.17	0.0	-2.0	0.0	-0.0999279740613	0.0	below	*
C06510	Adenosine-GDP-cobinamide	-0.0	0.0	-2.0	1.585	-0.0999279740613	0.0791929194436	none	n.s.
C03561	(R)-3-Hydroxybutanoyl-CoA	3.0	0.0	0.0	2.322	0.0	0.116016377885	above	*
C03402	L-Asparaginyl-tRNA(Asn)	-4.954	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C03406	N-(L-Arginino)succinate	0.0	0.0	-2.38775	0.0	-0.119301510032	0.0	none	n.s.
C05512	Deoxyinosine	0.0	0.0	-1.415	1.0	-0.0706990416484	0.0499639870307	none	n.s.
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C07645	Aldophosphamide	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C07648	Thioguanine	3.322	0.0	0.0	2.322	0.0	0.116016377885	above	*
C05519	L-Allothreonine	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00327	L-Citrulline	0.0	0.0	-2.202	1.585	-0.110020699442	0.0791929194436	none	n.s.
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C02320	R-S-Glutathione	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00084	Acetaldehyde	0.71	0.0	-2.541	1.241	-0.126958491045	0.062005307905	above	*
C02463	Precorrin_2	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C05269	3-Oxohexanoyl-CoA	-3.17	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C03232	3-Phosphonooxypyruvate	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C18096	D-Allulose_6-phosphate	-1.585	0.0	-2.38775	0.0	-0.119301510032	0.0	below	*
C00269	CDP-diacylglycerol	-1.807	0.0	-0.585	2.4905	-0.0292289324129	0.1244353097	below	*
C09814	Benzonitrile	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C11539	Cobalt-precorrin_3	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C11538	Cobalt-sirohydrochlorin	-0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C00263	L-Homoserine	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00262	Hypoxanthine	-2.059	0.0	-1.415	0.0555	-0.0706990416484	0.0027730012802	below	*
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C16216	3-Oxostearoyl-CoA	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00267	alpha-D-Glucose	0.0	0.0	-0.415	2.0	-0.0207350546177	0.0999279740613	none	n.s.
C00266	Glycolaldehyde	-0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C00402	D-Aspartate	0.0	0.0	-2.585	0.0	-0.129156906474	0.0	none	n.s.
C00460	dUTP	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00286	dGTP	-3.844	1.402	-1.28	4.0825	1.3380460966	1.60597797705	below	*
C00283	Hydrogen_sulfide	0.0	0.0	-1.573	0.0	-0.0785933515992	0.0	none	n.s.
C00282	Hydrogen	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C00320	Thiosulfate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C01962	Thiocysteine	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C00088	Nitrite	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C02218	Dehydroalanine	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C05947	L-erythro-4-Hydroxyglutamate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C01209	Malonyl-[acyl-carrier_protein]	2.907	0.0	-0.939	2.01875	-0.0469161838218	0.100864798818	above	*
C00217	D-Glutamate	-1.807	0.0	0.0	1.939	0.0	0.0968801708525	below	*
C00214	Thymidine	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00212	Adenosine	1.585	1.585	0.415	3.663	1.56426494538	1.76801808449	none	n.s.
C00606	3-Sulfino-L-alanine	-1.0	0.0	-0.874	0.0	-0.0436685246648	0.0	below	*
C06399	Hydrogenobyrinate	-1.585	0.0	-2.322	0.0	-0.116016377885	0.0	below	*
C05841	Nicotinate_D-ribonucleoside	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00035	GDP	-2.433	0.0	-2.48825	1.573	-0.124322890729	0.0785933515992	below	*
C05844	5-L-Glutamyl-taurine	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C00033	Acetate	7.146	-0.126	-2.50075	0.447	-0.250947440567	-0.103666097797	above	*
C00031	D-Glucose	0.0	0.0	-0.678	2.722	-0.0338755832068	0.136001972697	none	n.s.
C00136	Butanoyl-CoA	0.0	0.0	-2.02975	0.0	-0.101414402675	0.0	none	n.s.
C00135	L-Histidine	1.585	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	above	*
C00134	Putrescine	0.0	0.0	-0.415	1.737	-0.0207350546177	0.0867874454723	none	n.s.
C00133	D-Alanine	0.0	0.0	-1.138	2.678	-0.0568590172409	0.133803557268	none	n.s.
C00131	dATP	2.222	0.0	0.0	0.0	0.0	0.0	above	*
C00130	IMP	-1.322	0.0	-1.1895	1.392	-0.059432162573	0.0695498699467	below	*
C05635	5-Hydroxyindoleacetate	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C05634	5-Hydroxyindoleacetaldehyde	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C06112	L-Glutamyl-tRNA(Gln)	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.0	0.0	0.0	1.0	0.0	0.0499639870307	none	n.s.
C00041	L-Alanine	0.807	0.0	-0.585	2.0	-0.0292289324129	0.0999279740613	above	*
C00040	Acyl-CoA	0.193	2.051	0.515	3.837	2.02526854668	2.24271181824	below	*
C00047	L-Lysine	4.298	0.0	0.0	1.874	0.0	0.0936325116955	above	*
C00046	RNA	-5.98	0.0	-2.17	0.0	-0.108421851857	0.0	below	*
C00044	GTP	-6.393	0.0	-2.2955	3.19775	-0.114692332229	0.159772339527	below	*
C00049	L-Aspartate	0.0	0.0	-1.122	2.6355	-0.0560595934484	0.131680087819	none	n.s.
C00048	Glyoxylate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C02642	3-Ureidopropionate	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C00149	(S)-Malate	0.0	0.0	-0.9055	0.0	-0.0452423902563	0.0	none	n.s.
C06481	L-Seryl-tRNA(Sec)	-5.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	below	*
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C06482	L-Selenocysteinyl-tRNA(Sec)	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	0.0	-2.0	0.0	-0.0999279740613	0.0	none	n.s.
C01101	L-Ribulose_5-phosphate	0.0	0.0	0.0	2.585	0.0	0.129156906474	none	n.s.
C01100	L-Histidinol_phosphate	0.0	0.0	-1.0	1.0	-0.0499639870307	0.0499639870307	none	n.s.
C01103	Orotidine_5'-phosphate	-2.585	0.0	-1.0	1.0	-0.0499639870307	0.0499639870307	below	*
C01102	O-Phospho-L-homoserine	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C03688	Apo-[acyl-carrier-protein]	2.322	0.0	0.0	2.0	0.0	0.0999279740613	above	*
C06002	(S)-Methylmalonate_semialdehyde	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.0	0.0	-0.907	0.907	-0.0453173362368	0.0453173362368	none	n.s.
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	0.0	-1.585	1.0	-0.0791929194436	0.0499639870307	none	n.s.
C00227	Acetyl_phosphate	2.23	0.0	0.0	0.0	0.0	0.0	above	*
C16565	Aminopropylcadaverine	0.0	0.0	-2.0	0.0	-0.0999279740613	0.0	none	n.s.
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	0.585	0.0	-1.17	1.17	-0.0584578648259	0.0584578648259	above	*
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	0.0	-1.415	-3.273	0.0	-1.57853212955	-1.415	above	*
C00954	Indole-3-acetate	0.0	-1.0	-2.95425	0.0	-1.14760610869	-1.0	above	*
C00957	Mercaptopyruvate	-0.222	0.0	-0.939	0.0	-0.0469161838218	0.0	below	*
C05345	beta-D-Fructose_6-phosphate	2.825	0.0	-3.09425	1.569	-0.15460106687	0.0783934956511	above	*
C00818	D-Glucarate	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C00819	D-Glutamine	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00424	(S)-Lactaldehyde	0.0	0.0	-2.0	0.0	-0.0999279740613	0.0	none	n.s.
C00429	5,6-Dihydrouracil	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00817	D-Altronate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C03451	(R)-S-Lactoylglutathione	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C01672	Cadaverine	0.0	0.0	0.0	2.0	0.0	0.0999279740613	none	n.s.
C00036	Oxaloacetate	0.0	0.0	0.0	1.01225	0.0	0.0505760458718	none	n.s.
C05223	Dodecanoyl-[acyl-carrier_protein]	3.17	0.0	-1.585	1.0	-0.0791929194436	0.0499639870307	above	*
C00037	Glycine	2.402	0.0	-1.967	2.497	-0.0982791624893	0.124760075616	above	*
C15809	Iminoglycine	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C16698	N-Acetylmuramic_acid_6-phosphate	0.0	-1.322	-3.392	0.0	-1.49147784401	-1.322	above	*
C03912	(S)-1-Pyrroline-5-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C02512	3-Cyano-L-alanine	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00253	Nicotinate	-0.737	-1.0	-3.12875	0.0	-1.15632482442	-1.0	above	*
C00250	Pyridoxal	0.0	0.0	0.0	2.0	0.0	0.0999279740613	none	n.s.
C00251	Chorismate	0.0	0.0	0.0	2.122	0.0	0.106023580479	none	n.s.
C00256	(R)-Lactate	2.585	0.0	0.0	2.585	0.0	0.129156906474	above	*
C05338	4-Hydroxyphenylacetyl-CoA	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00255	Riboflavin	0.0	0.0	-1.585	2.0	-0.0791929194436	0.0999279740613	none	n.s.
C05336	Selenomethionyl-tRNA(Met)	-4.0	0.0	-2.585	0.0	-0.129156906474	0.0	below	*
C00392	Mannitol	2.807	1.322	0.0	3.248	1.322	1.48428302988	above	*
C00258	D-Glycerate	0.0	0.0	-0.585	0.585	-0.0292289324129	0.0292289324129	none	n.s.
C05335	L-Selenomethionine	3.0	0.0	-1.322	2.585	-0.0660523908545	0.129156906474	above	*
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	0.0	0.0	0.0	2.0	0.0	0.0999279740613	none	n.s.
C01081	Thiamin_monophosphate	0.0	0.0	-2.585	0.0	-0.129156906474	0.0	none	n.s.
C01083	alpha,alpha-Trehalose	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00559	Deoxyadenosine	0.0	0.0	-1.0	1.415	-0.0499639870307	0.0706990416484	none	n.s.
C00491	L-Cystine	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00492	Raffinose	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00493	Shikimate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00555	4-Aminobutyraldehyde	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C01089	(R)-3-Hydroxybutanoate	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00498	ADP-glucose	0.0	0.0	-0.322	0.322	-0.0160884038239	0.0160884038239	none	n.s.
C00882	Dephospho-CoA	-0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
