Compound_code	Compound_name	Metabolite_score	Significance	Lower_95_Confidence	Upper_95_Confidence
C00387	Guanosine	1.737	<0.01	5.24675608014	7.06217206961
C02504	alpha-Isopropylmalate	0.0	<0.01	-2.8191921875	-1.5302203125
C00229	Acyl-carrier_protein	-1.585	n.s.	-1.94324668523	-0.638399629226
C00499	Allantoate	0.0	<0.01	3.7967675064	6.22997789582
C00380	Cytosine	0.0	<0.01	0.0	0.0
C16396	2,4-Diamino-6-nitrotoluene	1.222	<0.01	5.00978512936	6.87667128105
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	<0.01	0.0	0.0
C00546	Methylglyoxal	-1.0	<0.01	-6.86340335769	-5.02724297754
C16399	2,4-Diamino-6-hydroxylaminotoluene	-1.222	<0.01	-6.87667128105	-5.00978512936
C16217	3-Hydroxyoctadecanoyl-CoA	-0.0	<0.01	-6.22997789582	-3.7967675064
C02291	L-Cystathionine	0.0	<0.01	3.7967675064	6.22997789582
C00364	dTMP	-2.322	<0.01	1.51274463769	2.82681873869
C00365	dUMP	0.322	<0.01	-1.72872094543	-0.288446322988
C00362	dGMP	0.0	<0.01	0.0	0.0
C16244	Cobalt-precorrin_7	-0.0	<0.01	0.930044086005	2.25594195383
C00360	dAMP	0.0	<0.01	0.0	0.0
C00008	ADP	-4.883	<0.01	2.58581593441	3.9602229813
C00007	Oxygen	0.0	<0.01	3.7967675064	6.22997789582
C00006	NADP+	-0.0	<0.01	-6.22997789582	-3.7967675064
C00003	NAD+	0.0	<0.01	1.7091	2.9646
C00002	ATP	6.129	<0.01	-5.4002402795	-4.03963888222
C00369	Starch	0.0	n.s.	-0.17970954226	1.19415580837
C05703	Methaneselenol	-1.807	<0.01	-6.9703123237	-5.1492270117
C06613	trans-3-Chloroallyl_aldehyde	-1.511	n.s.	-2.81415234244	-1.22574112234
C06507	Adenosyl_cobyrinate_hexaamide	0.0	<0.01	0.907606666667	2.27735333333
C16619	6-Thioguanosine_monophosphate	-3.807	<0.01	-6.91269680471	-5.04413117603
C11062	4-Hydroxybutyryl-CoA	0.0	<0.01	3.7967675064	6.22997789582
C02612	(R)-2-Methylmalate	0.0	<0.01	5.18563707027	6.98822382784
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.322	<0.01	-6.22997789582	-3.7967675064
C16614	6-Methylmercaptopurine	3.322	<0.01	3.7967675064	6.22997789582
C00645	N-Acetyl-D-mannosamine	-4.459	<0.01	-7.00166983849	-5.13009626364
C00099	beta-Alanine	0.0	<0.01	1.65443593603	3.04638443696
C00311	Isocitrate	0.0	<0.01	-2.79314854264	-1.24762285717
C00310	D-Xylulose	-0.0	<0.01	1.14796355996	2.44802675328
C00641	1,2-Diacyl-sn-glycerol	0.0	<0.01	-2.49507078607	-1.09864274844
C01931	L-Lysyl-tRNA	-5.644	n.s.	-6.22997789582	-3.7967675064
C00315	Spermidine	0.0	n.s.	0.0	0.0
C00314	Pyridoxine	0.0	<0.01	3.7967675064	6.22997789582
C00091	Succinyl-CoA	1.926	<0.01	-3.71754500591	-2.06945854521
C00760	Cellulose	0.0	<0.01	1.75915291451	3.17127430347
C00093	sn-Glycerol_3-phosphate	0.341	<0.01	-4.38304941351	-3.09536080155
C00094	Sulfite	0.0	<0.01	-2.27197149398	-0.429509259203
C00095	D-Fructose	1.0	<0.01	-4.89580557431	-3.61527440627
C00096	GDP-mannose	0.0	<0.01	0.0	0.0
C00097	L-Cysteine	1.283	<0.01	-1.96285463602	-0.630154953829
C14099	2-Naphthaldehyde	-3.248	<0.01	-6.93983874115	-5.11956080169
C06311	Galactitol_1-phosphate	0.0	<0.01	-6.88316209246	-5.04168374579
C00433	2,5-Dioxopentanoate	0.0	<0.01	3.7967675064	6.22997789582
C14090	1-Naphthaldehyde	-3.248	<0.01	-6.93983874115	-5.11956080169
C14095	2-Hydroxy-3-carboxybenzalpyruvate	3.322	<0.01	3.7967675064	6.22997789582
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2.0	<0.01	3.7967675064	6.22997789582
C14096	3-Formylsalicylic_acid	-3.322	<0.01	-6.22997789582	-3.7967675064
C02702	L-Prolyl-tRNA(Pro)	-3.807	n.s.	-6.22997789582	-3.7967675064
C04732	5-Amino-6-(1-D-ribitylamino)uracil	0.0	<0.01	1.14241202063	2.46288207198
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	<0.01	0.0	0.0
C05172	Selenophosphoric_acid	0.0	<0.01	3.7967675064	6.22997789582
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0.0	<0.01	3.7967675064	6.22997789582
C11949	3-Isopropylbut-3-enoyl-CoA	0.0	<0.01	-6.22997789582	-3.7967675064
C05775	alpha-Ribazole	0.0	<0.01	-1.70423173974	-0.295768260255
C07118	Benzoyl_acetyl-CoA	0.0	<0.01	3.7967675064	6.22997789582
C05773	Cobyrinate	-1.585	<0.01	-6.22997789582	-3.7967675064
C05778	Sirohydrochlorin	0.0	<0.01	0.277586477225	1.7313901003
C05670	3-Aminopropiononitrile	0.0	<0.01	3.7967675064	6.22997789582
C00164	Acetoacetate	0.0	<0.01	1.7875914142	3.18353376457
C00166	Phenylpyruvate	0.0	<0.01	-3.01522864521	-1.38782227212
C00167	UDP-glucuronate	-0.0	<0.01	-6.22997789582	-3.7967675064
C00160	Glycolate	0.0	<0.01	1.09974693283	2.49780250442
C03794	N6-(1,2-Dicarboxyethyl)-AMP	1.874	<0.01	-1.2877922674	0.294141086593
C00162	Fatty_acid	0.0	<0.01	3.7967675064	6.22997789582
C00163	Propanoate	7.358	<0.01	3.7967675064	6.22997789582
C02984	L-Aspartyl-tRNA(Asp)	-5.17	n.s.	-6.22997789582	-3.7967675064
C02987	L-Glutamyl-tRNA(Glu)	-2.807	<0.01	-6.22997789582	-3.7967675064
C00169	Carbamoyl_phosphate	-2.684	<0.01	1.36741761657	2.65487091694
C02047	L-Leucyl-tRNA	-3.7	<0.05	-6.22997789582	-3.7967675064
C03082	4-Phospho-L-aspartate	0.0	<0.01	-2.85972714596	-1.48104173312
C04377	5,10-Methylenetetrahydromethanopterin	-3.0	<0.01	-6.22997789582	-3.7967675064
C04376	5'-Phosphoribosyl-N-formylglycinamide	0.0	<0.01	0.944124007742	2.23986914501
C20396	Methylphosphonate	0.0	<0.01	5.06956080169	6.92255836648
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.421	<0.01	-2.0106303246	-0.582007857756
C03089	5-Methylthio-D-ribose	0.0	<0.01	0.0	0.0
C00860	L-Histidinol	-0.0	<0.01	0.643187974816	1.93652426863
C00862	Methanofuran	0.0	<0.01	0.0	0.0
C02962	D-Allose_6-phosphate	1.585	<0.01	3.7967675064	6.22997789582
C00864	Pantothenate	2.322	<0.01	-1.96443777529	-0.631230795533
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.0	<0.01	-2.00205062012	-0.591825677919
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	<0.01	0.0	0.0
C00906	5,6-Dihydrothymine	0.0	<0.01	3.7967675064	6.22997789582
C01419	Cys-Gly	1.585	n.s.	1.15294439744	2.42644287814
C16186	L-Ascorbate_6-phosphate	0.0	<0.01	-7.05788765254	-5.22309626364
C01149	4-Trimethylammoniobutanal	0.0	<0.01	3.7967675064	6.22997789582
C01144	(S)-3-Hydroxybutanoyl-CoA	0.346	<0.05	-1.25952770047	0.265951323633
C01146	2-Hydroxy-3-oxopropanoate	0.0	<0.01	-6.22997789582	-3.7967675064
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	<0.01	0.0	0.0
C01142	(3S)-3,6-Diaminohexanoate	-3.17	<0.01	-6.22997789582	-3.7967675064
C06510	Adenosine-GDP-cobinamide	-0.0	<0.01	-2.83526347005	-1.51065577718
C03561	(R)-3-Hydroxybutanoyl-CoA	3.0	<0.01	3.7967675064	6.22997789582
C03402	L-Asparaginyl-tRNA(Asn)	-4.954	n.s.	-6.22997789582	-3.7967675064
C03406	N-(L-Arginino)succinate	0.0	<0.01	-6.22997789582	-3.7967675064
C05512	Deoxyinosine	0.0	<0.01	1.47214971616	2.86615654542
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	0.0	<0.01	0.0	0.0
C07645	Aldophosphamide	0.0	<0.01	3.7967675064	6.22997789582
C07648	Thioguanine	3.322	<0.01	3.7967675064	6.22997789582
C05519	L-Allothreonine	0.0	<0.01	0.0	0.0
C00327	L-Citrulline	0.0	<0.01	1.53206057108	2.81877266613
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	0.0	<0.01	0.903732944904	2.27544146574
C02320	R-S-Glutathione	0.0	<0.01	3.7967675064	6.22997789582
C00084	Acetaldehyde	0.71	<0.01	0.90854488389	2.27538391438
C02463	Precorrin_2	0.0	<0.01	3.7967675064	6.22997789582
C05269	3-Oxohexanoyl-CoA	-3.17	<0.01	-6.22997789582	-3.7967675064
C03232	3-Phosphonooxypyruvate	0.0	<0.01	-6.22997789582	-3.7967675064
C18096	D-Allulose_6-phosphate	-1.585	<0.01	-6.22997789582	-3.7967675064
C00269	CDP-diacylglycerol	-1.807	<0.01	-3.24753610117	-1.96309502393
C09814	Benzonitrile	0.0	<0.01	3.7967675064	6.22997789582
C11539	Cobalt-precorrin_3	0.0	<0.01	3.7967675064	6.22997789582
C11538	Cobalt-sirohydrochlorin	-0.0	<0.01	-6.22997789582	-3.7967675064
C00263	L-Homoserine	0.0	<0.01	-0.958751308093	0.922954659309
C00262	Hypoxanthine	-2.059	n.s.	-2.72801259548	-1.29681783411
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	0.0	n.s.	0.0	0.0
C16216	3-Oxostearoyl-CoA	0.0	<0.01	3.7967675064	6.22997789582
C00267	alpha-D-Glucose	0.0	<0.01	1.78314536398	3.13887275186
C00266	Glycolaldehyde	-0.0	<0.01	-6.22997789582	-3.7967675064
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-0.0	<0.01	1.35074719929	2.67261327426
C00402	D-Aspartate	0.0	<0.01	-6.22997789582	-3.7967675064
C00460	dUTP	0.0	<0.01	3.7967675064	6.22997789582
C00286	dGTP	-3.844	<0.01	-5.31976907573	-4.04107055435
C00283	Hydrogen_sulfide	0.0	<0.01	1.25925585338	2.78933512323
C00282	Hydrogen	0.0	<0.01	-6.22997789582	-3.7967675064
C00320	Thiosulfate	0.0	<0.01	0.0	0.0
C01962	Thiocysteine	0.0	<0.01	-6.22997789582	-3.7967675064
C00088	Nitrite	0.0	<0.01	0.0	0.0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-0.0	<0.01	-2.46482845418	-1.14374463769
C02218	Dehydroalanine	0.0	<0.01	-6.22997789582	-3.7967675064
C05947	L-erythro-4-Hydroxyglutamate	0.0	<0.01	0.0	0.0
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	<0.01	0.0	0.0
C01209	Malonyl-[acyl-carrier_protein]	2.907	n.s.	2.0633534006	3.33048759444
C00217	D-Glutamate	-1.807	n.s.	-2.27961274747	-0.914728684514
C00214	Thymidine	0.0	n.s.	0.0	0.0
C00212	Adenosine	1.585	<0.01	4.99213117603	6.87844842703
C00606	3-Sulfino-L-alanine	-1.0	<0.01	1.41900535079	2.99368505769
C06399	Hydrogenobyrinate	-1.585	<0.01	-6.22997789582	-3.7967675064
C05841	Nicotinate_D-ribonucleoside	0.0	<0.01	3.7967675064	6.22997789582
C00035	GDP	-2.433	n.s.	-2.45739486132	-1.15109219196
C05844	5-L-Glutamyl-taurine	0.0	<0.01	-6.22997789582	-3.7967675064
C00033	Acetate	7.146	<0.01	2.71024806495	3.99651446714
C00031	D-Glucose	0.0	<0.01	2.553	3.8092
C00136	Butanoyl-CoA	0.0	<0.01	2.19708027321	3.73202609074
C00135	L-Histidine	1.585	n.s.	0.342853741956	1.65714625804
C00134	Putrescine	0.0	<0.01	2.01890472135	3.39709256262
C00133	D-Alanine	0.0	<0.01	-3.236683136	-1.96982572316
C00131	dATP	2.222	<0.01	0.193412216103	1.88076725018
C00130	IMP	-1.322	n.s.	-1.67175078449	-0.331263630489
C05635	5-Hydroxyindoleacetate	0.0	<0.01	-6.22997789582	-3.7967675064
C05634	5-Hydroxyindoleacetaldehyde	0.0	<0.01	3.7967675064	6.22997789582
C06112	L-Glutamyl-tRNA(Gln)	0.0	<0.01	0.0	0.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.0	n.s.	-0.240716613957	1.24668605038
C00041	L-Alanine	0.807	<0.01	-3.49228042566	-2.16735318469
C00040	Acyl-CoA	0.193	<0.01	5.01277327653	6.84028217231
C00047	L-Lysine	4.298	<0.01	-3.30112386498	-1.92616370356
C00046	RNA	-5.98	<0.01	3.16065665451	4.63229135864
C00044	GTP	-6.393	<0.01	-2.52234581343	-1.08544242027
C00049	L-Aspartate	0.0	<0.01	0.28295883865	1.72694541959
C00048	Glyoxylate	0.0	<0.01	-0.908514419258	0.908514419258
C02642	3-Ureidopropionate	0.0	<0.01	-6.22997789582	-3.7967675064
C00149	(S)-Malate	0.0	<0.01	0.541081457557	2.07020732302
C06481	L-Seryl-tRNA(Sec)	-5.0	<0.01	-0.655782077624	0.657911240214
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	0.0	<0.01	1.34269978163	2.66157534175
C06482	L-Selenocysteinyl-tRNA(Sec)	0.0	<0.01	-6.22997789582	-3.7967675064
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	<0.01	-6.22997789582	-3.7967675064
C01101	L-Ribulose_5-phosphate	0.0	<0.01	3.7967675064	6.22997789582
C01100	L-Histidinol_phosphate	0.0	<0.01	0.899943688976	2.29678323146
C01103	Orotidine_5'-phosphate	-2.585	<0.01	-1.99996777084	-0.597152914508
C01102	O-Phospho-L-homoserine	0.0	<0.01	0.0	0.0
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	0.0	<0.01	-3.07583694881	-1.37511074446
C03688	Apo-[acyl-carrier-protein]	2.322	<0.01	3.7967675064	6.22997789582
C06002	(S)-Methylmalonate_semialdehyde	0.0	<0.01	3.7967675064	6.22997789582
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.0	<0.01	-2.00205062012	-0.591825677919
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	<0.01	-3.91672273188	-2.61640338839
C00227	Acetyl_phosphate	2.23	<0.01	-0.958958518642	0.958958518642
C16565	Aminopropylcadaverine	0.0	<0.01	-6.22997789582	-3.7967675064
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	0.585	<0.01	-2.30328897227	-0.902406039791
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	0.0	<0.01	-6.78794015132	-4.89255764328
C00954	Indole-3-acetate	0.0	<0.01	-7.05600909091	-5.23438181818
C00957	Mercaptopyruvate	-0.222	<0.01	1.0130887247	2.65025335467
C05345	beta-D-Fructose_6-phosphate	2.825	n.s.	1.93318006262	3.26586594863
C00818	D-Glucarate	0.0	<0.01	-6.22997789582	-3.7967675064
C00819	D-Glutamine	0.0	<0.01	0.0	0.0
C00424	(S)-Lactaldehyde	0.0	<0.01	-6.22997789582	-3.7967675064
C00429	5,6-Dihydrouracil	0.0	<0.01	3.7967675064	6.22997789582
C00817	D-Altronate	0.0	<0.01	0.0	0.0
C03451	(R)-S-Lactoylglutathione	0.0	<0.01	3.7967675064	6.22997789582
C01672	Cadaverine	0.0	<0.01	3.7967675064	6.22997789582
C00036	Oxaloacetate	0.0	<0.01	-3.01701774912	-1.3939681189
C05223	Dodecanoyl-[acyl-carrier_protein]	3.17	<0.01	-2.2426644461	-0.942151523901
C00037	Glycine	2.402	n.s.	1.32403542479	2.69750146248
C15809	Iminoglycine	0.0	<0.01	3.7967675064	6.22997789582
C16698	N-Acetylmuramic_acid_6-phosphate	0.0	<0.01	-6.84792905877	-4.9952655838
C03912	(S)-1-Pyrroline-5-carboxylate	0.0	<0.01	0.0	0.0
C02512	3-Cyano-L-alanine	0.0	<0.01	3.7967675064	6.22997789582
C00253	Nicotinate	-0.737	<0.01	-7.04116786967	-5.23575608014
C00250	Pyridoxal	0.0	<0.01	3.7967675064	6.22997789582
C00251	Chorismate	0.0	<0.01	-3.04257900643	-1.64847143228
C00256	(R)-Lactate	2.585	<0.01	3.7967675064	6.22997789582
C05338	4-Hydroxyphenylacetyl-CoA	0.0	<0.01	3.7967675064	6.22997789582
C00255	Riboflavin	0.0	<0.01	-3.12476899162	-1.79886093537
C05336	Selenomethionyl-tRNA(Met)	-4.0	n.s.	-6.22997789582	-3.7967675064
C00392	Mannitol	2.807	<0.01	5.00978512936	6.85663241545
C00258	D-Glycerate	0.0	n.s.	-1.23748514756	0.237485147561
C05335	L-Selenomethionine	3.0	<0.01	-3.09303154897	-1.8395109489
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	0.0	<0.01	-6.22997789582	-3.7967675064
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	0.0	<0.01	3.7967675064	6.22997789582
C01081	Thiamin_monophosphate	0.0	<0.01	-6.22997789582	-3.7967675064
C01083	alpha,alpha-Trehalose	0.0	<0.01	3.7967675064	6.22997789582
C00559	Deoxyadenosine	0.0	<0.01	-2.86615654542	-1.47214971616
C00491	L-Cystine	0.0	<0.01	3.7967675064	6.22997789582
C00492	Raffinose	0.0	<0.01	3.7967675064	6.22997789582
C00493	Shikimate	0.0	n.s.	-0.294819472488	1.3157401612
C00555	4-Aminobutyraldehyde	0.0	<0.01	3.7967675064	6.22997789582
C01089	(R)-3-Hydroxybutanoate	0.0	<0.01	3.7967675064	6.22997789582
C00498	ADP-glucose	0.0	<0.01	1.42639753608	2.94006572067
C00882	Dephospho-CoA	-0.0	<0.01	-3.25608017082	-1.94486918866
C00881	Deoxycytidine	0.0	<0.01	3.7967675064	6.22997789582
C00078	L-Tryptophan	1.585	<0.01	3.7967675064	6.22997789582
C00079	L-Phenylalanine	0.0	<0.01	-0.898571428571	0.898571428571
C00072	Ascorbate	0.0	<0.01	5.22309626364	7.05788765254
C00073	L-Methionine	3.632	<0.01	-3.58111847115	-2.26481603126
C00071	Aldehyde	-2.248	<0.01	-6.92471138691	-5.11040758194
C00077	L-Ornithine	0.0	<0.01	1.18507540209	2.40821787862
C00074	Phosphoenolpyruvate	-7.421	<0.01	1.94027244958	3.25810504061
C00075	UTP	7.212	<0.01	4.87696528502	6.74140626981
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-0.0	<0.01	-6.22997789582	-3.7967675064
C00039	DNA	0.0	<0.01	0.0	0.0
C03127	L-Isoleucyl-tRNA(Ile)	-4.248	n.s.	-6.22997789582	-3.7967675064
C00085	D-Fructose_6-phosphate	3.609	<0.01	-1.13392323025	0.133923230245
C02352	1,4-beta-D-Xylan	0.0	<0.01	3.7967675064	6.22997789582
C00083	Malonyl-CoA	0.0	<0.01	3.09727810932	4.37597863124
C00082	L-Tyrosine	0.0	<0.05	0.114053857411	1.96671536505
C00080	H+	0.0	<0.01	3.7967675064	6.22997789582
C16630	5,6-Dihydro-5-fluorouracil	0.0	<0.01	3.7967675064	6.22997789582
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-1.0	<0.01	-0.66412855464	0.656793853754
C03175	Shikimate_3-phosphate	0.0	<0.01	-2.57188352281	-1.02900048284
C00089	Sucrose	0.0	<0.01	5.23163707027	7.07061217468
C04646	6-Thioinosine-5'-monophosphate	-2.322	<0.01	-2.99306827153	-1.67975445535
C00670	sn-Glycero-3-phosphocholine	0.0	<0.01	3.7967675064	6.22997789582
C00671	(S)-3-Methyl-2-oxopentanoic_acid	0.0	<0.01	-6.22997789582	-3.7967675064
C00672	2-Deoxy-D-ribose_1-phosphate	0.0	<0.01	-3.13840976444	-1.80566740978
C00673	2-Deoxy-D-ribose_5-phosphate	0.0	<0.01	1.17026458124	2.43753426442
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	0.0	<0.01	-6.22997789582	-3.7967675064
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	<0.01	0.265730769231	1.73806153846
C01929	L-Histidinal	0.0	<0.01	0.0	0.0
C05936	N4-Acetylaminobutanal	0.0	<0.01	3.7967675064	6.22997789582
C00106	Uracil	1.0	<0.01	-4.02250991069	-2.6856479747
C00105	UMP	0.0	<0.01	-1.82234276444	-0.199576871497
C00103	D-Glucose_1-phosphate	1.713	n.s.	1.33482859344	2.68768053756
C00100	Propanoyl-CoA	-4.555	<0.01	-3.34396226331	-1.88010006329
C00101	Tetrahydrofolate	-2.878	<0.01	2.85572378425	4.30349113603
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	0.0	<0.01	0.340397111864	1.65679385375
C00109	2-Oxobutanoate	0.28	<0.01	2.2831255308	3.56369889156
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	0.0	<0.01	2.15985174645	3.48497986953
C00363	dTDP	0.0	<0.01	-6.22997789582	-3.7967675064
C15980	(S)-2-Methylbutanoyl-CoA	0.0	<0.01	0.0	0.0
C05764	Hexadecanoyl-[acp]	3.17	<0.01	-2.2426644461	-0.942151523901
C06899	Chloral_hydrate	0.0	<0.01	3.7967675064	6.22997789582
C05761	Tetradecanoyl-[acp]	3.17	<0.01	-2.2426644461	-0.942151523901
C05760	trans-Tetradec-2-enoyl-[acp]	-0.0	<0.01	-2.24179385375	-0.92446076707
C05763	trans-Hexadec-2-enoyl-[acp]	-0.0	<0.01	-2.24179385375	-0.92446076707
C05762	3-Oxohexadecanoyl-[acp]	-2.907	n.s.	-3.30557333333	-1.92109333333
C00361	dGDP	3.926	<0.05	2.61896818883	3.91359869612
C00170	5'-Methylthioadenosine	0.0	n.s.	-1.37788182446	0.356983405201
C02670	D-Glucuronolactone	0.0	<0.01	3.7967675064	6.22997789582
C02992	L-Threonyl-tRNA(Thr)	-4.087	n.s.	-6.22997789582	-3.7967675064
C00179	Agmatine	0.0	<0.01	0.636194280835	1.95306267884
C00178	Thymine	0.0	<0.01	0.0	0.0
C02995	Maltose_6'-phosphate	0.0	<0.01	1.16969187349	2.44502334288
C00447	Sedoheptulose_1,7-bisphosphate	0.0	<0.01	0.0	0.0
C03090	5-Phosphoribosylamine	0.0	<0.01	-2.30525202771	-0.8754885727
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-2.17	<0.01	-6.88001509423	-5.03578512936
C07086	Phenylacetic_acid	0.0	<0.01	-6.22997789582	-3.7967675064
C01077	O-Acetyl-L-homoserine	0.0	<0.01	3.7967675064	6.22997789582
C02972	Dihydrolipoylprotein	0.0	<0.01	3.7967675064	6.22997789582
C11434	2-C-Methyl-D-erythritol_4-phosphate	0.0	<0.01	0.0	0.0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.0	<0.01	0.526884077244	2.07643683597
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.0	<0.01	1.40272959155	2.97764404497
C00857	Deamino-NAD+	-1.585	n.s.	-2.66457202287	-1.34571415652
C02412	Glycyl-tRNA(Gly)	-4.129	<0.01	-6.93811250282	-5.10324297754
C00853	Cob(I)alamin	2.0	<0.01	3.7967675064	6.22997789582
C01179	3-(4-Hydroxyphenyl)pyruvate	0.0	<0.01	-2.10766222658	-0.337504198127
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.7	<0.01	-0.159721107996	1.16112300237
C01170	UDP-N-acetyl-D-mannosamine	0.0	<0.01	0.0	0.0
C04411	(2R,3S)-3-Isopropylmalate	0.0	n.s.	-1.18977660458	0.20357888445
C01172	beta-D-Glucose_6-phosphate	1.17	<0.01	2.12132205317	3.56784353591
C00473	Retinol	0.0	<0.01	3.7967675064	6.22997789582
C03892	Phosphatidylglycerophosphate	-0.0	<0.01	-6.22997789582	-3.7967675064
C00681	1-Acyl-sn-glycerol_3-phosphate	0.0	<0.01	0.936763053258	2.26457664646
C00680	meso-2,6-Diaminoheptanedioate	0.0	<0.01	2.01837837229	3.39778432865
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	0.0	<0.01	0.0	0.0
