Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C00073	-5.629	-5.444	-4.459	-3.474	-3.289
C00071	-6.875	-6.843	-6.672	-6.501	-6.469
C00077	-0.109	0.066	1.0	1.934	2.109
C00074	-3.665	-3.474	-2.4535	-1.433	-1.242
C00075	6.282	6.315	6.492	6.669	6.702
C04454	-6.077	-5.994	-5.555	-5.116	-5.033
C00039	0.0	0.0	0.0	0.0	0.0
C03127	-6.077	-5.994	-5.555	-5.116	-5.033
C00085	-3.157	-2.974	-2.0	-1.026	-0.843
C02352	5.033	5.116	5.555	5.994	6.077
C00083	4.31	4.489	5.4425	6.396	6.575
C00082	0.348	0.634	2.161	3.688	3.974
C00080	5.033	5.116	5.555	5.994	6.077
C16630	5.033	5.116	5.555	5.994	6.077
C04640	-0.091	0.081	1.0	1.919	2.091
C03175	0.009	0.212	1.2925	2.373	2.576
C00089	6.637	6.668	6.833	6.998	7.029
C04646	1.502	1.673	2.585	3.497	3.668
C00670	5.033	5.116	5.555	5.994	6.077
C00671	-6.077	-5.994	-5.555	-5.116	-5.033
C00672	-1.089	-0.917	0.0	0.917	1.089
C00673	3.158	3.33	4.248	5.166	5.338
C01251	-6.077	-5.994	-5.555	-5.116	-5.033
C01250	1.09	1.285	2.322	3.359	3.554
C01929	0.0	0.0	0.0	0.0	0.0
C05936	5.033	5.116	5.555	5.994	6.077
C00106	-2.491	-2.302	-1.2925	-0.283	-0.094
C00105	0.078	0.316	1.585	2.854	3.092
C00103	-3.659	-3.469	-2.4535	-1.438	-1.248
C00100	0.722	0.924	2.0	3.076	3.278
C00101	3.473	3.683	4.807	5.931	6.141
C15556	-2.674	-2.502	-1.585	-0.668	-0.496
C00109	2.788	2.972	3.9535	4.935	5.119
C04702	-2.096	-1.923	-1.0	-0.077	0.096
C00363	-6.077	-5.994	-5.555	-5.116	-5.033
C15980	0.0	0.0	0.0	0.0	0.0
C05764	-3.66	-3.49	-2.585	-1.68	-1.51
C06899	5.033	5.116	5.555	5.994	6.077
C05761	-3.66	-3.49	-2.585	-1.68	-1.51
C05760	-2.384	-2.212	-1.2925	-0.373	-0.201
C05763	-2.384	-2.212	-1.2925	-0.373	-0.201
C05762	2.168	2.35	3.322	4.294	4.476
C00361	1.931	2.113	3.085	4.057	4.239
C00170	-1.083	-0.833	0.5	1.833	2.083
C02670	5.033	5.116	5.555	5.994	6.077
C02992	-6.077	-5.994	-5.555	-5.116	-5.033
C00179	-2.679	-2.506	-1.585	-0.664	-0.491
C00178	0.0	0.0	0.0	0.0	0.0
C02995	3.772	3.943	4.858	5.773	5.944
C00447	0.0	0.0	0.0	0.0	0.0
C03090	-3.207	-3.016	-2.0	-0.984	-0.793
C04260	-6.95	-6.916	-6.7345	-6.553	-6.519
C07086	-6.077	-5.994	-5.555	-5.116	-5.033
C01077	5.033	5.116	5.555	5.994	6.077
C02972	5.033	5.116	5.555	5.994	6.077
C11434	0.0	0.0	0.0	0.0	0.0
C11435	-3.697	-3.48	-2.322	-1.164	-0.947
C11436	-0.08	0.136	1.2925	2.449	2.665
C00857	-3.417	-3.244	-2.322	-1.4	-1.227
C02412	-7.002	-6.971	-6.8005	-6.63	-6.599
C00853	5.033	5.116	5.555	5.994	6.077
C01179	-3.546	-3.302	-2.0	-0.698	-0.454
C04823	0.494	0.666	1.585	2.504	2.676
C01170	0.0	0.0	0.0	0.0	0.0
C04411	2.811	3.006	4.0435	5.081	5.276
C01172	3.131	3.335	4.4255	5.516	5.72
C00473	5.033	5.116	5.555	5.994	6.077
C03892	-6.077	-5.994	-5.555	-5.116	-5.033
C00681	2.764	2.944	3.907	4.87	5.05
C00680	-4.733	-4.541	-3.522	-2.503	-2.311
C04556	0.0	0.0	0.0	0.0	0.0
C02411	-6.077	-5.994	-5.555	-5.116	-5.033
C02839	-6.077	-5.994	-5.555	-5.116	-5.033
C04257	5.033	5.116	5.555	5.994	6.077
C00689	-5.761	-5.589	-4.672	-3.755	-3.583
C05271	0.0	0.0	0.0	0.0	0.0
C05270	0.0	0.0	0.0	0.0	0.0
C02554	-6.077	-5.994	-5.555	-5.116	-5.033
C00512	-6.077	-5.994	-5.555	-5.116	-5.033
C16220	-2.086	-1.914	-1.0	-0.086	0.086
C00921	1.609	1.781	2.696	3.611	3.783
C04294	5.033	5.116	5.555	5.994	6.077
C00458	-7.316	-7.146	-6.2385	-5.331	-5.161
C04895	-6.077	-5.994	-5.555	-5.116	-5.033
C04896	0.706	0.877	1.7925	2.708	2.879
C00376	-6.077	-5.994	-5.555	-5.116	-5.033
C04488	-6.892	-6.859	-6.687	-6.515	-6.482
C00455	5.033	5.116	5.555	5.994	6.077
C01697	6.395	6.429	6.6075	6.786	6.82
C15972	-5.801	-5.627	-4.7	-3.773	-3.599
C16618	-2.873	-2.702	-1.7925	-0.883	-0.712
C00330	5.033	5.116	5.555	5.994	6.077
C00332	-3.688	-3.447	-2.161	-0.875	-0.634
C00334	0.416	0.601	1.585	2.569	2.754
C00337	1.395	1.583	2.585	3.587	3.775
C05699	5.033	5.116	5.555	5.994	6.077
C04688	-2.086	-1.914	-1.0	-0.086	0.086
C04122	-3.093	-2.92	-2.0	-1.08	-0.907
C00636	0.0	0.0	0.0	0.0	0.0
C00637	5.033	5.116	5.555	5.994	6.077
C00630	5.033	5.116	5.555	5.994	6.077
C00631	-3.889	-3.59	-2.0	-0.41	-0.111
C02527	0.0	0.0	0.0	0.0	0.0
C16221	-2.384	-2.212	-1.2925	-0.373	-0.201
C00208	6.51	6.541	6.707	6.873	6.904
C01001	0.0	0.0	0.0	0.0	0.0
C05985	5.033	5.116	5.555	5.994	6.077
C00204	1.553	1.781	3.0	4.219	4.447
C01212	-1.173	-0.987	0.0	0.987	1.173
C07490	-6.077	-5.994	-5.555	-5.116	-5.033
C01217	6.482	6.515	6.687	6.859	6.892
C00025	-3.39	-3.171	-2.0	-0.829	-0.61
C00024	-2.46	-2.23	-1.0	0.23	0.46
C00148	-4.62	-4.415	-3.322	-2.229	-2.024
C00026	-0.879	-0.661	0.5	1.661	1.879
C00021	1.837	2.02	3.0	3.98	4.163
C00020	2.051	2.302	3.6425	4.983	5.234
C00022	1.402	1.624	2.807	3.99	4.212
C00143	-3.555	-3.335	-2.161	-0.987	-0.767
C00140	5.033	5.116	5.555	5.994	6.077
C00141	-4.414	-4.23	-3.246	-2.262	-2.078
C00029	-5.928	-5.743	-4.755	-3.767	-3.582
C00147	-3.689	-3.474	-2.322	-1.17	-0.955
C00144	4.307	4.484	5.426	6.368	6.545
C03740	-6.077	-5.994	-5.555	-5.116	-5.033
C01079	-6.077	-5.994	-5.555	-5.116	-5.033
C05748	-2.384	-2.212	-1.2925	-0.373	-0.201
C05984	5.033	5.116	5.555	5.994	6.077
C05807	5.033	5.116	5.555	5.994	6.077
C05729	-5.714	-5.54	-4.6145	-3.689	-3.515
C04631	-2.711	-2.533	-1.585	-0.637	-0.459
C11437	0.303	0.571	2.0	3.429	3.697
C00644	3.572	3.746	4.672	5.598	5.772
C06319	0.0	0.0	0.0	0.0	0.0
C02739	2.675	2.877	3.9535	5.03	5.232
C00647	0.0	0.0	0.0	0.0	0.0
C05726	-6.929	-6.896	-6.721	-6.546	-6.513
C00705	2.977	3.159	4.1285	5.098	5.28
C06250	4.082	4.266	5.248	6.23	6.414
C01242	0.0	0.0	0.0	0.0	0.0
C02631	0.0	0.0	0.0	0.0	0.0
C02637	0.0	0.0	0.0	0.0	0.0
C03194	5.033	5.116	5.555	5.994	6.077
C04419	-6.041	-5.854	-4.858	-3.862	-3.675
C01528	-6.077	-5.994	-5.555	-5.116	-5.033
C02938	5.033	5.116	5.555	5.994	6.077
C00750	0.0	0.0	0.0	0.0	0.0
C04752	1.083	1.253	2.161	3.069	3.239
C04751	-3.245	-3.074	-2.161	-1.248	-1.077
C00763	-5.427	-5.253	-4.322	-3.391	-3.217
C01134	3.187	3.361	4.285	5.209	5.383
C01137	-3.866	-3.681	-2.696	-1.711	-1.526
C00092	-6.734	-6.701	-6.524	-6.347	-6.314
C06035	0.0	0.0	0.0	0.0	0.0
C02226	0.0	0.0	0.0	0.0	0.0
C03511	-6.077	-5.994	-5.555	-5.116	-5.033
C03512	-6.077	-5.994	-5.555	-5.116	-5.033
C06033	0.0	0.0	0.0	0.0	0.0
C12147	1.235	1.407	2.322	3.237	3.409
C00329	5.033	5.116	5.555	5.994	6.077
C04462	-3.422	-3.197	-2.0	-0.803	-0.578
C06408	5.033	5.116	5.555	5.994	6.077
C02741	0.0	0.0	0.0	0.0	0.0
C06407	-3.785	-3.613	-2.696	-1.779	-1.607
C06406	5.033	5.116	5.555	5.994	6.077
C20373	-2.086	-1.914	-1.0	-0.086	0.086
C20372	2.315	2.485	3.3905	4.296	4.466
C20377	-2.086	-1.914	-1.0	-0.086	0.086
C20376	2.315	2.485	3.3905	4.296	4.466
C20375	5.033	5.116	5.555	5.994	6.077
C20374	-6.077	-5.994	-5.555	-5.116	-5.033
C05897	1.709	1.883	2.807	3.731	3.905
C20378	-6.077	-5.994	-5.555	-5.116	-5.033
C00804	-6.077	-5.994	-5.555	-5.116	-5.033
C00969	5.033	5.116	5.555	5.994	6.077
C11545	-3.257	-3.084	-2.161	-1.238	-1.065
C00966	-1.725	-1.531	-0.5	0.531	0.725
C11540	-3.785	-3.613	-2.696	-1.779	-1.607
C11542	0.497	0.669	1.585	2.501	2.673
C11543	-3.544	-3.372	-2.4535	-1.535	-1.363
C02282	0.0	0.0	0.0	0.0	0.0
C04916	-5.057	-4.882	-3.9535	-3.025	-2.85
C00415	-6.077	-5.994	-5.555	-5.116	-5.033
C00416	1.427	1.61	2.585	3.56	3.743
C00417	0.0	0.0	0.0	0.0	0.0
C03460	-6.077	-5.994	-5.555	-5.116	-5.033
C04851	1.709	1.883	2.807	3.731	3.905
C03345	0.0	0.0	0.0	0.0	0.0
C00993	-4.267	-4.094	-3.17	-2.246	-2.073
C00620	6.461	6.495	6.672	6.849	6.883
C11355	3.384	3.559	4.4915	5.424	5.599
C05951	-6.077	-5.994	-5.555	-5.116	-5.033
C05576	0.0	0.0	0.0	0.0	0.0
C05577	0.0	0.0	0.0	0.0	0.0
C03263	5.033	5.116	5.555	5.994	6.077
C00378	0.0	0.0	0.0	0.0	0.0
C00242	-5.695	-5.51	-4.524	-3.538	-3.353
C00245	5.033	5.116	5.555	5.994	6.077
C00246	0.0	0.0	0.0	0.0	0.0
C00624	1.911	2.083	3.0	3.917	4.089
C16587	-6.077	-5.994	-5.555	-5.116	-5.033
C02170	-6.077	-5.994	-5.555	-5.116	-5.033
C00568	-0.101	0.073	1.0	1.927	2.101
C01099	5.033	5.116	5.555	5.994	6.077
C01097	6.559	6.591	6.7615	6.932	6.964
C01096	3.929	4.105	5.044	5.983	6.159
C01094	3.356	3.535	4.4915	5.448	5.627
C05682	5.033	5.116	5.555	5.994	6.077
C00341	0.0	0.0	0.0	0.0	0.0
C00342	-6.193	-6.019	-5.087	-4.155	-3.981
C00343	4.165	4.339	5.2665	6.194	6.368
C00344	5.033	5.116	5.555	5.994	6.077
C05684	5.033	5.116	5.555	5.994	6.077
C00061	0.0	0.0	0.0	0.0	0.0
C00060	-6.077	-5.994	-5.555	-5.116	-5.033
C00063	6.228	6.262	6.443	6.624	6.658
C00062	6.598	6.629	6.794	6.959	6.99
C00065	-5.766	-5.564	-4.4915	-3.419	-3.217
C00064	-6.422	-6.227	-5.1895	-4.152	-3.957
C11811	1.604	1.777	2.696	3.615	3.788
C16633	5.033	5.116	5.555	5.994	6.077
C04675	5.033	5.116	5.555	5.994	6.077
C16631	-6.077	-5.994	-5.555	-5.116	-5.033
C04677	2.257	2.436	3.3905	4.345	4.524
C16635	5.033	5.116	5.555	5.994	6.077
C16634	-6.077	-5.994	-5.555	-5.116	-5.033
C19673	5.033	5.116	5.555	5.994	6.077
C03752	6.276	6.309	6.484	6.659	6.692
C05923	0.0	0.0	0.0	0.0	0.0
C05922	0.0	0.0	0.0	0.0	0.0
C05921	0.0	0.0	0.0	0.0	0.0
C00748	0.0	0.0	0.0	0.0	0.0
C04079	5.033	5.116	5.555	5.994	6.077
C00668	3.608	3.789	4.755	5.721	5.902
C01268	0.0	0.0	0.0	0.0	0.0
C00666	1.178	1.359	2.322	3.285	3.466
C00663	0.198	0.371	1.2925	2.214	2.387
C02163	-6.077	-5.994	-5.555	-5.116	-5.033
C00988	5.033	5.116	5.555	5.994	6.077
C00989	5.033	5.116	5.555	5.994	6.077
C00114	-6.077	-5.994	-5.555	-5.116	-5.033
C00117	3.315	3.501	4.4915	5.482	5.668
C00116	0.0	0.0	0.0	0.0	0.0
C00111	0.165	0.389	1.585	2.781	3.005
C02380	5.033	5.116	5.555	5.994	6.077
C00112	-3.758	-3.573	-2.585	-1.597	-1.412
C00119	-5.345	-5.125	-3.9535	-2.782	-2.562
C00118	-5.624	-5.424	-4.357	-3.29	-3.09
C06416	-6.077	-5.994	-5.555	-5.116	-5.033
C11929	5.033	5.116	5.555	5.994	6.077
C01346	2.561	2.749	3.7535	4.758	4.946
C11924	-6.077	-5.994	-5.555	-5.116	-5.033
C05750	2.168	2.35	3.322	4.294	4.476
C05751	-2.384	-2.212	-1.2925	-0.373	-0.201
C14145	5.033	5.116	5.555	5.994	6.077
C05753	2.168	2.35	3.322	4.294	4.476
C05754	-2.384	-2.212	-1.2925	-0.373	-0.201
C05755	-3.66	-3.49	-2.585	-1.68	-1.51
C05756	2.315	2.485	3.3905	4.296	4.466
C05757	-2.086	-1.914	-1.0	-0.086	0.086
C05758	-2.384	-2.212	-1.2925	-0.373	-0.201
C05759	2.315	2.485	3.3905	4.296	4.466
C05811	-6.077	-5.994	-5.555	-5.116	-5.033
