Compound_code	Compound_name	Metabolite_score	p_value
C02987	L-Glutamyl-tRNA(Glu)	-3.0	<0.01
C00169	Carbamoyl_phosphate	-2.135	<0.01
C02047	L-Leucyl-tRNA	-4.087	<0.01
C03082	4-Phospho-L-aspartate	0.0	<0.01
C04377	5,10-Methylenetetrahydromethanopterin	-3.907	<0.01
C04376	5'-Phosphoribosyl-N-formylglycinamide	3.0	<0.01
C20396	Methylphosphonate	0.0	<0.01
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-5.89	<0.01
C03089	5-Methylthio-D-ribose	0.0	n.s.
C00860	L-Histidinol	-1.585	n.s.
C00862	Methanofuran	0.0	n.s.
C02962	D-Allose_6-phosphate	4.087	<0.01
C00864	Pantothenate	3.17	<0.01
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.322	<0.01
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	n.s.
C00906	5,6-Dihydrothymine	2.0	<0.01
C01419	Cys-Gly	5.508	<0.01
C16186	L-Ascorbate_6-phosphate	-4.248	<0.01
C01149	4-Trimethylammoniobutanal	0.0	<0.01
C01144	(S)-3-Hydroxybutanoyl-CoA	4.632	<0.01
C01146	2-Hydroxy-3-oxopropanoate	0.0	<0.01
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	n.s.
C01142	(3S)-3,6-Diaminohexanoate	-3.17	<0.01
C06510	Adenosine-GDP-cobinamide	-1.585	n.s.
C03561	(R)-3-Hydroxybutanoyl-CoA	6.966	<0.01
C03402	L-Asparaginyl-tRNA(Asn)	-3.322	<0.01
C03406	N-(L-Arginino)succinate	-2.0	<0.01
C05512	Deoxyinosine	3.0	n.s.
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	0.0	n.s.
C07645	Aldophosphamide	2.585	<0.01
C07648	Thioguanine	3.17	<0.01
C05519	L-Allothreonine	0.0	n.s.
C00327	L-Citrulline	1.926	n.s.
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-1.0	n.s.
C02320	R-S-Glutathione	1.0	<0.01
C00084	Acetaldehyde	2.541	n.s.
C02463	Precorrin_2	0.0	<0.01
C05269	3-Oxohexanoyl-CoA	-7.209	<0.01
C03232	3-Phosphonooxypyruvate	-0.0	<0.01
C18096	D-Allulose_6-phosphate	-4.087	<0.01
C00269	CDP-diacylglycerol	0.0	<0.01
C09814	Benzonitrile	4.0	<0.01
C11539	Cobalt-precorrin_3	2.585	<0.01
C11538	Cobalt-sirohydrochlorin	-2.585	<0.01
C00263	L-Homoserine	0.0	n.s.
C00262	Hypoxanthine	1.585	<0.01
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	0.0	n.s.
C16216	3-Oxostearoyl-CoA	4.0	<0.01
C00267	alpha-D-Glucose	2.951	<0.01
C00266	Glycolaldehyde	-2.807	<0.01
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-2.0	n.s.
C00402	D-Aspartate	-3.17	<0.01
C00460	dUTP	2.0	<0.01
C00286	dGTP	-3.927	<0.01
C00283	Hydrogen_sulfide	0.837	<0.01
C00282	Hydrogen	-3.807	<0.01
C00320	Thiosulfate	0.0	n.s.
C01962	Thiocysteine	-2.585	<0.01
C00088	Nitrite	0.0	n.s.
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	0.0	n.s.
C02218	Dehydroalanine	-3.17	<0.01
C05947	L-erythro-4-Hydroxyglutamate	0.0	n.s.
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	n.s.
C01209	Malonyl-[acyl-carrier_protein]	3.015	<0.01
C00217	D-Glutamate	2.7	<0.01
C00214	Thymidine	0.0	n.s.
C00212	Adenosine	2.874	<0.01
C00606	3-Sulfino-L-alanine	-4.575	<0.01
C06399	Hydrogenobyrinate	-2.0	<0.01
C05841	Nicotinate_D-ribonucleoside	3.807	<0.01
C00035	GDP	-3.453	<0.01
C05844	5-L-Glutamyl-taurine	-1.0	<0.01
C00033	Acetate	5.217	n.s.
C00031	D-Glucose	3.036	<0.01
C00136	Butanoyl-CoA	5.287	n.s.
C00135	L-Histidine	3.17	n.s.
C00134	Putrescine	1.503	<0.01
C00133	D-Alanine	-5.95	<0.05
C00131	dATP	-1.29	n.s.
C00130	IMP	0.0	<0.01
C05635	5-Hydroxyindoleacetate	0.0	<0.01
C05634	5-Hydroxyindoleacetaldehyde	0.0	<0.01
C06112	L-Glutamyl-tRNA(Gln)	0.0	n.s.
C00043	UDP-N-acetyl-alpha-D-glucosamine	-2.17	n.s.
C00041	L-Alanine	5.14	<0.01
C00040	Acyl-CoA	3.259	<0.01
C00047	L-Lysine	3.369	<0.01
C00046	RNA	-3.755	<0.01
C00044	GTP	-4.793	<0.01
C00049	L-Aspartate	-2.59	n.s.
C00048	Glyoxylate	-3.322	<0.01
C02642	3-Ureidopropionate	-2.0	<0.01
C00149	(S)-Malate	0.0	<0.01
C06481	L-Seryl-tRNA(Sec)	-4.322	<0.01
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	2.0	<0.01
C06482	L-Selenocysteinyl-tRNA(Sec)	0.0	<0.01
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	<0.01
C01101	L-Ribulose_5-phosphate	1.0	<0.01
C01100	L-Histidinol_phosphate	1.737	<0.05
C01103	Orotidine_5'-phosphate	-1.737	<0.01
C01102	O-Phospho-L-homoserine	0.0	n.s.
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	0.0	<0.01
C03688	Apo-[acyl-carrier-protein]	3.459	<0.01
C06002	(S)-Methylmalonate_semialdehyde	0.0	<0.01
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.322	<0.01
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	<0.01
C00227	Acetyl_phosphate	0.0	n.s.
C16565	Aminopropylcadaverine	0.0	<0.01
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-1.585	n.s.
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-1.0	<0.01
C00954	Indole-3-acetate	-2.415	<0.01
C00957	Mercaptopyruvate	-3.426	<0.01
C05345	beta-D-Fructose_6-phosphate	4.33	n.s.
C00818	D-Glucarate	0.0	<0.01
C00819	D-Glutamine	0.0	n.s.
C00424	(S)-Lactaldehyde	0.0	<0.01
C00429	5,6-Dihydrouracil	2.0	<0.01
C00817	D-Altronate	0.0	n.s.
C03451	(R)-S-Lactoylglutathione	2.585	<0.01
C01672	Cadaverine	0.0	<0.01
C00036	Oxaloacetate	3.137	<0.01
C05223	Dodecanoyl-[acyl-carrier_protein]	3.322	<0.01
C00037	Glycine	-1.528	<0.01
C15809	Iminoglycine	0.0	<0.01
C16698	N-Acetylmuramic_acid_6-phosphate	-1.807	<0.01
C03912	(S)-1-Pyrroline-5-carboxylate	0.0	n.s.
C02512	3-Cyano-L-alanine	1.0	<0.01
C00253	Nicotinate	-3.939	<0.01
C00250	Pyridoxal	1.585	<0.01
C00251	Chorismate	0.115	<0.01
C00256	(R)-Lactate	5.087	<0.05
C05338	4-Hydroxyphenylacetyl-CoA	0.0	<0.01
C00255	Riboflavin	3.0	<0.01
C05336	Selenomethionyl-tRNA(Met)	-3.459	<0.01
C00392	Mannitol	0.0	<0.01
C00258	D-Glycerate	0.0	<0.01
C05335	L-Selenomethionine	0.0	<0.01
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-2.585	<0.01
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	3.585	<0.01
C01081	Thiamin_monophosphate	0.0	<0.01
C01083	alpha,alpha-Trehalose	2.807	<0.01
C00559	Deoxyadenosine	-3.0	n.s.
C00491	L-Cystine	2.585	<0.01
C00492	Raffinose	0.0	<0.01
C00493	Shikimate	0.0	n.s.
C00555	4-Aminobutyraldehyde	0.0	<0.01
C01089	(R)-3-Hydroxybutanoate	4.17	<0.01
C00498	ADP-glucose	-1.907	n.s.
C00882	Dephospho-CoA	0.0	<0.01
C00881	Deoxycytidine	3.585	<0.01
C00078	L-Tryptophan	3.907	<0.01
C00079	L-Phenylalanine	0.0	<0.05
C00072	Ascorbate	4.248	<0.01
C00073	L-Methionine	2.202	<0.01
C00071	Aldehyde	-3.644	<0.01
C00077	L-Ornithine	1.723	n.s.
C00074	Phosphoenolpyruvate	-4.884	<0.01
C00075	UTP	5.833	<0.01
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-0.0	<0.01
C00039	DNA	0.0	n.s.
C03127	L-Isoleucyl-tRNA(Ile)	-5.0	<0.01
C00085	D-Fructose_6-phosphate	5.561	<0.01
C02352	1,4-beta-D-Xylan	0.0	<0.01
C00083	Malonyl-CoA	-2.608	<0.01
C00082	L-Tyrosine	-1.936	<0.01
C00080	H+	3.807	<0.01
C16630	5,6-Dihydro-5-fluorouracil	2.0	<0.01
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-2.322	<0.01
C03175	Shikimate_3-phosphate	0.0	<0.01
C00089	Sucrose	0.0	<0.01
C04646	6-Thioinosine-5'-monophosphate	3.585	<0.05
C00670	sn-Glycero-3-phosphocholine	1.585	<0.01
C00671	(S)-3-Methyl-2-oxopentanoic_acid	-2.0	<0.01
C00672	2-Deoxy-D-ribose_1-phosphate	3.459	<0.01
C00673	2-Deoxy-D-ribose_5-phosphate	-2.0	<0.01
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	0.0	<0.01
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	<0.01
C01929	L-Histidinal	0.0	n.s.
C05936	N4-Acetylaminobutanal	0.0	<0.01
C00106	Uracil	0.0	<0.01
C00105	UMP	0.604	n.s.
C00103	D-Glucose_1-phosphate	0.0	<0.01
C00100	Propanoyl-CoA	-4.248	<0.01
C00101	Tetrahydrofolate	2.524	<0.01
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	0.0	<0.01
C00109	2-Oxobutanoate	-3.605	<0.01
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	1.585	<0.01
C00363	dTDP	-1.0	<0.01
C15980	(S)-2-Methylbutanoyl-CoA	0.0	n.s.
C05764	Hexadecanoyl-[acp]	3.322	<0.01
C06899	Chloral_hydrate	2.585	<0.01
C05761	Tetradecanoyl-[acp]	3.322	<0.01
C05760	trans-Tetradec-2-enoyl-[acp]	2.0	<0.01
C05763	trans-Hexadec-2-enoyl-[acp]	2.0	<0.01
C05762	3-Oxohexadecanoyl-[acp]	-2.907	<0.01
C00361	dGDP	3.341	n.s.
C00170	5'-Methylthioadenosine	1.222	n.s.
C02670	D-Glucuronolactone	0.0	<0.01
C02992	L-Threonyl-tRNA(Thr)	-4.459	<0.01
C00179	Agmatine	0.0	<0.01
C00178	Thymine	0.0	n.s.
C02995	Maltose_6'-phosphate	-2.17	<0.01
C00447	Sedoheptulose_1,7-bisphosphate	0.0	n.s.
C03090	5-Phosphoribosylamine	0.848	<0.01
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-2.17	<0.01
C07086	Phenylacetic_acid	-4.0	<0.01
C01077	O-Acetyl-L-homoserine	1.0	<0.01
C02972	Dihydrolipoylprotein	4.644	<0.01
C11434	2-C-Methyl-D-erythritol_4-phosphate	0.0	n.s.
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.737	<0.01
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	-0.0	<0.05
C00857	Deamino-NAD+	2.0	<0.01
C02412	Glycyl-tRNA(Gly)	-4.129	<0.01
C00853	Cob(I)alamin	0.0	<0.01
C01179	3-(4-Hydroxyphenyl)pyruvate	0.0	<0.01
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	-3.807	<0.01
C01170	UDP-N-acetyl-D-mannosamine	0.0	n.s.
C04411	(2R,3S)-3-Isopropylmalate	0.0	<0.01
C01172	beta-D-Glucose_6-phosphate	0.503	<0.01
C00473	Retinol	2.585	<0.01
C03892	Phosphatidylglycerophosphate	-2.585	<0.01
C00681	1-Acyl-sn-glycerol_3-phosphate	-1.948	<0.01
C00680	meso-2,6-Diaminoheptanedioate	1.283	<0.01
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	0.0	n.s.
C02411	Glutaconyl-1-CoA	-5.129	n.s.
C02839	L-Tyrosyl-tRNA(Tyr)	-3.807	<0.01
C04257	N-Acetyl-D-mannosamine_6-phosphate	0.0	<0.01
C00689	alpha,alpha'-Trehalose_6-phosphate	6.492	<0.01
C05271	trans-Hex-2-enoyl-CoA	0.0	n.s.
C05270	Hexanoyl-CoA	0.0	n.s.
C02554	L-Valyl-tRNA(Val)	-4.524	<0.01
C00512	S-Benzoate_coenzyme_A	-0.0	<0.01
C16220	3-Hydroxyoctadecanoyl-[acp]	-2.0	<0.05
C00921	Dihydropteroate	-2.322	<0.01
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	0.0	<0.01
C00458	dCTP	-4.373	<0.01
C04895	7,8-Dihydroneopterin_3'-triphosphate	-3.17	<0.01
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-0.0	<0.01
C00376	Retinal	-2.585	<0.01
C04488	5-Methyl-5,6,7,8-tetrahydromethanopterin	-5.229	<0.01
C00455	Nicotinamide_D-ribonucleotide	2.585	<0.01
C01697	Galactitol	3.7	<0.01
C15972	Enzyme_N6-(lipoyl)lysine	-4.555	n.s.
C16618	6-Thioxanthine_5'-monophosphate	0.0	<0.01
C00330	Deoxyguanosine	3.807	<0.01
C00332	Acetoacetyl-CoA	-4.788	<0.01
C00334	4-Aminobutanoate	3.044	<0.01
C00337	(S)-Dihydroorotate	2.874	n.s.
C05699	L-Selenocystathionine	2.585	<0.01
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-2.0	<0.05
C04122	D-1-Aminopropan-2-ol_O-phosphate	-1.0	<0.05
C00636	D-Mannose_1-phosphate	0.0	n.s.
C00637	Indole-3-acetaldehyde	0.0	<0.01
C00630	2-Methylpropanoyl-CoA	7.665	<0.01
C00631	2-Phospho-D-glycerate	-0.519	n.s.
C02527	Butanoylphosphate	0.0	n.s.
C16221	(2E)-Octadecenoyl-[acp]	2.0	<0.01
C00208	Maltose	2.248	<0.01
C01001	Formylmethanofuran	0.0	n.s.
C05985	2-Propynal	0.0	<0.01
C00204	2-Dehydro-3-deoxy-D-gluconate	-3.047	<0.01
C01212	UDP-N-acetylmuramoyl-L-alanine	-3.044	<0.01
C07490	Trichloroethanol	-2.585	<0.01
C01217	5,6,7,8-Tetrahydromethanopterin	5.229	<0.01
C00025	L-Glutamate	0.0	<0.01
C00024	Acetyl-CoA	-3.622	<0.01
C00148	L-Proline	7.06	<0.01
C00026	2-Oxoglutarate	-4.673	<0.01
C00021	S-Adenosyl-L-homocysteine	2.755	n.s.
C00020	AMP	3.609	n.s.
C00022	Pyruvate	-4.177	<0.01
C00143	5,10-Methylenetetrahydrofolate	-4.307	<0.01
C00140	N-Acetyl-D-glucosamine	8.435	<0.01
C00141	3-Methyl-2-oxobutanoic_acid	-1.322	<0.01
C00029	UDP-glucose	-1.263	<0.01
C00147	Adenine	0.0	<0.01
C00144	GMP	-2.322	<0.01
C03740	(5-L-Glutamyl)-L-amino_acid	-1.0	<0.01
C01079	Protoporphyrinogen_IX	-3.17	<0.01
C05748	trans-Hex-2-enoyl-[acp]	2.0	<0.01
C05984	2-Hydroxybutanoic_acid	3.459	<0.01
C05807	2-Polyprenylphenol	0.0	<0.01
C05729	R-S-Cysteinylglycine	5.508	<0.01
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.237	<0.01
C11437	1-Deoxy-D-xylulose_5-phosphate	0.0	<0.01
C00644	D-Mannitol_1-phosphate	0.0	<0.01
C06319	Precorrin_6Y	0.0	n.s.
C02739	1-(5-Phospho-D-ribosyl)-ATP	0.0	<0.01
C00647	Pyridoxamine_phosphate	0.0	n.s.
C05726	S-Substituted_L-cysteine	-5.57	<0.01
C00705	dCDP	1.263	<0.01
C06250	Holo-[carboxylase]	3.605	<0.01
C01242	S-Aminomethyldihydrolipoylprotein	0.0	n.s.
C02631	2-Isopropylmaleate	0.0	n.s.
C02637	3-Dehydroshikimate	0.0	n.s.
C03194	(R)-1-Aminopropan-2-ol	1.585	<0.01
C04419	Carboxybiotin-carboxyl-carrier_protein	-2.248	<0.01
C01528	Hydrogen_selenide	-7.248	<0.01
C02938	3-Indoleacetonitrile	4.0	<0.01
C00750	Spermine	0.0	n.s.
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	0.0	<0.01
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	4.322	<0.01
C00763	D-Proline	3.322	<0.01
C01134	Pantetheine_4'-phosphate	-2.874	<0.01
C01137	S-Adenosylmethioninamine	0.0	<0.01
C00092	D-Glucose_6-phosphate	-5.542	<0.01
C06035	4-Methylene-2-oxoglutarate	0.0	n.s.
C02226	2-Methylmaleate	0.0	n.s.
C03511	L-Phenylalanyl-tRNA(Phe)	-4.17	<0.01
C03512	L-Tryptophanyl-tRNA(Trp)	-3.907	<0.01
C06033	Parapyruvate	0.0	n.s.
C12147	L-Threonine_O-3-phosphate	1.0	<0.01
C00329	D-Glucosamine	1.0	<0.01
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	-3.181	n.s.
C06408	Precorrin_8X	2.0	<0.01
C02741	Phosphoribosyl-AMP	0.0	n.s.
C06407	Precorrin_4	0.0	<0.01
C06406	Precorrin_3B	2.585	<0.01
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-2.0	<0.05
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-3.322	<0.01
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-2.0	<0.05
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-3.322	<0.01
C20375	Glutaryl-[acp]_methyl_ester	4.7	<0.01
C20374	Enoylglutaryl-[acp]_methyl_ester	-3.585	<0.01
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	3.907	<0.01
C20378	Enoylpimeloyl-[acp]_methyl_ester	-3.585	<0.01
C00804	Propynoate	0.0	<0.01
C00969	3-Hydroxypropanal	1.0	<0.01
C11545	Cobalt-precorrin_8	0.0	<0.01
C00966	2-Dehydropantoate	0.0	n.s.
C11540	Cobalt-precorrin_4	0.0	<0.01
C11542	Cobalt-precorrin_6	0.0	<0.01
C11543	Cobalt-dihydro-precorrin_6	-0.0	<0.01
C02282	Glutaminyl-tRNA	0.0	n.s.
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	0.0	<0.01
C00415	Dihydrofolate	-2.322	<0.01
C00416	Phosphatidate	0.0	<0.01
C00417	cis-Aconitate	0.0	n.s.
C03460	2-Methylprop-2-enoyl-CoA	-7.665	<0.01
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	3.907	<0.01
C03345	2-Methylbut-2-enoyl-CoA	0.0	n.s.
C00993	D-Alanyl-D-alanine	-2.585	n.s.
C00620	alpha-D-Ribose_1-phosphate	3.954	<0.01
C11355	4-Amino-4-deoxychorismate	-0.0	<0.01
C05951	Leukotriene_D4	-1.0	<0.01
C05576	3,4-Dihydroxyphenylethyleneglycol	0.0	n.s.
C05577	3,4-Dihydroxymandelaldehyde	0.0	n.s.
C03263	Coproporphyrinogen_III	3.17	<0.01
C00378	Thiamine	0.0	n.s.
C00242	Guanine	-2.396	<0.01
C00245	Taurine	1.0	<0.01
C00246	Butanoic_acid	0.0	n.s.
C00624	N-Acetyl-L-glutamate	0.0	<0.01
C16587	3-Carbamoyl-2-phenylpropionaldehyde	-2.585	<0.01
C02170	Methylmalonate	0.0	<0.01
C00568	4-Aminobenzoate	2.585	<0.01
C01099	L-Fuculose_1-phosphate	0.0	<0.01
C01097	D-Tagatose_6-phosphate	2.678	<0.01
C01096	Sorbitol_6-phosphate	0.0	<0.01
C01094	D-Fructose_1-phosphate	6.398	<0.01
C05682	Phosphonoacetate	3.0	<0.01
C00341	Geranyl_diphosphate	0.0	n.s.
C00342	Thioredoxin	-7.132	<0.01
C00343	Thioredoxin_disulfide	7.157	<0.01
C00344	Phosphatidylglycerol	3.585	<0.01
C05684	Selenite	7.248	<0.01
C00061	FMN	0.0	n.s.
C00060	Carboxylate	-4.0	<0.01
C00063	CTP	5.667	<0.01
C00062	L-Arginine	2.115	<0.01
C00065	L-Serine	2.271	<0.01
C00064	L-Glutamine	2.373	<0.01
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	1.0	<0.01
C16633	5-Fluorouridine	3.807	<0.01
C04675	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA	0.0	<0.01
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-2.0	<0.01
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.892	n.s.
C16635	5'-Deoxy-5-fluorocytidine	3.585	<0.01
C16634	5-Fluorouridine_monophosphate	-3.807	<0.01
C19673	Malonyl-[acp]_methyl_ester	4.7	<0.01
C03752	2-Amino-2-deoxy-D-gluconate	0.0	<0.01
C05923	2,5-Diaminopyrimidine_nucleoside_triphosphate	0.0	n.s.
C05922	Formamidopyrimidine_nucleoside_triphosphate	0.0	n.s.
C05921	Biotinyl-5'-AMP	0.0	n.s.
C00748	Siroheme	0.0	n.s.
