Compound_code	Compound_name	Metabolite_score	Sim_Median	Sim_IQR_25	Sim_IQR_75	Sim_Lower_95_interval	Sim_Upper_95_interval	Significance
C00469	Ethanol	5.741	4.555	3.392	5.883	4.5014064	4.6479514	n.s.
C01181	4-Trimethylammoniobutanoate	-0.0	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	-3.322	0.0	-4.7	4.644	-0.07426	0.0733752	n.s.
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	3.907	4.087	2.322	5.555	4.0503124	4.174769	n.s.
C01185	Nicotinate_D-ribonucleotide	4.524	2.585	-4.322	5.229	2.5167124	2.6676182	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	-4.459	0.0	-4.7	4.585	-0.07426	0.072443	n.s.
C15813	C15813	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C15810	C15810	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C15811	[Enzyme]-cysteine	5.209	3.907	2.322	5.524	3.8703124	3.9942792	n.s.
C15814	C15814	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C15815	C15815	0.0	0.0	-3.7	3.585	-0.05846	0.056643	n.s.
C16688	Sucrose_6-phosphate	0.0	0.0	-4.585	4.644	-0.072443	0.0733752	n.s.
C05752	Octanoyl-[acp]	4.392	0.0	-4.7	4.7	-0.07426	0.07426	n.s.
C00794	D-Sorbitol	4.548	5.036	4.07	5.991	4.971694	5.1306578	n.s.
C05840	Iminoaspartate	-0.0	0.0	-4.755	4.585	-0.075129	0.072443	n.s.
C00886	L-Alanyl-tRNA	-4.644	-4.087	-5.615	-2.322	-4.175717	-4.0503124	n.s.
C00506	L-Cysteate	7.366	4.585	3.459	5.79725	4.5303478	4.67659655	n.s.
C01233	sn-Glycero-3-phosphoethanolamine	2.807	3.907	2.322	5.426	3.8703124	3.9927308	n.s.
C00226	Primary_alcohol	5.741	4.555	3.392	5.883	4.5014064	4.6479514	n.s.
C00222	3-Oxopropanoate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00221	beta-D-Glucose	4.907	4.0	2.322	5.492	3.9633124	4.0867736	n.s.
C00385	Xanthine	-3.085	0.848	-3.837	4.16575	0.7873754	0.91381885	n.s.
C00387	Guanosine	4.624	4.544	3.322	5.852	4.4915124	4.6364616	n.s.
C02504	alpha-Isopropylmalate	0.0	2.059	-4.129	4.887	1.9937618	2.1362146	n.s.
C00229	Acyl-carrier_protein	2.807	0.0	-4.585	4.755	-0.072443	0.075129	n.s.
C00499	Allantoate	3.807	4.0	2.322	5.585	3.9633124	4.088243	n.s.
C00380	Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16396	2,4-Diamino-6-nitrotoluene	7.187	4.874	3.841	5.985	4.8133122	4.968563	n.s.
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00546	Methylglyoxal	-4.907	-4.615	-5.895	-3.459	-4.708141	-4.5603478	n.s.
C16399	2,4-Diamino-6-hydroxylaminotoluene	-7.187	-4.874	-5.985	-3.841	-4.968563	-4.8133122	n.s.
C16217	3-Hydroxyoctadecanoyl-CoA	-5.129	-4.087	-5.585	-2.322	-4.175243	-4.0503124	n.s.
C02291	L-Cystathionine	3.807	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00364	dTMP	-3.17	0.0	-4.7	4.585	-0.07426	0.072443	n.s.
C00365	dUMP	1.415	1.939	-3.157	4.1915	1.8891194	2.0052257	n.s.
C00362	dGMP	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16244	Cobalt-precorrin_7	0.0	0.0	-4.524	4.7	-0.0714792	0.07426	n.s.
C00360	dAMP	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00008	ADP	-5.555	-1.874	-4.544	4.015	-1.9457952	-1.810563	n.s.
C00007	Oxygen	8.077	4.0	2.322	5.555	3.9633124	4.087769	*
C00006	NADP+	-3.907	-4.0	-5.492	-2.322	-4.0867736	-3.9633124	n.s.
C00003	NAD+	-1.874	-2.503	-5.183	4.17	-2.5848914	-2.437114	n.s.
C00002	ATP	5.821	3.823	-3.0	5.262	3.7756	3.9061396	n.s.
C00369	Starch	4.492	0.0	-4.229	4.18475	-0.0668182	0.06611905	n.s.
C05703	Methaneselenol	-7.353	-4.615	-5.883	-3.459	-4.7079514	-4.5603478	n.s.
C06613	trans-3-Chloroallyl_aldehyde	-3.977	-0.848	-3.472	2.511	-0.9028576	-0.8083262	n.s.
C06507	Adenosyl_cobyrinate_hexaamide	0.0	0.0	-4.433	4.263	-0.0700414	0.0673554	n.s.
C16619	6-Thioguanosine_monophosphate	-4.977	-4.555	-5.87	-3.392	-4.647746	-4.5014064	n.s.
C11062	4-Hydroxybutyryl-CoA	7.622	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C02612	(R)-2-Methylmalate	0.0	4.585	3.392	5.858	4.5314064	4.6775564	*
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-4.248	-4.0	-5.492	-2.322	-4.0867736	-3.9633124	n.s.
C16614	6-Methylmercaptopurine	4.248	4.0	2.322	5.492	3.9633124	4.0867736	n.s.
C00645	N-Acetyl-D-mannosamine	-1.907	-4.524	-5.833	-3.285	-4.6161614	-4.472097	n.s.
C00099	beta-Alanine	-0.874	-1.585	-4.448	3.79	-1.6552784	-1.525118	n.s.
C00311	Isocitrate	0.0	0.0	-3.331	3.388	-0.0526298	0.0535304	n.s.
C00310	D-Xylulose	-3.0	0.0	-4.585	4.7	-0.072443	0.07426	n.s.
C00641	1,2-Diacyl-sn-glycerol	2.848	0.0	-4.379	4.263	-0.0691882	0.0673554	n.s.
C01931	L-Lysyl-tRNA	-6.087	-4.0	-5.459	-2.322	-4.0862522	-3.9633124	n.s.
C00315	Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00314	Pyridoxine	2.585	3.907	2.322	5.524	3.8703124	3.9942792	n.s.
C00091	Succinyl-CoA	6.163	1.322	-1.485	3.07	1.298537	1.370506	*
C00760	Cellulose	0.0	0.0	-4.059	4.059	-0.0641322	0.0641322	n.s.
C00093	sn-Glycerol_3-phosphate	3.871	2.858	-4.24075	5.075	2.79099615	2.938185	n.s.
C00094	Sulfite	-0.636	0.0	-0.295	1.722	-0.004661	0.0272076	n.s.
C00095	D-Fructose	-1.17	2.7	-4.58875	5.17	2.62749775	2.781686	n.s.
C00096	GDP-mannose	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00097	L-Cysteine	4.073	1.159	-4.39	4.5445	1.089638	1.2308031	n.s.
C14099	2-Naphthaldehyde	-5.741	-4.555	-5.883	-3.392	-4.6479514	-4.5014064	n.s.
C06311	Galactitol_1-phosphate	-4.841	-4.891	-6.007	-3.841	-4.9859106	-4.8303122	n.s.
C00433	2,5-Dioxopentanoate	0.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C14090	1-Naphthaldehyde	-5.741	-4.555	-5.883	-3.392	-4.6479514	-4.5014064	n.s.
C14095	2-Hydroxy-3-carboxybenzalpyruvate	6.248	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	3.17	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C14096	3-Formylsalicylic_acid	-6.248	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C02702	L-Prolyl-tRNA(Pro)	-6.943	-4.0	-5.555	-2.322	-4.087769	-3.9633124	n.s.
C04732	5-Amino-6-(1-D-ribitylamino)uracil	0.0	0.0	-4.644	4.644	-0.0733752	0.0733752	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C05172	Selenophosphoric_acid	0.0	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	1.585	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C11949	3-Isopropylbut-3-enoyl-CoA	-1.585	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C05775	alpha-Ribazole	-1.0	0.0	-4.0	4.115	-0.0632	0.065017	n.s.
C07118	Benzoyl_acetyl-CoA	1.585	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C05773	Cobyrinate	-3.0	-4.0	-5.492	-2.322	-4.0867736	-3.9633124	n.s.
C05778	Sirohydrochlorin	2.585	0.0	-3.585	3.7	-0.056643	0.05846	n.s.
C05670	3-Aminopropiononitrile	2.322	4.0	2.322	5.585	3.9633124	4.088243	n.s.
C00164	Acetoacetate	-4.409	-2.358	-4.547	3.492	-2.4298426	-2.3028264	n.s.
C00166	Phenylpyruvate	4.657	1.107	-2.0	3.132	1.0754	1.1564856	n.s.
C00167	UDP-glucuronate	-4.17	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C00160	Glycolate	7.64	0.0	-4.229	4.285	-0.0668182	0.067703	*
C03794	N6-(1,2-Dicarboxyethyl)-AMP	0.0	0.0	-3.059	3.059	-0.0483322	0.0483322	n.s.
C00162	Fatty_acid	0.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00163	Propanoate	6.57	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-5.087	-4.0	-5.555	-2.322	-4.087769	-3.9633124	n.s.
C02987	L-Glutamyl-tRNA(Glu)	-4.17	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C00169	Carbamoyl_phosphate	-3.269	-1.17	-4.783	4.347	-1.2455714	-1.1013174	n.s.
C02047	L-Leucyl-tRNA	-5.209	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C03082	4-Phospho-L-aspartate	-1.678	0.0	-4.433	4.202	-0.0700414	0.0663916	n.s.
C04377	5,10-Methylenetetrahydromethanopterin	-5.044	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C04376	5'-Phosphoribosyl-N-formylglycinamide	4.0	0.0	-4.807	4.7	-0.0759506	0.07426	n.s.
C20396	Methylphosphonate	0.0	5.066	4.129	6.006	5.0007618	5.1608948	*
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-6.974	0.0	-4.158	4.215	-0.0656964	0.066597	n.s.
C03089	5-Methylthio-D-ribose	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00860	L-Histidinol	-2.322	0.0	-4.644	4.644	-0.0733752	0.0733752	n.s.
C00862	Methanofuran	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C02962	D-Allose_6-phosphate	5.248	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00864	Pantothenate	4.322	0.0	-4.585	4.7	-0.072443	0.07426	n.s.
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.907	0.0	-4.077	4.022	-0.0644166	0.0635476	n.s.
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00906	5,6-Dihydrothymine	3.17	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C01419	Cys-Gly	6.607	2.459	-4.358	5.17	2.3901436	2.540686	n.s.
C16186	L-Ascorbate_6-phosphate	-5.392	-4.615	-5.883	-3.459	-4.7079514	-4.5603478	n.s.
C01149	4-Trimethylammoniobutanal	0.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C01144	(S)-3-Hydroxybutanoyl-CoA	5.732	-0.915	-3.5555	2.688	-0.9711769	-0.8725296	n.s.
C01146	2-Hydroxy-3-oxopropanoate	0.0	-4.0	-5.555	-2.322	-4.087769	-3.9633124	n.s.
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C01142	(3S)-3,6-Diaminohexanoate	-4.322	-4.0	-5.555	-2.322	-4.087769	-3.9633124	n.s.
C06510	Adenosine-GDP-cobinamide	-2.807	0.0	-4.585	4.7	-0.072443	0.07426	n.s.
C03561	(R)-3-Hydroxybutanoyl-CoA	8.087	4.0	2.322	5.524	3.9633124	4.0872792	*
C03402	L-Asparaginyl-tRNA(Asn)	-4.459	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C03406	N-(L-Arginino)succinate	-3.0	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C05512	Deoxyinosine	4.17	0.0	-4.17	4.059	-0.065886	0.0641322	n.s.
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C07645	Aldophosphamide	3.585	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C07648	Thioguanine	4.248	4.0	2.322	5.492	3.9633124	4.0867736	n.s.
C05519	L-Allothreonine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00327	L-Citrulline	2.926	-2.138	-4.95625	4.392	-2.21630875	-2.0686064	n.s.
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-1.0	0.0	-4.585	4.7	-0.072443	0.07426	n.s.
C02320	R-S-Glutathione	2.322	4.0	2.322	5.585	3.9633124	4.088243	n.s.
C00084	Acetaldehyde	3.74	-1.75	-4.373	3.844	-1.8190934	-1.6892648	n.s.
C02463	Precorrin_2	1.0	3.907	2.322	5.492	3.8703124	3.9937736	n.s.
C05269	3-Oxohexanoyl-CoA	-8.322	-4.0	-5.555	-2.322	-4.087769	-3.9633124	*
C03232	3-Phosphonooxypyruvate	-1.0	-4.0	-5.555	-2.322	-4.087769	-3.9633124	n.s.
C18096	D-Allulose_6-phosphate	-5.248	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C00269	CDP-diacylglycerol	0.585	2.322	-4.358	5.17	2.2531436	2.403686	n.s.
C09814	Benzonitrile	5.129	3.907	2.322	5.524	3.8703124	3.9942792	n.s.
C11539	Cobalt-precorrin_3	3.585	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C11538	Cobalt-sirohydrochlorin	-3.807	-4.0	-5.53175	-2.322	-4.08740165	-3.9633124	n.s.
C00263	L-Homoserine	0.0	0.0	-1.115	1.059	-0.017617	0.0167322	n.s.
C00262	Hypoxanthine	2.841	-1.415	-4.102	3.346	-1.4798116	-1.3621332	n.s.
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16216	3-Oxostearoyl-CoA	5.129	4.087	2.322	5.585	4.0503124	4.175243	n.s.
C00267	alpha-D-Glucose	3.976	1.708	-3.737	4.452	1.6489554	1.7783416	n.s.
C00266	Glycolaldehyde	-3.907	-4.087	-5.555	-2.322	-4.174769	-4.0503124	n.s.
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-3.17	0.0	-4.644	4.644	-0.0733752	0.0733752	n.s.
C00402	D-Aspartate	-4.392	-3.907	-5.524	-2.322	-3.9942792	-3.8703124	n.s.
C00460	dUTP	3.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00286	dGTP	-5.026	3.541	-4.253	5.23475	3.4738026	3.62370905	n.s.
C00283	Hydrogen_sulfide	1.974	-1.837	-3.86	2.63	-1.897988	-1.795446	n.s.
C00282	Hydrogen	-4.954	-4.0	-5.585	-2.322	-4.088243	-3.9633124	n.s.
C00320	Thiosulfate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C01962	Thiocysteine	-3.807	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C00088	Nitrite	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-0.0	0.0	-4.7	4.644	-0.07426	0.0733752	n.s.
C02218	Dehydroalanine	-4.248	-3.907	-5.524	-2.322	-3.9942792	-3.8703124	n.s.
C05947	L-erythro-4-Hydroxyglutamate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C01209	Malonyl-[acyl-carrier_protein]	4.146	1.624	-4.375	4.816	1.554875	1.7000928	n.s.
C00217	D-Glutamate	3.719	1.737	-3.719	4.448	1.6782398	1.8072784	n.s.
C00214	Thymidine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00212	Adenosine	3.97	4.891	3.874	5.985	4.8297908	4.985563	n.s.
C00606	3-Sulfino-L-alanine	-5.691	-1.0	-3.524	2.773	-1.0556792	-0.9561866	*
C06399	Hydrogenobyrinate	-3.0	-4.0	-5.492	-2.322	-4.0867736	-3.9633124	n.s.
C05841	Nicotinate_D-ribonucleoside	4.954	3.907	2.322	5.524	3.8703124	3.9942792	n.s.
C00035	GDP	-4.53	0.0	-4.558	4.582	-0.0720164	0.0723956	n.s.
C05844	5-L-Glutamyl-taurine	-2.322	-4.0	-5.585	-2.322	-4.088243	-3.9633124	n.s.
C00033	Acetate	6.319	-3.016	-5.114	4.118	-3.0968012	-2.9509356	n.s.
C00031	D-Glucose	4.202	2.433	-4.322	5.079	2.3647124	2.5132482	n.s.
C00136	Butanoyl-CoA	6.401	-2.388	-4.02175	2.459	-2.45154365	-2.3491478	*
C00135	L-Histidine	4.17	0.0	-4.7	4.585	-0.07426	0.072443	n.s.
C00134	Putrescine	2.663	1.737	-3.807	4.415	1.6768494	1.806757	n.s.
C00133	D-Alanine	-7.057	2.963	-4.263	5.186	2.8956446	3.0449388	n.s.
C00131	dATP	-2.29	0.0	-2.531	2.415	-0.0399898	0.038157	n.s.
C00130	IMP	0.0	0.0	-4.209	4.1525	-0.0665022	0.0656095	n.s.
C05635	5-Hydroxyindoleacetate	-0.0	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C05634	5-Hydroxyindoleacetaldehyde	0.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C06112	L-Glutamyl-tRNA(Gln)	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00043	UDP-N-acetyl-alpha-D-glucosamine	-3.304	1.17	-2.833	3.728	1.1252386	1.2289024	n.s.
C00041	L-Alanine	6.253	2.087	-3.954	4.794	2.0245268	2.1627452	n.s.
C00040	Acyl-CoA	4.373	5.051	4.087	6.01	4.9864254	5.145958	n.s.
C00047	L-Lysine	4.459	1.874	-3.773	4.524	1.8143866	1.9454792	n.s.
C00046	RNA	-4.858	-2.742	-4.435	2.7875	-2.812073	-2.6979575	n.s.
C00044	GTP	-5.904	0.0	-4.18625	4.29675	-0.06614275	0.06788865	n.s.
C00049	L-Aspartate	-3.648	0.066	-3.753	3.945	0.0067026	0.128331	n.s.
C00048	Glyoxylate	-4.44	0.0	-1.322	1.322	-0.0208876	0.0208876	*
C02642	3-Ureidopropionate	-3.17	-4.0	-5.555	-2.322	-4.087769	-3.9633124	n.s.
C00149	(S)-Malate	0.0	-0.937	-3.585	2.663	-0.993643	-0.8949246	n.s.
C06481	L-Seryl-tRNA(Sec)	-5.426	0.0	-4.755	4.7	-0.075129	0.07426	n.s.
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	3.0	0.0	-4.585	4.644	-0.072443	0.0733752	n.s.
C06482	L-Selenocysteinyl-tRNA(Sec)	0.0	-4.0	-5.555	-2.322	-4.087769	-3.9633124	n.s.
C04236	(2S)-2-Isopropyl-3-oxosuccinate	-0.0	-4.0	-5.585	-2.322	-4.088243	-3.9633124	n.s.
C01101	L-Ribulose_5-phosphate	2.0	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C01100	L-Histidinol_phosphate	2.585	0.0	-4.115	4.059	-0.065017	0.0641322	n.s.
C01103	Orotidine_5'-phosphate	-2.585	0.0	-4.073	4.059	-0.0643534	0.0641322	n.s.
C01102	O-Phospho-L-homoserine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	0.0	0.067	-1.893	2.737	0.0370906	0.1102446	n.s.
C03688	Apo-[acyl-carrier-protein]	4.524	3.907	2.322	5.492	3.8703124	3.9937736	n.s.
C06002	(S)-Methylmalonate_semialdehyde	0.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.907	0.0	-4.077	4.022	-0.0644166	0.0635476	n.s.
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	0.0	-4.644	4.7	-0.0733752	0.07426	n.s.
C00227	Acetyl_phosphate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16565	Aminopropylcadaverine	-0.0	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-2.755	0.0	-4.34	4.229	-0.068572	0.0668182	n.s.
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-2.222	-4.858	-5.977	-3.807	-4.9524366	-4.7978494	*
C00954	Indole-3-acetate	-3.624	-4.524	-5.824	-3.322	-4.6160192	-4.4715124	n.s.
C00957	Mercaptopyruvate	-4.529	-1.222	-3.261	2.087	-1.2735238	-1.1890254	n.s.
C05345	beta-D-Fructose_6-phosphate	5.462	-2.558	-4.745	4.07425	-2.632971	-2.49362685	n.s.
C00818	D-Glucarate	-0.0	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C00819	D-Glutamine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00424	(S)-Lactaldehyde	-0.0	-3.907	-5.492	-2.322	-3.9937736	-3.8703124	n.s.
C00429	5,6-Dihydrouracil	3.17	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C00817	D-Altronate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C03451	(R)-S-Lactoylglutathione	3.7	4.0	2.322	5.585	3.9633124	4.088243	n.s.
C01672	Cadaverine	0.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00036	Oxaloacetate	4.236	1.151	-1.981	3.15	1.1197002	1.20077	n.s.
C05223	Dodecanoyl-[acyl-carrier_protein]	4.392	0.0	-4.7	4.7	-0.07426	0.07426	n.s.
C00037	Glycine	-2.598	0.0	-4.34425	4.26025	-0.06863915	0.06731195	n.s.
C15809	Iminoglycine	0.0	3.907	2.322	5.524	3.8703124	3.9942792	n.s.
C16698	N-Acetylmuramic_acid_6-phosphate	-3.087	-4.585	-5.845	-3.392	-4.677351	-4.5314064	n.s.
C03912	(S)-1-Pyrroline-5-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C02512	3-Cyano-L-alanine	2.322	4.0	2.322	5.585	3.9633124	4.088243	n.s.
C00253	Nicotinate	-5.044	-4.544	-5.866	-3.322	-4.6366828	-4.4915124	n.s.
C00250	Pyridoxal	2.585	3.907	2.322	5.524	3.8703124	3.9942792	n.s.
C00251	Chorismate	1.273	2.524	-3.248	4.56	2.4726816	2.596048	n.s.
C00256	(R)-Lactate	6.209	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C05338	4-Hydroxyphenylacetyl-CoA	1.585	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00255	Riboflavin	4.087	0.0	-4.644	4.7	-0.0733752	0.07426	n.s.
C05336	Selenomethionyl-tRNA(Met)	-4.585	-4.0	-5.615	-2.322	-4.088717	-3.9633124	n.s.
C00392	Mannitol	1.0	4.585	3.392	5.895	4.5314064	4.678141	*
C00258	D-Glycerate	0.0	0.0	-3.585	3.7	-0.056643	0.05846	n.s.
C05335	L-Selenomethionine	-0.0	2.585	-4.322	5.19	2.5167124	2.667002	n.s.
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-3.585	-4.0	-5.524	-2.322	-4.0872792	-3.9633124	n.s.
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	4.7	4.087	2.322	5.644	4.0503124	4.1761752	n.s.
C01081	Thiamin_monophosphate	-0.0	-4.0	-5.585	-2.322	-4.088243	-3.9633124	n.s.
C01083	alpha,alpha-Trehalose	4.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00559	Deoxyadenosine	-4.17	0.0	-4.059	4.17	-0.0641322	0.065886	n.s.
C00491	L-Cystine	3.807	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00492	Raffinose	0.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C00493	Shikimate	0.0	0.0	-2.848	2.737	-0.0449984	0.0432446	n.s.
C00555	4-Aminobutyraldehyde	0.0	4.0	2.322	5.524	3.9633124	4.0872792	n.s.
C01089	(R)-3-Hydroxybutanoate	5.248	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C00498	ADP-glucose	-3.059	0.0	-3.381	3.437	-0.0534198	0.0543046	n.s.
C00882	Dephospho-CoA	2.0	0.0	-4.658	4.644	-0.0735964	0.0733752	n.s.
C00881	Deoxycytidine	4.7	4.0	2.322	5.555	3.9633124	4.087769	n.s.
C00078	L-Tryptophan	5.044	3.907	2.322	5.459	3.8703124	3.9932522	n.s.
C00079	L-Phenylalanine	0.461	0.0	-1.654	1.0	-0.0261332	0.0158	n.s.
C00072	Ascorbate	5.392	4.615	3.459	5.883	4.5603478	4.7079514	n.s.
C00073	L-Methionine	3.263	2.888	-3.807	4.935	2.8278494	2.965973	n.s.
C00071	Aldehyde	-4.768	-4.845	-5.901	-3.781	-4.9382358	-4.7852602	n.s.
C00077	L-Ornithine	2.899	0.0	-4.83825	4.90425	-0.07644435	0.07748715	n.s.
