Compound_code	Compound_name	Metabolite_score	Sim_Mean	Sim_StD	Std_from_Sim_Mean
C07118	Benzoyl_acetyl-CoA	0.0	1.429	2.246	0
C05773	Cobyrinate	-1.585	-1.502	2.249	0
C05778	Sirohydrochlorin	0.0	-0.108	2.713	0
C05670	3-Aminopropiononitrile	0.0	1.4	2.129	0
C00164	Acetoacetate	0.0	-0.819	3.099	0
C00166	Phenylpyruvate	0.0	0.397	2.406	0
C00167	UDP-glucuronate	-0.0	-1.399	2.184	0
C00160	Glycolate	0.0	-0.054	3.076	0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	1.874	0.059	2.537	0
C00162	Fatty_acid	0.0	1.422	2.151	0
C00163	Propanoate	7.357	1.38	2.058	2
C02984	L-Aspartyl-tRNA(Asp)	-5.17	-1.34	2.003	1
C02987	L-Glutamyl-tRNA(Glu)	-2.807	-1.277	2.031	0
C00169	Carbamoyl_phosphate	-2.684	-0.083	3.452	0
C02047	L-Leucyl-tRNA	-3.7	-1.526	2.234	0
C03082	4-Phospho-L-aspartate	0.0	-0.09	3.164	0
C04377	5,10-Methylenetetrahydromethanopterin	-3.0	-1.377	2.169	0
C04376	5'-Phosphoribosyl-N-formylglycinamide	0.0	0.103	3.366	0
C20396	Methylphosphonate	0.0	2.416	2.268	1
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-4.421	-0.038	3.133	1
C03089	5-Methylthio-D-ribose	0.0	0.0	0.0	0
C00860	L-Histidinol	-0.0	0.009	3.453	0
C00862	Methanofuran	0.0	0.0	0.0	0
C02962	D-Allose_6-phosphate	1.58	1.268	2.126	0
C00864	Pantothenate	2.322	-0.012	3.215	0
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.0	-0.045	3.105	0
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	0.0	0.0	0
C00906	5,6-Dihydrothymine	0.0	1.392	2.142	0
C01419	Cys-Gly	1.58	0.351	3.457	0
C16186	L-Ascorbate_6-phosphate	0.0	-1.861	2.296	0
C01149	4-Trimethylammoniobutanal	0.0	1.422	2.151	0
C01144	(S)-3-Hydroxybutanoyl-CoA	0.346	-0.228	2.63	0
C01146	2-Hydroxy-3-oxopropanoate	0.0	-1.435	2.251	0
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	0.0	0.0	0
C01142	(3S)-3,6-Diaminohexanoate	-3.17	-1.456	2.245	0
C06510	Adenosine-GDP-cobinamide	-0.0	-0.105	3.416	0
C03561	(R)-3-Hydroxybutanoyl-CoA	2.998	1.514	2.22	0
C03402	L-Asparaginyl-tRNA(Asn)	-4.954	-1.292	2.095	1
C03406	N-(L-Arginino)succinate	0.0	-1.543	2.246	0
C05512	Deoxyinosine	0.0	0.033	3.07	0
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	0.0	0.0	0.0	0
C07645	Aldophosphamide	0.0	1.361	2.133	0
C07648	Thioguanine	3.32	1.596	2.328	0
C05519	L-Allothreonine	0.0	0.0	0.0	0
C00327	L-Citrulline	0.0	-0.314	3.631	0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	0.0	0.189	3.527	0
C02320	R-S-Glutathione	0.0	1.4	2.129	0
C00084	Acetaldehyde	0.71	-0.399	3.242	0
C02463	Precorrin_2	0.0	1.427	2.21	0
C05269	3-Oxohexanoyl-CoA	-3.17	-1.443	2.294	0
C03232	3-Phosphonooxypyruvate	0.0	-1.411	2.145	0
C18096	D-Allulose_6-phosphate	-1.585	-1.269	2.127	0
C00269	CDP-diacylglycerol	-1.807	0.567	3.544	0
C09814	Benzonitrile	0.0	1.429	2.104	0
C11539	Cobalt-precorrin_3	0.0	1.402	2.143	0
C11538	Cobalt-sirohydrochlorin	-0.0	-1.314	2.038	0
C00263	L-Homoserine	0.0	-0.025	1.56	0
C00262	Hypoxanthine	-2.059	-0.399	3.056	0
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	0.0	0.0	0.0	0
C16216	3-Oxostearoyl-CoA	0.0	1.501	2.263	0
C00267	alpha-D-Glucose	0.0	0.322	3.105	0
C00266	Glycolaldehyde	-0.0	-1.331	2.174	0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-0.0	0.121	3.361	0
C00402	D-Aspartate	0.0	-1.593	2.299	0
C00460	dUTP	0.0	1.363	2.159	0
C00286	dGTP	-3.844	0.973	3.865	1
C00283	Hydrogen_sulfide	0.0	-0.67	2.663	0
C00282	Hydrogen	0.0	-1.485	2.146	0
C00320	Thiosulfate	0.0	0.0	0.0	0
C01962	Thiocysteine	0.0	-1.418	2.242	0
C00088	Nitrite	0.0	0.0	0.0	0
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-0.0	0.204	3.276	0
C02218	Dehydroalanine	0.0	-1.445	2.166	0
C05947	L-erythro-4-Hydroxyglutamate	0.0	0.0	0.0	0
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	0.0	0.0	0
C01209	Malonyl-[acyl-carrier_protein]	2.907	0.305	3.46	0
C00217	D-Glutamate	-1.807	0.093	3.163	0
C00214	Thymidine	0.0	0.0	0.0	0
C00212	Adenosine	1.58	2.221	2.315	0
C00606	3-Sulfino-L-alanine	-1.0	-0.227	2.643	0
C06399	Hydrogenobyrinate	-1.585	-1.502	2.249	0
C05841	Nicotinate_D-ribonucleoside	0.0	1.473	2.191	0
C00035	GDP	-2.433	-0.276	3.589	0
C05844	5-L-Glutamyl-taurine	0.0	-1.401	2.129	0
C00033	Acetate	7.146	-0.639	3.346	2
C00031	D-Glucose	0.0	0.356	3.559	0
C00136	Butanoyl-CoA	0.0	-0.604	2.836	0
C00135	L-Histidine	1.58	-0.054	3.452	0
C00134	Putrescine	0.0	0.214	3.144	0
C00133	D-Alanine	0.0	0.585	3.735	0
C00131	dATP	2.222	0.049	2.15	1
C00130	IMP	-1.322	0.031	3.261	0
C05635	5-Hydroxyindoleacetate	0.0	-1.424	2.151	0
C05634	5-Hydroxyindoleacetaldehyde	0.0	1.422	2.151	0
C06112	L-Glutamyl-tRNA(Gln)	0.0	0.0	0.0	0
C00043	UDP-N-acetyl-alpha-D-glucosamine	0.0	0.332	2.725	0
C00041	L-Alanine	0.807	0.387	3.328	0
C00040	Acyl-CoA	0.18	2.47	2.294	0
C00047	L-Lysine	4.297	0.435	3.354	1
C00046	RNA	-5.98	-0.736	3.241	1
C00044	GTP	-6.393	-0.243	3.805	1
C00049	L-Aspartate	0.0	0.134	3.299	0
C00048	Glyoxylate	0.0	0.023	1.596	0
C02642	3-Ureidopropionate	0.0	-1.393	2.143	0
C00149	(S)-Malate	0.0	-0.242	2.465	0
C06481	L-Seryl-tRNA(Sec)	-5.0	0.056	3.425	1
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	0.0	0.064	3.518	0
C06482	L-Selenocysteinyl-tRNA(Sec)	0.0	-1.442	2.206	0
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	-1.465	2.217	0
C01101	L-Ribulose_5-phosphate	0.0	1.414	2.235	0
C01100	L-Histidinol_phosphate	0.0	0.019	3.161	0
C01103	Orotidine_5'-phosphate	-2.585	0.185	3.134	0
C01102	O-Phospho-L-homoserine	0.0	0.0	0.0	0
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	0.0	0.12	2.147	0
C03688	Apo-[acyl-carrier-protein]	2.319	1.469	2.15	0
C06002	(S)-Methylmalonate_semialdehyde	0.0	1.422	2.151	0
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.0	-0.045	3.105	0
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	-0.025	3.474	0
C00227	Acetyl_phosphate	2.23	-0.028	0.963	2
C16565	Aminopropylcadaverine	0.0	-1.422	2.091	0
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	0.585	-0.048	3.193	0
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	0.0	-2.152	2.22	0
C00954	Indole-3-acetate	0.0	-1.859	2.187	0
C00957	Mercaptopyruvate	-0.222	-0.266	2.372	0
C05345	beta-D-Fructose_6-phosphate	2.825	-0.571	3.669	0
C00818	D-Glucarate	0.0	-1.424	2.151	0
C00819	D-Glutamine	0.0	0.0	0.0	0
C00424	(S)-Lactaldehyde	0.0	-1.468	2.166	0
C00429	5,6-Dihydrouracil	0.0	1.392	2.142	0
C00817	D-Altronate	0.0	0.0	0.0	0
C03451	(R)-S-Lactoylglutathione	0.0	1.487	2.159	0
C01672	Cadaverine	0.0	1.421	2.091	0
C00036	Oxaloacetate	0.0	0.276	2.358	0
C05223	Dodecanoyl-[acyl-carrier_protein]	3.17	-0.192	3.578	0
C00037	Glycine	2.402	-0.019	3.473	0
C15809	Iminoglycine	0.0	1.381	2.144	0
C16698	N-Acetylmuramic_acid_6-phosphate	0.0	-1.812	2.297	0
C03912	(S)-1-Pyrroline-5-carboxylate	0.0	0.0	0.0	0
C02512	3-Cyano-L-alanine	0.0	1.4	2.129	0
C00253	Nicotinate	-0.737	-1.783	2.247	0
C00250	Pyridoxal	0.0	1.461	2.217	0
C00251	Chorismate	0.0	0.647	3.051	0
C00256	(R)-Lactate	2.583	1.475	2.232	0
C05338	4-Hydroxyphenylacetyl-CoA	0.0	1.429	2.246	0
C00255	Riboflavin	0.0	-0.166	3.444	0
C05336	Selenomethionyl-tRNA(Met)	-4.0	-1.526	2.303	1
C00392	Mannitol	2.805	1.853	2.262	0
C00258	D-Glycerate	0.0	0.049	2.821	0
C05335	L-Selenomethionine	2.998	0.502	3.726	0
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	0.0	-1.362	2.133	0
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	0.0	1.294	2.08	0
C01081	Thiamin_monophosphate	0.0	-1.429	2.183	0
C01083	alpha,alpha-Trehalose	0.0	1.388	2.111	0
C00559	Deoxyadenosine	0.0	-0.034	3.07	0
C00491	L-Cystine	0.0	1.417	2.242	0
C00492	Raffinose	0.0	1.377	2.161	0
C00493	Shikimate	0.0	-0.161	2.382	0
C00555	4-Aminobutyraldehyde	0.0	1.422	2.151	0
C01089	(R)-3-Hydroxybutanoate	0.0	1.58	2.342	0
C00498	ADP-glucose	0.0	0.142	2.634	0
C00882	Dephospho-CoA	-0.0	0.001	3.325	0
C00881	Deoxycytidine	0.0	1.575	2.197	0
C00078	L-Tryptophan	1.58	1.285	2.019	0
C00079	L-Phenylalanine	0.0	-0.16	1.714	0
C00072	Ascorbate	0.0	1.859	2.296	0
C00073	L-Methionine	3.632	0.651	3.532	0
C00071	Aldehyde	-2.248	-2.051	2.227	0
C00077	L-Ornithine	0.0	0.002	3.791	0
C00074	Phosphoenolpyruvate	-7.421	-0.193	3.452	2
C00075	UTP	7.212	2.639	2.377	1
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-0.0	-1.457	2.14	0
C00039	DNA	0.0	0.0	0.0	0
C03127	L-Isoleucyl-tRNA(Ile)	-4.248	-1.353	2.107	1
C00085	D-Fructose_6-phosphate	3.609	0.062	3.663	0
C02352	1,4-beta-D-Xylan	0.0	1.555	2.295	0
C00083	Malonyl-CoA	0.0	-0.929	3.642	0
C00082	L-Tyrosine	0.0	-0.163	1.699	0
C00080	H+	0.0	1.484	2.146	0
C16630	5,6-Dihydro-5-fluorouracil	0.0	1.392	2.142	0
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	-1.0	0.019	3.521	0
C03175	Shikimate_3-phosphate	0.0	0.075	2.778	0
C00089	Sucrose	0.0	1.885	2.28	0
C04646	6-Thioinosine-5'-monophosphate	-2.322	-0.302	3.464	0
C00670	sn-Glycero-3-phosphocholine	0.0	1.566	2.334	0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	0.0	-1.435	2.214	0
C00672	2-Deoxy-D-ribose_1-phosphate	0.0	0.045	3.282	0
C00673	2-Deoxy-D-ribose_5-phosphate	0.0	-0.469	3.524	0
C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	0.0	-1.354	2.166	0
C01250	N-Acetyl-L-glutamate_5-semialdehyde	0.0	0.044	3.006	0
C01929	L-Histidinal	0.0	0.0	0.0	0
C05936	N4-Acetylaminobutanal	0.0	1.422	2.151	0
C00106	Uracil	1.0	0.062	3.405	0
C00105	UMP	0.0	0.041	2.425	0
C00103	D-Glucose_1-phosphate	1.713	0.217	3.27	0
C00100	Propanoyl-CoA	-4.555	-0.082	2.77	1
C00101	Tetrahydrofolate	-2.878	-0.458	3.236	0
C15556	L-3,4-Dihydroxybutan-2-one_4-phosphate	0.0	-0.036	3.399	0
C00109	2-Oxobutanoate	0.28	-0.184	3.633	0
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	0.0	0.006	3.445	0
C00363	dTDP	0.0	-1.473	2.202	0
C15980	(S)-2-Methylbutanoyl-CoA	0.0	0.0	0.0	0
C05764	Hexadecanoyl-[acp]	3.17	-0.192	3.578	0
C06899	Chloral_hydrate	0.0	1.361	2.133	0
C05761	Tetradecanoyl-[acp]	3.17	-0.192	3.578	0
C05760	trans-Tetradec-2-enoyl-[acp]	-0.0	0.235	3.547	0
C05763	trans-Hexadec-2-enoyl-[acp]	-0.0	0.235	3.547	0
C05762	3-Oxohexadecanoyl-[acp]	-2.907	0.068	3.288	0
C00361	dGDP	3.926	-0.121	3.496	1
C00170	5'-Methylthioadenosine	0.0	-0.027	1.817	0
C02670	D-Glucuronolactone	0.0	1.422	2.151	0
C02992	L-Threonyl-tRNA(Thr)	-4.087	-1.421	2.25	1
C00179	Agmatine	0.0	0.143	3.384	0
C00178	Thymine	0.0	0.0	0.0	0
C02995	Maltose_6'-phosphate	0.0	-0.45	3.616	0
C00447	Sedoheptulose_1,7-bisphosphate	0.0	0.0	0.0	0
C03090	5-Phosphoribosylamine	0.0	0.001	2.944	0
C04260	O-D-Alanyl-poly(ribitol_phosphate)	-2.17	-1.868	2.22	0
C07086	Phenylacetic_acid	0.0	-1.431	2.104	0
C01077	O-Acetyl-L-homoserine	0.0	1.448	2.206	0
C02972	Dihydrolipoylprotein	0.0	1.383	2.139	0
C11434	2-C-Methyl-D-erythritol_4-phosphate	0.0	0.0	0.0	0
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.0	-0.034	2.449	0
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	0.0	0.032	2.429	0
C00857	Deamino-NAD+	-1.585	-0.157	3.485	0
C02412	Glycyl-tRNA(Gly)	-4.129	-1.857	2.267	1
C00853	Cob(I)alamin	1.996	1.418	2.199	0
C01179	3-(4-Hydroxyphenyl)pyruvate	0.0	0.049	0.742	0
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	4.7	0.056	3.552	1
C01170	UDP-N-acetyl-D-mannosamine	0.0	0.0	0.0	0
C04411	(2R,3S)-3-Isopropylmalate	0.0	-0.269	3.112	0
C01172	beta-D-Glucose_6-phosphate	1.17	-0.617	3.062	0
C00473	Retinol	0.0	1.361	2.133	0
C03892	Phosphatidylglycerophosphate	-0.0	-1.505	2.242	0
C00681	1-Acyl-sn-glycerol_3-phosphate	0.0	-0.433	3.488	0
C00680	meso-2,6-Diaminoheptanedioate	0.0	0.325	3.33	0
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	0.0	0.0	0.0	0
C02411	Glutaconyl-1-CoA	-3.322	-1.31	2.127	0
C02839	L-Tyrosyl-tRNA(Tyr)	-1.585	-1.348	2.134	0
C04257	N-Acetyl-D-mannosamine_6-phosphate	0.993	1.46	2.174	0
C00689	alpha,alpha'-Trehalose_6-phosphate	2.998	0.545	3.535	0
C05271	trans-Hex-2-enoyl-CoA	0.0	0.0	0.0	0
C05270	Hexanoyl-CoA	0.0	0.0	0.0	0
C02554	L-Valyl-tRNA(Val)	-3.459	-1.426	2.146	0
C00512	S-Benzoate_coenzyme_A	0.0	-1.431	2.246	0
C16220	3-Hydroxyoctadecanoyl-[acp]	1.0	-0.039	3.468	0
C00921	Dihydropteroate	0.0	0.092	3.405	0
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	0.0	1.355	2.116	0
C00458	dCTP	-1.948	1.452	3.535	0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-0.0	-1.52	2.222	0
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	-0.0	-0.143	3.369	0
C00376	Retinal	0.0	-1.362	2.133	0
C04488	5-Methyl-5,6,7,8-tetrahydromethanopterin	-2.322	-1.891	2.288	0
C00455	Nicotinamide_D-ribonucleotide	1.58	1.496	2.278	0
C01697	Galactitol	0.0	2.242	2.296	0
C15972	Enzyme_N6-(lipoyl)lysine	-0.0	0.492	3.483	0
C16618	6-Thioxanthine_5'-monophosphate	3.7	0.056	3.299	1
C00330	Deoxyguanosine	0.0	1.473	2.191	0
C00332	Acetoacetyl-CoA	-0.843	-0.034	2.416	0
C00334	4-Aminobutanoate	0.0	-0.111	3.042	0
C00337	(S)-Dihydroorotate	0.0	0.085	3.082	0
C05699	L-Selenocystathionine	0.0	1.417	2.242	0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	1.0	-0.039	3.468	0
C04122	D-1-Aminopropan-2-ol_O-phosphate	0.0	0.202	3.417	0
C00636	D-Mannose_1-phosphate	0.0	0.0	0.0	0
C00637	Indole-3-acetaldehyde	0.0	1.422	2.151	0
C00630	2-Methylpropanoyl-CoA	4.643	1.39	2.116	1
C00631	2-Phospho-D-glycerate	-4.102	-0.0	1.109	3
C02527	Butanoylphosphate	0.0	0.0	0.0	0
C16221	(2E)-Octadecenoyl-[acp]	-0.0	0.235	3.547	0
C00208	Maltose	0.0	2.196	2.324	0
C01001	Formylmethanofuran	0.0	0.0	0.0	0
C05985	2-Propynal	0.0	1.422	2.151	0
C00204	2-Dehydro-3-deoxy-D-gluconate	-2.821	-0.126	2.514	1
C01212	UDP-N-acetylmuramoyl-L-alanine	-1.17	-0.062	3.028	0
C07490	Trichloroethanol	0.0	-1.362	2.133	0
C01217	5,6,7,8-Tetrahydromethanopterin	2.319	1.889	2.289	0
C00025	L-Glutamate	0.0	0.064	3.396	0
C00024	Acetyl-CoA	-3.655	-0.166	3.388	1
C00148	L-Proline	3.891	0.247	3.038	1
C00026	2-Oxoglutarate	-0.547	-0.161	3.415	0
C00021	S-Adenosyl-L-homocysteine	0.575	-0.165	3.018	0
C00020	AMP	4.252	-0.33	1.991	2
C00022	Pyruvate	-3.428	-0.068	3.702	0
C00143	5,10-Methylenetetrahydrofolate	0.0	0.224	2.529	0
C00140	N-Acetyl-D-glucosamine	3.32	1.382	2.208	0
C00141	3-Methyl-2-oxobutanoic_acid	0.0	0.392	3.348	0
C00029	UDP-glucose	-2.848	0.577	3.421	1
C00147	Adenine	0.0	0.05	2.89	0
C00144	GMP	-3.036	-0.947	3.636	0
C03740	(5-L-Glutamyl)-L-amino_acid	0.0	-1.401	2.129	0
C01079	Protoporphyrinogen_IX	-1.0	-1.392	2.117	0
C05748	trans-Hex-2-enoyl-[acp]	-0.0	0.235	3.547	0
C05984	2-Hydroxybutanoic_acid	0.0	1.411	2.207	0
C05807	2-Polyprenylphenol	0.0	1.398	2.157	0
C05729	R-S-Cysteinylglycine	1.58	0.351	3.457	0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-3.478	0.158	3.373	1
C11437	1-Deoxy-D-xylulose_5-phosphate	0.0	0.017	1.604	0
C00644	D-Mannitol_1-phosphate	0.0	-0.448	3.562	0
C06319	Precorrin_6Y	0.0	0.0	0.0	0
C02739	1-(5-Phospho-D-ribosyl)-ATP	0.0	-0.17	2.847	0
C00647	Pyridoxamine_phosphate	0.0	0.0	0.0	0
C05726	S-Substituted_L-cysteine	-1.585	-1.763	2.235	0
C00705	dCDP	-0.678	-0.436	3.31	0
C06250	Holo-[carboxylase]	0.0	-1.095	3.392	0
C01242	S-Aminomethyldihydrolipoylprotein	0.0	0.0	0.0	0
C02631	2-Isopropylmaleate	0.0	0.0	0.0	0
C02637	3-Dehydroshikimate	0.0	0.0	0.0	0
C03194	(R)-1-Aminopropan-2-ol	0.0	1.524	2.247	0
C04419	Carboxybiotin-carboxyl-carrier_protein	0.0	0.857	3.259	0
C01528	Hydrogen_selenide	-2.807	-1.406	2.182	0
C02938	3-Indoleacetonitrile	0.0	1.429	2.104	0
C00750	Spermine	0.0	0.0	0.0	0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	0.0	0.062	3.28	0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	-1.0	-0.076	3.536	0
C00763	D-Proline	-4.426	0.446	3.567	1
C01134	Pantetheine_4'-phosphate	-1.585	-0.357	3.465	0
C01137	S-Adenosylmethioninamine	0.0	-0.025	3.084	0
C00092	D-Glucose_6-phosphate	-1.926	-2.44	2.269	0
C06035	4-Methylene-2-oxoglutarate	0.0	0.0	0.0	0
C02226	2-Methylmaleate	0.0	0.0	0.0	0
C03511	L-Phenylalanyl-tRNA(Phe)	-2.322	-1.376	2.192	0
