Compound_code	Compound_name	Metabolite_score	Sim_Median	Sim_IQR_25	Sim_IQR_75	Sim_Lower_95_interval	Sim_Upper_95_interval	Significance
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.807	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C01185	Nicotinate_D-ribonucleotide	5.672	3.755	-5.476	6.238	3.6684792	3.8535604	n.s.
C15812	[Enzyme]-S-sulfanylcysteine	-6.629	0.0	-5.883	5.931	-0.0929514	0.0937098	n.s.
C15813	C15813	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C15810	C15810	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C15811	[Enzyme]-cysteine	7.16	5.209	3.459	6.714	5.1543478	5.3150812	n.s.
C15814	C15814	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C15815	C15815	0.0	0.0	-4.858	4.833	-0.0767564	0.0763614	n.s.
C16688	Sucrose_6-phosphate	0.0	0.0	-5.883	5.907	-0.0929514	0.0933306	n.s.
C05752	Octanoyl-[acp]	6.741	0.0	-5.781	5.883	-0.0913398	0.0929514	n.s.
C00794	D-Sorbitol	5.35	6.117	5.26125	7.115	6.03387225	6.229417	n.s.
C05840	Iminoaspartate	0.0	0.0	-5.807	5.858	-0.0917506	0.0925564	n.s.
C00886	L-Alanyl-tRNA	-6.19	-5.17	-6.658	-3.459	-5.2751964	-5.1153478	n.s.
C00506	L-Cysteate	7.574	5.781	4.585	6.895	5.708557	5.889941	n.s.
C01233	sn-Glycero-3-phosphoethanolamine	2.0	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C00226	Primary_alcohol	9.567	5.781	4.615	6.919	5.708083	5.8903202	*
C00222	3-Oxopropanoate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00221	beta-D-Glucose	4.807	5.17	3.459	6.7	5.1153478	5.27586	n.s.
C00385	Xanthine	-5.206	1.958	-4.95375	5.24925	1.87973075	2.04093815	n.s.
C00387	Guanosine	7.14	5.737	4.544	6.911	5.6652048	5.8461938	n.s.
C02504	alpha-Isopropylmalate	0.0	3.437	-5.245	5.966	3.354129	3.5312628	n.s.
C00229	Acyl-carrier_protein	6.931	0.0	-5.781	5.858	-0.0913398	0.0925564	n.s.
C00499	Allantoate	4.248	5.209	3.459	6.714	5.1543478	5.3150812	n.s.
C00380	Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16396	2,4-Diamino-6-nitrotoluene	7.872	6.007	5.059	7.102	5.9270678	6.1192116	n.s.
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00546	Methylglyoxal	-6.066	-5.807	-6.937	-4.615	-5.9166046	-5.734083	n.s.
C16399	2,4-Diamino-6-hydroxylaminotoluene	-7.872	-6.007	-7.102	-5.059	-6.1192116	-5.9270678	n.s.
C16217	3-Hydroxyoctadecanoyl-CoA	-7.426	-5.209	-6.728	-3.459	-5.3153024	-5.1543478	n.s.
C02291	L-Cystathionine	4.248	5.209	3.459	6.7175	5.1543478	5.3151365	n.s.
C00364	dTMP	-5.555	0.0	-5.833	5.954	-0.0921614	0.0940732	n.s.
C00365	dUMP	4.163	3.157	-4.34	5.288	3.088428	3.2405504	n.s.
C00362	dGMP	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16244	Cobalt-precorrin_7	-0.0	0.0	-5.858	5.807	-0.0925564	0.0917506	n.s.
C00360	dAMP	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00008	ADP	-7.549	-3.298	-5.759	4.97	-3.3889922	-3.219474	*
C00007	Oxygen	8.864	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C00006	NADP+	-5.285	-5.209	-6.714	-3.459	-5.3150812	-5.1543478	n.s.
C00003	NAD+	0.0	-3.624	-6.222	5.513	-3.7223076	-3.5368946	n.s.
C00002	ATP	-2.387	4.839	-4.58625	6.281	4.76653725	4.9382398	n.s.
C00369	Starch	4.34	0.0	-5.443	5.392	-0.0859994	0.0851936	n.s.
C05703	Methaneselenol	-8.412	-5.755	-6.913	-4.615	-5.8642254	-5.682083	n.s.
C06613	trans-3-Chloroallyl_aldehyde	-7.817	-1.963	-4.482	3.655	-2.0338156	-1.905251	*
C06507	Adenosyl_cobyrinate_hexaamide	0.0	0.0	-5.485	5.485	-0.086663	0.086663	n.s.
C16619	6-Thioguanosine_monophosphate	-6.6	-5.768	-6.919	-4.555	-5.8773202	-5.696031	n.s.
C11062	4-Hydroxybutyryl-CoA	7.358	5.17	3.459	6.644	5.1153478	5.2749752	n.s.
C02612	(R)-2-Methylmalate	0.0	5.807	4.615	6.919	5.734083	5.9163202	*
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-6.209	-5.17	-6.658	-3.322	-5.2751964	-5.1175124	n.s.
C16614	6-Methylmercaptopurine	6.209	5.17	3.322	6.658	5.1175124	5.2751964	n.s.
C00645	N-Acetyl-D-mannosamine	-4.966	-5.687	-6.864	-4.443	-5.7954512	-5.6168006	n.s.
C00099	beta-Alanine	2.585	-2.807	-5.56	4.85	-2.894848	-2.73037	n.s.
C00311	Isocitrate	1.272	0.0	-4.57	4.442	-0.072206	0.0701836	n.s.
C00310	D-Xylulose	-4.087	0.0	-5.907	5.883	-0.0933306	0.0929514	n.s.
C00641	1,2-Diacyl-sn-glycerol	-2.263	0.0	-5.459	5.536	-0.0862522	0.0874688	n.s.
C01931	L-Lysyl-tRNA	-7.607	-5.17	-6.629	-3.459	-5.2747382	-5.1153478	n.s.
C00315	Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00314	Pyridoxine	4.7	5.209	3.459	6.658	5.1543478	5.3141964	n.s.
C00091	Succinyl-CoA	5.595	2.42	-2.711	4.202	2.3771662	2.4863916	n.s.
C00760	Cellulose	-0.415	0.0	-5.248	5.222	-0.0829184	0.0825076	n.s.
C00093	sn-Glycerol_3-phosphate	6.111	3.824	-5.40325	6.07925	3.73862865	3.92005215	n.s.
C00094	Sulfite	-2.196	0.826	-1.558	2.826	0.8013836	0.8706508	n.s.
C00095	D-Fructose	-4.807	3.585	-5.741	6.267	3.4942922	3.6840186	n.s.
C00096	GDP-mannose	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00097	L-Cysteine	5.231	2.317	-5.447	5.70925	2.2309374	2.40720615	n.s.
C14099	2-Naphthaldehyde	-9.567	-5.781	-6.919	-4.615	-5.8903202	-5.708083	*
C06311	Galactitol_1-phosphate	-5.47	-6.022	-7.091	-5.0	-6.1340378	-5.943	n.s.
C00433	2,5-Dioxopentanoate	2.807	5.17	3.459	6.644	5.1153478	5.2749752	n.s.
C14090	1-Naphthaldehyde	-9.567	-5.781	-6.919	-4.615	-5.8903202	-5.708083	*
C14095	2-Hydroxy-3-carboxybenzalpyruvate	6.539	5.209	3.459	6.714	5.1543478	5.3150812	n.s.
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	5.087	5.17	3.459	6.73125	5.1153478	5.27635375	n.s.
C14096	3-Formylsalicylic_acid	-6.539	-5.209	-6.714	-3.459	-5.3150812	-5.1543478	n.s.
C02702	L-Prolyl-tRNA(Pro)	-8.794	-5.209	-6.794	-3.585	-5.3163452	-5.152357	n.s.
C04732	5-Amino-6-(1-D-ribitylamino)uracil	7.0	0.0	-5.781	5.755	-0.0913398	0.090929	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C05172	Selenophosphoric_acid	2.322	5.248	3.585	6.728	5.191357	5.3543024	n.s.
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	3.17	5.17	3.459	6.687	5.1153478	5.2756546	n.s.
C11949	3-Isopropylbut-3-enoyl-CoA	-3.17	-5.17	-6.687	-3.459	-5.2756546	-5.1153478	n.s.
C05775	alpha-Ribazole	-2.222	0.0	-5.222	5.369	-0.0825076	0.0848302	n.s.
C07118	Benzoyl_acetyl-CoA	3.17	5.17	3.459	6.687	5.1153478	5.2756546	n.s.
C05773	Cobyrinate	-4.807	-5.17	-6.658	-3.459	-5.2751964	-5.1153478	n.s.
C05778	Sirohydrochlorin	3.954	0.0	-4.807	4.883	-0.0759506	0.0771514	n.s.
C05670	3-Aminopropiononitrile	3.459	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C00164	Acetoacetate	0.0	-3.539	-5.658	4.564	-3.6283964	-3.4668888	n.s.
C00166	Phenylpyruvate	4.755	2.254	-3.107	4.254	2.2049094	2.3212132	n.s.
C00167	UDP-glucuronate	-6.19	-5.209	-6.728	-3.459	-5.3153024	-5.1543478	n.s.
C00160	Glycolate	8.399	0.0	-5.468	5.443	-0.0863944	0.0859994	*
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.115	0.0	-4.322	4.196	-0.0682876	0.0662968	n.s.
C00162	Fatty_acid	2.807	5.17	3.459	6.644	5.1153478	5.2749752	n.s.
C00163	Propanoate	8.185	5.209	3.585	6.644	5.152357	5.3139752	n.s.
C02984	L-Aspartyl-tRNA(Asp)	-6.858	-5.209	-6.714	-3.459	-5.3150812	-5.1543478	n.s.
C02987	L-Glutamyl-tRNA(Glu)	-6.022	-5.209	-6.7	-3.459	-5.31486	-5.1543478	n.s.
C00169	Carbamoyl_phosphate	-5.512	-2.237	-5.852	5.546	-2.3294616	-2.1493732	n.s.
C02047	L-Leucyl-tRNA	-6.459	-5.129	-6.644	-3.459	-5.2339752	-5.0743478	n.s.
C03082	4-Phospho-L-aspartate	4.485	0.0	-5.511	5.511	-0.0870738	0.0870738	n.s.
C04377	5,10-Methylenetetrahydromethanopterin	-5.285	-5.209	-6.7	-3.585	-5.31486	-5.152357	n.s.
C04376	5'-Phosphoribosyl-N-formylglycinamide	5.728	0.0	-5.883	5.907	-0.0929514	0.0933306	n.s.
C20396	Methylphosphonate	0.0	6.114	5.267	7.1405	6.0307814	6.2268199	*
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	-7.173	0.0	-5.322	5.373	-0.0840876	0.0848934	n.s.
C03089	5-Methylthio-D-ribose	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00860	L-Histidinol	-4.7	0.0	-5.781	5.833	-0.0913398	0.0921614	n.s.
C00862	Methanofuran	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C02962	D-Allose_6-phosphate	7.044	5.17	3.322	6.7	5.1175124	5.27586	n.s.
C00864	Pantothenate	6.129	0.0	-5.807	5.858	-0.0917506	0.0925564	n.s.
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	0.0	0.0	-5.022	5.18	-0.0793476	0.081844	n.s.
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00906	5,6-Dihydrothymine	2.585	5.17	3.322	6.7	5.1175124	5.27586	n.s.
C01419	Cys-Gly	7.388	3.644	-5.443	6.257	3.5580006	3.7428606	n.s.
C16186	L-Ascorbate_6-phosphate	-3.248	-5.794	-6.954	-4.615	-5.9038732	-5.721083	n.s.
C01149	4-Trimethylammoniobutanal	2.807	5.17	3.459	6.644	5.1153478	5.2749752	n.s.
C01144	(S)-3-Hydroxybutanoyl-CoA	6.946	-2.005	-4.643	3.957	-2.0783594	-1.9424794	n.s.
C01146	2-Hydroxy-3-oxopropanoate	0.0	-5.209	-6.714	-3.459	-5.3150812	-5.1543478	n.s.
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C01142	(3S)-3,6-Diaminohexanoate	-4.322	-5.17	-6.629	-3.459	-5.2747382	-5.1153478	n.s.
C06510	Adenosine-GDP-cobinamide	-3.0	0.0	-5.858	5.833	-0.0925564	0.0921614	n.s.
C03561	(R)-3-Hydroxybutanoyl-CoA	9.226	5.248	3.585	6.755	5.191357	5.354729	*
C03402	L-Asparaginyl-tRNA(Asn)	-6.443	-5.209	-6.728	-3.459	-5.3153024	-5.1543478	n.s.
C03406	N-(L-Arginino)succinate	-4.755	-5.209	-6.728	-3.459	-5.3153024	-5.1543478	n.s.
C05512	Deoxyinosine	5.605	0.0	-5.298	5.248	-0.0837084	0.0829184	n.s.
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C07645	Aldophosphamide	5.087	5.209	3.585	6.687	5.152357	5.3146546	n.s.
C07648	Thioguanine	6.209	5.17	3.322	6.658	5.1175124	5.2751964	n.s.
C05519	L-Allothreonine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00327	L-Citrulline	4.733	-3.293	-6.154	5.65	-3.3902332	-3.20373	n.s.
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-5.17	0.0	-5.807	5.931	-0.0917506	0.0937098	n.s.
C02320	R-S-Glutathione	3.459	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C00084	Acetaldehyde	7.969	-2.844	-5.498	4.976	-2.9308684	-2.7653792	*
C02463	Precorrin_2	1.0	5.17	3.459	6.7	5.1153478	5.27586	n.s.
C05269	3-Oxohexanoyl-CoA	-9.335	-5.209	-6.687	-3.459	-5.3146546	-5.1543478	*
C03232	3-Phosphonooxypyruvate	-3.17	-5.17	-6.658	-3.459	-5.2751964	-5.1153478	n.s.
C18096	D-Allulose_6-phosphate	-7.044	-5.17	-6.7	-3.322	-5.27586	-5.1175124	n.s.
C00269	CDP-diacylglycerol	-4.209	3.7	-5.426	6.2115	3.6142692	3.7981417	n.s.
C09814	Benzonitrile	5.459	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C11539	Cobalt-precorrin_3	4.954	5.17	3.459	6.658	5.1153478	5.2751964	n.s.
C11538	Cobalt-sirohydrochlorin	-5.044	-5.209	-6.658	-3.459	-5.3141964	-5.1543478	n.s.
C00263	L-Homoserine	0.0	0.0	-2.298	2.248	-0.0363084	0.0355184	n.s.
C00262	Hypoxanthine	-4.79	-2.544	-5.177	4.544	-2.6257966	-2.4722048	n.s.
C13629	1,2-Bis(4-hydroxyphenyl)-2-propanol	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C16216	3-Oxostearoyl-CoA	7.426	5.209	3.459	6.728	5.1543478	5.3153024	n.s.
C00267	alpha-D-Glucose	4.293	2.926	-4.99775	5.6075	2.84703555	3.0145985	n.s.
C00266	Glycolaldehyde	-5.807	-5.17	-6.714	-3.459	-5.2760812	-5.1153478	n.s.
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-4.755	0.0	-5.883	5.858	-0.0929514	0.0925564	n.s.
C00402	D-Aspartate	-5.672	-5.17	-6.728	-3.322	-5.2763024	-5.1175124	n.s.
C00460	dUTP	4.807	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C00286	dGTP	-7.719	4.501	-5.46075	6.33225	4.41472015	4.60104955	n.s.
C00283	Hydrogen_sulfide	1.1	-2.974	-4.979	3.737	-3.0526682	-2.9149554	n.s.
C00282	Hydrogen	-6.066	-5.209	-6.741	-3.585	-5.3155078	-5.152357	n.s.
C00320	Thiosulfate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C01962	Thiocysteine	-4.248	-5.209	-6.7175	-3.459	-5.3151365	-5.1543478	n.s.
C00088	Nitrite	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	-0.0	0.0	-5.907	5.833	-0.0933306	0.0921614	n.s.
C02218	Dehydroalanine	-5.392	-5.209	-6.658	-3.459	-5.3141964	-5.1543478	n.s.
C05947	L-erythro-4-Hydroxyglutamate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C05946	D-4-Hydroxy-2-oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C01209	Malonyl-[acyl-carrier_protein]	6.131	2.696	-5.55225	6.014	2.60827445	2.7910212	n.s.
C00217	D-Glutamate	4.273	2.773	-5.009	5.539	2.6938578	2.8605162	n.s.
C00214	Thymidine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00212	Adenosine	6.866	6.022	5.044	7.091	5.9423048	6.1340378	n.s.
C00606	3-Sulfino-L-alanine	-5.629	-2.222	-4.615	3.824	-2.294917	-2.1615808	n.s.
C06399	Hydrogenobyrinate	-4.807	-5.17	-6.658	-3.459	-5.2751964	-5.1153478	n.s.
C05841	Nicotinate_D-ribonucleoside	6.34	5.209	3.459	6.714	5.1543478	5.3150812	n.s.
C00035	GDP	-5.961	-1.511	-5.6795	5.5115	-1.6007361	-1.4239183	n.s.
C05844	5-L-Glutamyl-taurine	-3.459	-5.17	-6.714	-3.459	-5.2760812	-5.1153478	n.s.
C00033	Acetate	7.984	-4.155	-6.227	5.041	-4.2533866	-4.0753522	n.s.
C00031	D-Glucose	2.138	3.585	-5.498	6.202	3.4981316	3.6829916	n.s.
C00136	Butanoyl-CoA	-5.208	-3.54	-5.12125	3.593	-3.62091575	-3.4832306	n.s.
C00135	L-Histidine	5.954	0.0	-5.781	5.833	-0.0913398	0.0921614	n.s.
C00134	Putrescine	3.143	2.841	-4.977	5.503	2.7623634	2.9279474	n.s.
C00133	D-Alanine	-5.365	4.186	-5.35	6.34	4.10147	4.286172	n.s.
C00131	dATP	5.106	0.0	-3.663	3.713	-0.0578754	0.0586654	n.s.
C00130	IMP	4.931	0.0	-5.30925	5.271	-0.08388615	0.0832818	n.s.
C05635	5-Hydroxyindoleacetate	-2.807	-5.17	-6.644	-3.459	-5.2749752	-5.1153478	n.s.
C05634	5-Hydroxyindoleacetaldehyde	2.807	5.17	3.459	6.644	5.1153478	5.2749752	n.s.
C06112	L-Glutamyl-tRNA(Gln)	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00043	UDP-N-acetyl-alpha-D-glucosamine	-5.145	2.209	-4.066	4.788	2.1447572	2.2846504	n.s.
C00041	L-Alanine	4.375	3.129	-5.066	5.755	3.0489572	3.219929	n.s.
C00040	Acyl-CoA	6.24	6.158	5.301	7.144	6.0742442	6.2708752	n.s.
C00047	L-Lysine	5.634	3.0	-5.0	5.585	2.921	3.088243	n.s.
C00046	RNA	-6.815	-3.728	-5.468	4.285	-3.8143944	-3.660297	n.s.
C00044	GTP	-7.597	1.053	-5.37275	5.47025	0.96811055	1.13942995	*
C00049	L-Aspartate	-4.618	1.397	-4.784	4.99025	1.3214128	1.47584595	n.s.
C00048	Glyoxylate	-5.508	0.0	-2.511	2.561	-0.0396738	0.0404638	*
C02642	3-Ureidopropionate	-2.585	-5.17	-6.7	-3.322	-5.27586	-5.1175124	n.s.
C00149	(S)-Malate	0.415	-1.939	-4.615	3.97	-2.011917	-1.876274	n.s.
C06481	L-Seryl-tRNA(Sec)	-7.077	0.0	-5.807	5.883	-0.0917506	0.0929514	n.s.
C20440	alpha-D-Ribose_1,2-cyclic_phosphate_5-phosphate	4.17	0.0	-5.807	5.781	-0.0917506	0.0913398	n.s.
C06482	L-Selenocysteinyl-tRNA(Sec)	-2.322	-5.248	-6.728	-3.585	-5.3543024	-5.191357	n.s.
C04236	(2S)-2-Isopropyl-3-oxosuccinate	0.0	-5.209	-6.658	-3.459	-5.3141964	-5.1543478	n.s.
C01101	L-Ribulose_5-phosphate	0.0	5.17	3.459	6.7	5.1153478	5.27586	n.s.
C01100	L-Histidinol_phosphate	4.115	0.0	-5.273	5.222	-0.0833134	0.0825076	n.s.
C01103	Orotidine_5'-phosphate	-4.585	0.0	-5.273	5.17	-0.0833134	0.081686	n.s.
C01102	O-Phospho-L-homoserine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	0.0	1.067	-3.193	3.817	1.0165506	1.1273086	n.s.
C03688	Apo-[acyl-carrier-protein]	4.907	5.129	3.322	6.644	5.0765124	5.2339752	n.s.
C06002	(S)-Methylmalonate_semialdehyde	2.807	5.17	3.459	6.644	5.1153478	5.2749752	n.s.
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	0.0	0.0	-5.022	5.18	-0.0793476	0.081844	n.s.
C06006	(S)-2-Aceto-2-hydroxybutanoate	0.0	0.0	-5.954	5.728	-0.0940732	0.0905024	n.s.
C00227	Acetyl_phosphate	1.639	0.0	-1.158	1.081	-0.0182964	0.0170798	n.s.
C16565	Aminopropylcadaverine	-2.322	-5.209	-6.687	-3.459	-5.3146546	-5.1543478	n.s.
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-6.313	0.0	-5.468	5.392	-0.0863944	0.0851936	n.s.
C16255	[Dihydrolipoyllysine-residue_acetyltransferase]_S-acetyldihydrolipoyllysine	-1.874	-5.985	-7.091	-5.015	-6.0970378	-5.905763	*
C00954	Indole-3-acetate	-4.273	-5.719	-6.907	-4.524	-5.8281306	-5.6475208	n.s.
C00957	Mercaptopyruvate	-4.996	-2.437	-4.426	3.196	-2.5069308	-2.3865032	n.s.
C05345	beta-D-Fructose_6-phosphate	6.779	-3.564	-5.82025	5.26425	-3.65595995	-3.48082485	n.s.
C00818	D-Glucarate	-2.807	-5.17	-6.644	-3.459	-5.2749752	-5.1153478	n.s.
C00819	D-Glutamine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00424	(S)-Lactaldehyde	0.0	-5.17	-6.629	-3.459	-5.2747382	-5.1153478	n.s.
C00429	5,6-Dihydrouracil	2.585	5.17	3.322	6.7	5.1175124	5.27586	n.s.
C00817	D-Altronate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C03451	(R)-S-Lactoylglutathione	5.358	5.209	3.459	6.714	5.1543478	5.3150812	n.s.
C01672	Cadaverine	2.322	5.209	3.459	6.687	5.1543478	5.3146546	n.s.
C00036	Oxaloacetate	4.015	2.236	-3.09	4.215	2.187178	2.302597	n.s.
C05223	Dodecanoyl-[acyl-carrier_protein]	6.741	0.0	-5.781	5.883	-0.0913398	0.0929514	n.s.
C00037	Glycine	-5.039	0.0	-5.47325	5.297	-0.08647735	0.0836926	n.s.
C15809	Iminoglycine	0.0	5.209	3.459	6.658	5.1543478	5.3141964	n.s.
C16698	N-Acetylmuramic_acid_6-phosphate	-1.0	-5.768	-6.931	-4.585	-5.8775098	-5.695557	*
C03912	(S)-1-Pyrroline-5-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C02512	3-Cyano-L-alanine	3.459	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C00253	Nicotinate	-6.486	-5.737	-6.907	-4.565	-5.8461306	-5.664873	n.s.
C00250	Pyridoxal	4.7	5.209	3.459	6.658	5.1543478	5.3141964	n.s.
C00251	Chorismate	2.524	3.653	-4.432	5.653	3.5829744	3.7423174	n.s.
C00256	(R)-Lactate	8.867	5.17	3.459	6.687	5.1153478	5.2756546	n.s.
C05338	4-Hydroxyphenylacetyl-CoA	3.17	5.17	3.459	6.687	5.1153478	5.2756546	n.s.
C00255	Riboflavin	-4.858	0.0	-5.833	5.833	-0.0921614	0.0921614	n.s.
C05336	Selenomethionyl-tRNA(Met)	-6.322	-5.17	-6.644	-3.459	-5.2749752	-5.1153478	n.s.
C00392	Mannitol	8.379	5.755	4.615	6.925	5.682083	5.864415	n.s.
C00258	D-Glycerate	-1.807	0.0	-4.781	4.858	-0.0755398	0.0767564	n.s.
C05335	L-Selenomethionine	3.392	3.585	-5.443	6.19	3.4990006	3.682802	n.s.
C16596	5-Phenyl-1,3-oxazinane-2,4-dione	-5.087	-5.209	-6.687	-3.585	-5.3146546	-5.152357	n.s.
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate	5.524	5.209	3.459	6.728	5.1543478	5.3153024	n.s.
C01081	Thiamin_monophosphate	-1.0	-5.17	-6.658	-3.459	-5.2751964	-5.1153478	n.s.
C01083	alpha,alpha-Trehalose	2.0	5.17	3.459	6.714	5.1153478	5.2760812	n.s.
C00559	Deoxyadenosine	-5.605	0.0	-5.248	5.298	-0.0829184	0.0837084	n.s.
C00491	L-Cystine	4.248	5.209	3.459	6.7175	5.1543478	5.3151365	n.s.
C00492	Raffinose	0.0	5.209	3.459	6.714	5.1543478	5.3150812	n.s.
C00493	Shikimate	0.0	0.0	-3.951	3.951	-0.0624258	0.0624258	n.s.
C00555	4-Aminobutyraldehyde	2.807	5.17	3.459	6.644	5.1153478	5.2749752	n.s.
C01089	(R)-3-Hydroxybutanoate	0.0	5.17	3.459	6.741	5.1153478	5.2765078	n.s.
C00498	ADP-glucose	-3.737	0.0	-4.57	4.595	-0.072206	0.072601	n.s.
C00882	Dephospho-CoA	-4.322	0.0	-5.807	5.883	-0.0917506	0.0929514	n.s.
C00881	Deoxycytidine	5.644	5.209	3.459	6.714	5.1543478	5.3150812	n.s.
C00078	L-Tryptophan	6.492	5.17	3.459	6.687	5.1153478	5.2756546	n.s.
C00079	L-Phenylalanine	2.7	-0.57	-2.809	2.107	-0.6143822	-0.5367094	n.s.
C00072	Ascorbate	3.248	5.794	4.615	6.954	5.721083	5.9038732	n.s.
C00073	L-Methionine	4.991	3.982	-4.888	6.093	3.9047696	4.0782694	n.s.
